"Shopping Cart","Grozs"
"Invalid method: %1","Neatļauta metode: %1"
"City","Pilsēta"
"Country","Valsts"
"State/Province","Štats/Province"
"Zip/Postal Code","Pasta indekss"
"My Cart (1 item)","Mans grozs (1 prece)"
"My Cart (%1 items)","Mans grozs (%1 preces)"
"My Cart","Mans grozs"
"For delivery questions.","For delivery questions."
"Customer is already registered","Klients jau ir reģistrēts"
"Your session has expired","Jūsu sesija ir beigusies"
"A letter with further instructions will be sent to your email.","Vēstule ar turpmākajām instrukcijām tiks nosūtīta uz jūsu e-pastu."
"You added %1 to your shopping cart.","Jūs pievienojāt %1 grozam."
"We can't add this item to your shopping cart right now.","Pašlaik nevar pievienot grozma šo produktu."
"Out of stock","Nav pieejams"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Mēs nevaram nokonfigurēt produktu."
"You used coupon code ""%1"".","Jūs izmantojāt kuponu ar kodu ""%1""."
"The coupon code ""%1"" is not valid.","Kupona kods ""%1"" nav derīgs."
"You canceled the coupon code.","Jūs atcēlāt kuponu."
"We cannot apply the coupon code.","Mēs nevaram izmantot šādu kuponu."
"We can't remove the item.","Mēs nevaram izdzēst produktu."
"%1 was updated in your shopping cart.","%1 tika atjaunināts jūsu pirkuma grozā."
"We can't update the item right now.","Mēs nevaram atjaunot produktu šobrīd."
"We can't update the shopping cart.","Mēs nevar atjaunināt iepirkumu grozam."
"One-page checkout is turned off.","Vienas lapas pirkuma veikšana ir izslēgta."
"Guest checkout is disabled.","Pirkuma noformēšana viesiem ir izslēgta."
"Checkout","Pirkuma noformēšana"
"Page not found.","Lapa nav atrasta."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Neizdevās noformēt jūsu pirkumu. Lūdzu, mēģiniet vēlreiz vēlāk."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nepaplašina \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Apmaksas veids"
"Payment Page","Payment Page"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","Produkts neeksistē."
"We don't have some of the products you want.","Daži no jums vēlamajiem produktiem nav pieejami."
"We don't have as many of some products as you want.","Dažu produkti mums ir nepietiekamā daudzumā."
"Quantity was recalculated from %1 to %2","Daudzums tika mainīts no %1 uz %2"
"We adjusted product quantities to fit the required increments.","Mēs pielāgojām produktu daudzumus, lai atbilstu prasībām."
"This quote item does not exist.","Šis pirkuma vienums neeksistē."
"Display number of items in cart","Atrādīt produktu skaitu grozā"
"Display item quantities","Rādīt produktu skaitu"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Piegādātājs ar šādiem piegādes veidiem netika atrastas: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," produkts"
" items"," produkti"
"Totals calculation is not applicable to empty cart","Kopsummas aprēķins nav nepieciešams tukšam grozam"
"Invalid data","Nederīgi dati"
"The customer address is not valid.","Klienta adrese nav pareiza."
"Invalid shipping method","Nepareizs piegādes veids"
"There are more than one shipping addresses.","Ir vairākas piegādes adreses."
"Sorry, guest checkout is not available.","Atvainojiet, pirkuma noformēšana nav pieejama nereģistrētiem lietotājiem."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Jums ir jāapstiprina jūsu profils. Lūdzu pārbaudiet savu e-pastu un nospiediet uz apstriprinājuma saites vai <a href=""%1"">nospiediet šeit</a> lai iegūtu jaunu saiti."
"Load customer quote error","Ielādēt klienta pirkumu"
"Error message!","Error message!"
"Error!","Kļūda!"
"DB exception","DB kļūda"
"Message","Ziņa"
"Print receipt","Print receipt"
"Apply Discount Code","Pielietot atlaides kodu"
"Enter discount code","Ievadiet atlaides kodu"
"Apply Discount","Izmantot atlaidi"
"Cancel Coupon","Atcelt kuponu"
"Shopping Cart Items","Iepirkumu groza produkti"
"Item","Produkts"
"Price","Cena"
"Qty","Skaits"
"Subtotal","Starpsumma"
"Continue Shopping","Turpināt iepirkties"
"Clear Shopping Cart","Iztīrīt iepirkuma grozu"
"Update Shopping Cart","Atjaunināt pirkuma grozu"
"Update Cart","Atjaunināt Grozu"
"See price before order confirmation.","Apskatīt cenu pirms pasūtījuma apstiprināšanas."
"What's this?","Kas tas ir?"
"Edit item parameters","Labot produkta parametrus"
"Edit","Labot"
"Remove item","Noņemt produktu"
"You have no items in your shopping cart.","Jums nav produktu grozā."
"Click <a href=""%1"">here</a> to continue shopping.","Klikškiniet <a href=""%1"">šeit</a>, lai turpinātu iepirkšanos."
"Estimate Tax","Aptuvenais nodokļa aprēķins"
"Estimate Shipping and Tax","Aptuvenās piegādes izmaksas un nodoklis"
"Excl. Tax","Bez PVN"
