"Shopping Cart","ഷോപ്പിംഗ് കാർട്ട്"
"Invalid method: %1","അസാധുവായ രീതി: %1"
"City","പട്ടണം"
"Country","രാജ്യം"
"State/Province","സംസ്ഥാനം / പ്രവിശ്യ"
"Zip/Postal Code","സിപ് / പോസ്റ്റൽ കോഡ്"
"My Cart (1 item)","എന്റെ കാർട്ട് (1 ഇനം)"
"My Cart (%1 items)","എന്റെ കാർട്ട് (%1 ഇനങ്ങൾ)"
"My Cart","My Cart"
"For delivery questions.","ഡെലിവറി ചോദ്യങ്ങൾക്ക്."
"Customer is already registered","ഉപഭോക്താവ് ഇതിനകം രജിസ്റ്റർ ചെയ്തു"
"Your session has expired","നിങ്ങളുടെ പ്രവർത്തന സമയം കഴിഞ്ഞിരിക്കുന്നു"
"A letter with further instructions will be sent to your email.","കൂടുതൽ നിർദ്ദേശങ്ങളുള്ള ഒരു കത്ത് നിങ്ങളുടെ ഇമെയിലിലേക്ക് അയയ്ക്കും."
"You added %1 to your shopping cart.","നിങ്ങളുടെ ഷോപ്പിംഗ് കാർട്ടിൽ %1 ചേർത്തു."
"We can't add this item to your shopping cart right now.","ഞങ്ങൾക്ക് ഇപ്പോൾ നിങ്ങളുടെ ഷോപ്പിംഗ് കാർട്ടിൽ ഈ ഇനം ചേർക്കാൻ കഴിയില്ല."
"Out of stock","ശേഖരം തീർന്നു പോയി"
"We can't find the quote item.","കോട്ട് ഐറ്റം ഞങ്ങൾക്ക് കണ്ടെത്താൻ കഴിയില്ല."
"We cannot configure the product.","ഞങ്ങൾക്ക് ഉൽപ്പന്നം ക്രമീകരിക്കാൻ കഴിയില്ല."
"You used coupon code ""%1"".","നിങ്ങൾ ""%1"" എന്ന കൂപ്പൺ കോഡ് ഉപയോഗിച്ചു."
"The coupon code ""%1"" is not valid.","""%1"" എന്ന കൂപ്പൺ കോഡ് സാധുവല്ല."
"You canceled the coupon code.","നിങ്ങൾ കൂപ്പൺ കോഡ് റദ്ദാക്കി."
"We cannot apply the coupon code.","ഞങ്ങൾക്ക് കൂപ്പൺ കോഡ് പ്രയോഗിക്കാൻ കഴിയില്ല."
"We can't remove the item.","ഞങ്ങൾക്ക് ഇനം നീക്കംചെയ്യാൻ കഴിയില്ല."
"%1 was updated in your shopping cart.","നിങ്ങളുടെ ഷോപ്പിംഗ് കാർട്ടിൽ %1 അപ്‌ഡേറ്റുചെയ്‌തു."
"We can't update the item right now.","ഞങ്ങൾക്ക് ഇപ്പോൾ ഇനം അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിയില്ല."
"We can't update the shopping cart.","ഞങ്ങൾക്ക് ഷോപ്പിംഗ് കാർട്ട് അപ്‌ഡേറ്റ് ചെയ്യാൻ കഴിയില്ല."
"One-page checkout is turned off.","വൺ പേജ് ചെക്ക് ഔട്ട് ഓഫ് ചെയ്തു."
"Guest checkout is disabled.","ഗസ്റ്റ് ചെക്ക് ഔട്ട് പ്രവർത്തനരഹിതമാക്കി."
"Checkout","ചെക്ക് ഔട്ട്"
"Page not found.","പേജ് കണ്ടെത്തിയില്ല."
"Please agree to all the terms and conditions before placing the order.","ഓർ‌ഡർ‌ നൽ‌കുന്നതിന് മുമ്പ് ദയവായി എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക."
"Something went wrong while processing your order. Please try again later.","നിങ്ങളുടെ ഓർഡർ പ്രോസസ്സ് ചെയ്യുമ്പോൾ എന്തോ കുഴപ്പം സംഭവിച്ചു. പിന്നീട് വീണ്ടും ശ്രമിക്കുക."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","പണംകൊടുക്കൽരീതി"
"Payment Page","പേയ്‌മെന്റ് പേജ്"
"We can't find the product.","ഞങ്ങൾക്ക് ഉൽപ്പന്നം കണ്ടെത്താൻ കഴിയില്ല."
"We found an invalid request for adding product to quote.","കോട്ടിലേക്ക് ഉൽപ്പന്നം ചേർക്കുന്നതിനുള്ള അസാധുവായ അഭ്യർത്ഥന ഞങ്ങൾ കണ്ടെത്തി."
"The product does not exist.","ഉൽപ്പന്നം നിലവിലില്ല."
"We don't have some of the products you want.","നിങ്ങൾക്ക് ആവശ്യമുള്ള ചില ഉൽപ്പന്നങ്ങൾ ഞങ്ങളുടെ പക്കലില്ല."
"We don't have as many of some products as you want.","നിങ്ങൾക്ക് ആവശ്യമുള്ളത്ര ഉൽപ്പന്നങ്ങൾ ഞങ്ങളുടെ പക്കലില്ല."
"Quantity was recalculated from %1 to %2","%1 മുതൽ %2 വരെ അളവ് വീണ്ടും കണക്കാക്കി"
"We adjusted product quantities to fit the required increments.","ആവശ്യമായ ഇൻക്രിമെന്റുകൾക്ക് അനുയോജ്യമായ രീതിയിൽ ഞങ്ങൾ ഉൽപ്പന്ന അളവുകൾ ക്രമീകരിച്ചു."
"This quote item does not exist.","ഈ കോട്ട് ഐറ്റം നിലവിലില്ല."
"Display number of items in cart","കാർട്ടിലെ ഇനങ്ങളുടെ എണ്ണം പ്രദർശിപ്പിക്കുക"
"Display item quantities","ഇനത്തിന്റെ അളവുകൾ പ്രദർശിപ്പിക്കുക"
"An error occurred on the server. Please try to place the order again.","സെർവറിൽ ഒരു പിശക് സംഭവിച്ചു. ദയവായി വീണ്ടും ഓർഡർ ചെയ്യാൻ ശ്രമിക്കുക."
"Shipping address is not set","ഷിപ്പിംഗ് വിലാസം സജ്ജമാക്കിയിട്ടില്ല"
"Unable to save shipping information. Please check input data.","ഷിപ്പിംഗ് വിവരങ്ങൾ സേവ് ചെയ്യാൻ കഴിയില്ല. ഇൻപുട്ട് ഡാറ്റ പരിശോധിക്കുക."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","ശൂന്യമായ കാർട്ടിന് ഷിപ്പിംഗ് രീതി ബാധകമല്ല"
" item"," item"
" items"," items"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Load customer quote error"
"Error message!","Error message!"
"Error!","Error!"
"DB exception","DB exception"
"Message","Message"
"Print receipt","Print receipt"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Shopping Cart Items"
"Item","Item"
"Price","Price"
"Qty","Qty"
