"Shopping Cart","Coșul de cumpărături"
"Invalid method: %1","metodă nevalidă: %1"
"City","Localitate"
"Country","Țara"
"State/Province","Stat/zonă"
"Zip/Postal Code","Cod poștal"
"My Cart (1 item)","Coșul meu(1 articol)"
"My Cart (%1 items)","My Cart (%1 items)"
"My Cart","Coșul meu"
"For delivery questions.","Pentru întrebări legate de livrare."
"Customer is already registered","Clientul este deja înregistrat"
"Your session has expired","Sesiunea dumneavoastră a expirat"
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email."
"You added %1 to your shopping cart.","Ați adăugat %1 la coșul dumneavoastră de cumpărături."
"We can't add this item to your shopping cart right now.","Nu se poate adăuga acest articol la coșul dumneavoastră de cumpărături momentan."
"Out of stock","Stoc epuizat"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Produsul nu poate fi configurat."
"You used coupon code ""%1"".","Ați folosit codul de cupon ""%1""."
"The coupon code ""%1"" is not valid.","Codul de cupon ""%1"" nu este valid."
"You canceled the coupon code.","Ați anulat codul de cupon."
"We cannot apply the coupon code.","Codul de cupon nu poate fi aplicat."
"We can't remove the item.","Nu se poate șterge articolul."
"%1 was updated in your shopping cart.","%1 a fost actualizat în coșul dumneavoastră de cumpărături."
"We can't update the item right now.","Articolul nu poate fi actualizat momentan."
"We can't update the shopping cart.","Coșul de cumpărături nu poate fi actualizat."
"One-page checkout is turned off.","Checkout-ul de pagină este dezactivat."
"Guest checkout is disabled.","Checkout-ul pentru vizitatori este dezactivat."
"Checkout","Finalizare comandă"
"Page not found.","Pagina nu este găsită."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","A avut loc o eroare la procesarea comenzii. încercați din nou mai târziu."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nu se extinde \Magento\Checkout\InformațiiClient\InterfațăArticol"
"Payment Method","Metode de plată"
"Payment Page","Payment Page"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","S-a găsit o solicitare nevalidă pentru adăugarea produsului la mențiune."
"The product does not exist.","Produsul nu există."
"We don't have some of the products you want.","Nu deținem unele din produsele dorite."
"We don't have as many of some products as you want.","Nu deținem atât de multe produse pe cât doriți."
"Quantity was recalculated from %1 to %2","Cantitatea a fost recalculată de la %1 la %2"
"We adjusted product quantities to fit the required increments.","Am ajustat cantitățile de produs pentru a coincide cu cantitatea dorită."
"This quote item does not exist.","Articolul specificat nu există."
"Display number of items in cart","Arată numărul de articole din coș"
"Display item quantities","Afiați cantitățile articolelor"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Nu se găsește un transportator cu o astfel de modalitate: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," item"
" items"," items"
"Totals calculation is not applicable to empty cart","Calcularea totalului nu se aplică pentru un coș gol"
"Invalid data","Informații nevalide"
"The customer address is not valid.","Adresa clientului nu este validă"
"Invalid shipping method","Metodă livrare nevalidă"
"There are more than one shipping addresses.","Există mai multe adrese de livrare."
"Sorry, guest checkout is not available.","Ne cerem scuze, checkout-ul vizitatorilor nu este disponibil."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Trebuie să vă activați contul. Verificați-vă adresa de email pentru codul de confirmare sau <a href=""%1"">faceți click aici</a> pentru un link nou."
"Load customer quote error","încărcați eroare specificație client"
"Error message!","Error message!"
"Error!","Eroare!"
"DB exception","DB exception"
"Message","Mesaj"
"Print receipt","Print receipt"
"Apply Discount Code","Aplicați cod reducere"
"Enter discount code","Introduceți cod reducere"
"Apply Discount","Aplicați reducere"
"Cancel Coupon","Anulare cupon"
"Shopping Cart Items","Articole coș de cumpărături"
"Item","Articol"
"Price","Preț"
"Qty","Cantitate"
"Subtotal","Subtotal"
"Continue Shopping","Continuați cumpărăturile"
"Clear Shopping Cart","Golește coșul de cumpărături"
"Update Shopping Cart","Actualizare coș de cumpărături"
"Update Cart","Actualizare coș"
"See price before order confirmation.","Vizualizare preț înaintea confirmării comenzii."
"What's this?","Ce este aceasta?"
"Edit item parameters","Modificați parametri articole"
"Edit","Editați"
"Remove item","Eliminare articol"
"You have no items in your shopping cart.","Nu aveți produse în coșul de cumpărături."
"Click <a href=""%1"">here</a> to continue shopping.","Faceți click <a href=""%1"">aici</a> pentru a continua cumpărăturile."
"Estimate Tax","Estimați taxe"
"Estimate Shipping and Tax","Estimare livrare și taxe"
"Excl. Tax","Cără taxe incluse"
"Loading...","Se încarcă..."
"Order #","Comanda #"
"Proceed to Checkout","CONTINUA"
"Product Name","Numele produsului"
"Incl. Tax","Includere taxe"
"Your order number is: %1.","Numărul comenzii dumneavoastră este: %1."
"Your order # is: <span>%1</span>.","Comanda dumneavoastră # este: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Veți primi un email pentru confirmarea comenzii cu detalii și informații de urmărire al acesteia."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Tranzacție de plată eșuată"
"Reason","Motiv"
"Checkout Type","Tip checkout"
"Customer:","Client:"
"Items","Articole"
"Total:","Total:"
"Billing Address:","Adresă de facturare:"
"Shipping Address:","Adresă de livrare:"
"Shipping Method:","Modalitate de livrare:"
"Payment Method:","Modalitate de plată:"
"Date & Time:","Data și ora:"
"Sign In","Conectare"
"Email Address","Adresa Email "
"Password","Parola"
"Forgot Your Password?","Ați uitat parola?"
"My billing and shipping address are the same","Adresa de facturare este aceeași cu adresa de livrare"
"Update","Actualizare"
"Cancel","anulați"
"Save in address book","Salvați în agenda cu adrese"
"Estimated Total","Estimated Total"
"You can create an account after checkout.","Poti creea un cont dupa finalizare comanda."
