"Shopping Cart","سبد خرید"
"Invalid method: %1","روش نامعتبر: %1"
"City","شهر"
"Country","كشور"
"State/Province","استان / شهرستان"
"Zip/Postal Code","کد پستی"
"My Cart (1 item)","سبد خرید من (1 مورد)"
"My Cart (%1 items)","سبد خرید من (%1 مورد)"
"My Cart","سبد خرید من"
"For delivery questions.","سؤالات مرتبط با روش های ارسال."
"Customer is already registered","مشتری قبلا ثبت نام کرده است"
"Your session has expired","session شما منقضی شده است"
"A letter with further instructions will be sent to your email.","نامه ای با دستورالعمل های مقتضی به ایمیل شما ارسال خواهد شد."
"You added %1 to your shopping cart.","شما %1 به سبد خرید اضافه نمودید."
"We can't add this item to your shopping cart right now.","ما اکنون نمی توانیم این آیتم را به سبد خرید خود اضافه کنیم."
"Out of stock","در انبار موجود نیست"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","ما نمی توانیم محصول را پیکربندی کنیم."
"You used coupon code ""%1"".","شما از کد کوپن""%1"" استفاده کردید."
"The coupon code ""%1"" is not valid.","کد کوپن ""%1"" معتبر نیست."
"You canceled the coupon code.","کد کوپن را لغو کردید."
"We cannot apply the coupon code.","ما نمی توانیم کد کوپن را اعمال کنیم."
"We can't remove the item.","ما نمی توانیم این مورد را حذف کنیم."
"%1 was updated in your shopping cart.","%1 در سبد خرید شما به روز شد."
"We can't update the item right now.","اکنون نمی توانیم این مورد را به روز کنیم."
"We can't update the shopping cart.","ما نمیتوانیم سبد خرید را به روزرسانی کنیم."
"One-page checkout is turned off.","پرداخت نهایی تک صفحه ای غیرفعال است."
"Guest checkout is disabled.","پرداخت مهمان غیرفعال است."
"Checkout","پرداخت نهایی"
"Page not found.","صفحه یافت نشد."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","هنگام پردازش سفارش شما اشتباهی رخ داد. لطفا بعدا دوباره امتحان کنید."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","٪ 1 گسترش نمی دهد \ Magento \ Checkout \ CustomerData \ ItemInterface"
"Payment Method","روش پرداخت"
"Payment Page","صفحه پرداخت"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","ما یک درخواست نامعتبر برای افزودن محصول به برآورد پیدا کردیم."
"The product does not exist.","محصول وجود ندارد."
"We don't have some of the products you want.","برخی از محصولات مورد نظر شما موجود نیست."
"We don't have as many of some products as you want.","برخی از محصولات به تعداد مورد نظر شما موجود نیست."
"Quantity was recalculated from %1 to %2","تعداد از %1 به %2 تغییر کرد"
"We adjusted product quantities to fit the required increments.","ما تعداد محصول را مطابق با افزایش مورد نیاز تنظیم کردیم."
"This quote item does not exist.","برآورد مذکور وجود ندارد."
"Display number of items in cart","نمایش تعداد محصولات در سبد"
"Display item quantities","نمایش مقادیر آیتم"
"An error occurred on the server. Please try to place the order again.","خطایی در سرور رخ داده است. لطفا سعی کنید دوباره سفارش را ثبت کنید."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","حامل با چنین روشی یافت نشد: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," آیتم"
" items"," موارد"
"Totals calculation is not applicable to empty cart","محاسبه مجموع برای سبد خالی امکان پذیر نیست"
"Invalid data","داده نامعتبر"
"The customer address is not valid.","آدرس مشتری معتبر نیست."
"Invalid shipping method","روش ارسال نامعتبر"
"There are more than one shipping addresses.","بیش از یک آدرس ارسال وجود دارد."
"Sorry, guest checkout is not available.","با عرض پوزش، پرداخت برای کاربر مهمان امکان پذیر نیست."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","شما باید حساب کاربری خود را تأیید کنید. لطفا برای مشاهده لینک تأییدیه ایمیل خود را بررسی کنید و یا برای ایجاد یک لینک جدید <a href=""%1"">اینجا</a> کلیک کنید."
"Load customer quote error","خطای بارگذاری برآورد هزینه‌ مشتری"
"Error message!","Error message!"
"Error!","خطا!"
"DB exception","استثنا پایگاه اطلاعاتی"
"Message","پیام"
"Print receipt","چاپ رسید"
"Apply Discount Code","درخواست کد تخفیف"
"Enter discount code","کد تخفیف را وارد کنید"
"Apply Discount","اعمال تخفیف"
"Cancel Coupon","لغو کوپن"
"Shopping Cart Items","لیست سبد خرید"
"Item","آیتم"
"Price","قيمت"
"Qty","تعداد"
"Subtotal","جمع جز"
"Continue Shopping","ادامه خرید"
"Clear Shopping Cart","پاک کردن سبد خرید"
"Update Shopping Cart","به روز رسانی سبد خرید"
"Update Cart","به روز رسانی سبد خرید"
"See price before order confirmation.","قبل از تأیید سفارش، قیمت را مشاهده کنید."
"What's this?","این چیست؟"
"Edit item parameters","ویرایش پارامترهای محصول"
"Edit","ويرايش"
"Remove item","برداشتن آیتم"
"You have no items in your shopping cart.","شما هیچ محصولی در سبد خریدتان ندارید."
"Click <a href=""%1"">here</a> to continue shopping.","<a href=""<a href=""%1"">""> اینجا </a> برای ادامه خرید کلیک کنید."
"Estimate Tax","برآورد مالیات"
"Estimate Shipping and Tax","برآورد ارسال و مالیات"
"Excl. Tax","بدون مالیات"
"Loading...","در حال بار گذاری..."
"Order #","سفارش #"
"Proceed to Checkout","اقدام به پرداخت"
"Product Name","نام محصول"
"Incl. Tax","با مالیات"
"Your order number is: %1.","شماره سفارش شما:%1 می باشد."
"Your order # is: <span>%1</span>.","سفارش شما # is: <span>%1</span>است."
"We'll email you an order confirmation with details and tracking info.","ایمیلی حاوی تأیید سفارش با جزئیات و اطلاعات پیگیری دریافت خواهید کرد."
"Payment Transaction Failed Reminder","یادآوری تراکنش پرداخت ناموفق"
"Payment Transaction Failed","تراکنش پرداخت ناموفق"
"Reason","دلیل"
"Checkout Type","نوع پرداخت نهایی"
"Customer:","مشتری:"
"Items","موارد"
"Total:","مجموع:"
"Billing Address:","آدرس صورتحساب:"
"Shipping Address:","آدرس حمل و نقل:"
"Shipping Method:","روش ارسال:"
"Payment Method:","روش پرداخت:"
"Date & Time:","تاریخ و زمان:"
"Sign In","ورود"
"Email Address","آدرس ايمميل"
"Password","کلمه عبور"
"Forgot Your Password?","کلمه عبور خود را فراموش کرده اید؟"
"My billing and shipping address are the same","آدرس صورتحساب و آدرس ارسال من یکی هستند"
"Update","به روز رسانی"
"Cancel","لغو"
"Save in address book","ذخیره در دفترچه آدرس"
"Estimated Total","برآورد کل"
"You can create an account after checkout.","شما می توانید پس از پرداخت یک حساب کاربری ایجاد کنید."
"You already have an account with us. Sign in or continue as guest.","شما در حال حاضر یک حساب کاربری دارید. با اطلاعات حساب خود وارد شوید یا به عنوان کاربر مهمان وارد سیستم شوید."
"Login","ورود"
"See Details","مشاهده جزئیات"
"Options Details","تنظیمات جزئیات"
"Remove","برداشتن"
"Cart Subtotal","مجموع سبد خرید"
"Payment Information","اطلاعات پرداخت"
"No Payment method available.","هیچ روش پرداختی وجود ندارد."
"You can track your order status by creating an account.","شما می توانید وضعیت سفارش خود را با ایجاد یک حساب کاربری پیگیری کنید."
"Place Order","ایجاد سفارش"
"Forgot an Item?","موردی را فراموش کرده اید؟"
"Edit Your Cart","ویرایش سبد خرید"
"Ship Here","ارسال به اینجا"
"Ship To:","ارسال به:"
"edit","ويرايش"
"Order Summary","خلاصه سفارش"
"View and Edit Cart","مشاهده و ویرایش سبد خرید"
"View Details","مشاهده جزئیات"
"Field ","فیلد "
" is required."," الزامی است."
"Provided Zip/Postal Code seems to be invalid.","کد پستی وارد شده نامعتبر است."
" Example: "," مثال: "
"If you believe it is the right one you can ignore this notice.","اگر فکر می کنید درست است، می توانید این پیام را نادیده بگیرید."
"New Address","آدرس جدید"
"Are you sure you would like to remove this item from the shopping cart?","شما مطمئن‌اید که به برداشتن این آیتم از سبد خرید مایلید؟"
"Review & Payments","نقد و بررسی ها و پرداخت ها"
"Select a new payment method","یک روش پرداخت جدید انتخاب کنید"
"Shipping","ارسال"
"Save Address","ذخیره‌ آدرس"
"Please specify a shipping method.","Please specify a shipping method."
"Checkout Options","گزینه‌های پرداخت"
"Enable Onepage Checkout","فعالسازی پرداخت تک صفحه ای"
"Allow Guest Checkout","به کاربر مهمان اجازه پرداخت نهایی بده"
