"Shopping Cart","Carrito de compras"
"Invalid method: %1","Método inválido: %1"
"City","Ciudad"
"Country","País"
"State/Province","Estado/provincia"
"Zip/Postal Code","Código Postal"
"My Cart (1 item)","Mi carrito (1 artículo)"
"My Cart (%1 items)","Mi carrito (%1 artículos)"
"My Cart","Mi carrito"
"For delivery questions.","Para preguntas de entrega."
"Customer is already registered","Cliente ya está registrado"
"Your session has expired","Su sesión ha caducado"
"A letter with further instructions will be sent to your email.","Se enviará más información a su correo electrónico."
"You added %1 to your shopping cart.","Añadiste %1 a tu carrito de compras."
"We can't add this item to your shopping cart right now.","No se puede añadir este artículo al carrito de compras en este momento."
"Out of stock","Sin stock"
"We can't find the quote item.","No podemos encontrar el artículo de cita."
"We cannot configure the product.","No se puede configurar el artículo."
"You used coupon code ""%1"".","Se utiliza el código de cupón ""%1""."
"The coupon code ""%1"" is not valid.","El cupón ""%1"" no es válido."
"You canceled the coupon code.","Usted canceló el código del cupón."
"We cannot apply the coupon code.","No se puede aplicar el código de cupón."
"We can't remove the item.","No se puede eliminar el artículo."
"%1 was updated in your shopping cart.","%1 fueron actualizados en su carrito de la compra."
"We can't update the item right now.","No se puede actualizar el artículo en este momento."
"We can't update the shopping cart.","No podemos actualizar el carrito."
"One-page checkout is turned off.","Pago en una página está desactivado."
"Guest checkout is disabled.","El pago de invitado está deshabilitado."
"Checkout","Cobro"
"Page not found.","Página no encontrada."
"Please agree to all the terms and conditions before placing the order.","Por favor, debe estar de acuerdo con todos los términos y condiciones antes de realizar el pedido."
"Something went wrong while processing your order. Please try again later.","Algo salió mal durante el procesamiento de su pedido. Por favor, inténtalo más tarde."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 no extiende \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Método de pago"
"Payment Page","Página de pago"
"We can't find the product.","No se puede encontrar el artículo."
"We found an invalid request for adding product to quote.","Encontramos una solicitud inválida para añadir el producto al presupuesto."
"The product does not exist.","El artículo no existe."
"We don't have some of the products you want.","Tenemos algunos de los artículos que desea."
"We don't have as many of some products as you want.","No tenemos la mayor cantidad de ciertos productos como desea."
"Quantity was recalculated from %1 to %2","La cantidad se calculó a partir de %1 a %2"
"We adjusted product quantities to fit the required increments.","Hemos ajustado las cantidades de productos para adaptarse a los incrementos requeridos."
"This quote item does not exist.","Este artículo de presupuesto no existe."
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display item quantities","Artikelmengen anzeigen"
"An error occurred on the server. Please try to place the order again.","Se ha producido un error en el servidor. Trate de hacer el pedido otra vez."
"Shipping address is not set","No se ha establecido la dirección de envío"
"Unable to save shipping information. Please check input data.","No se puede guardar la información de envío. Por favor, comprueba los datos ingresados."
"Carrier with such method not found: %1, %2","Soporte con dicho método no encontrado: %1, %2"
"Shipping method is not applicable for empty cart","El método de envío no es aplicable para el carrito vacío"
" item"," artículo"
" items"," artículos"
"Totals calculation is not applicable to empty cart","Cálculo de totales no es aplicable al carrito vacío"
"Invalid data","Datos inválidos"
"The customer address is not valid.","La dirección del cliente no es válida."
"Invalid shipping method","Método de envío no válido"
"There are more than one shipping addresses.","Hay más de una dirección de envío."
"Sorry, guest checkout is not available.","Disculpe, no es posible realizar pedidos como invitado."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor compruebe su correo electrónico para el enlace de confirmación o <a href=""%1"">haga clic aquí</a> para un nuevo enlace."
"Load customer quote error","Error al cargar la oferta al cliente"
"Error message!","Mensaje de error!"
"Error!","¡Fallo!"
"DB exception","Excepción de DB"
"Message","Mensaje"
"Print receipt","Imprimir recibo"
"Apply Discount Code","Aplicar código de descuento"
"Enter discount code","Introducir código de descuento"
"Apply Discount","Aplicar descuento"
"Cancel Coupon","Cancelar el cupón"
"Shopping Cart Items","Artículos del carrito de compras"
"Item","Artículo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Continue Shopping","Continuar comprando"
"Clear Shopping Cart","Vaciar carrito de compra"
"Update Shopping Cart","Actualizar carrito de compras"
"Update Cart","Actualizar carrito"
"See price before order confirmation.","Consulte el precio antes de confirmar el pedido."
"What's this?","¿Qué es esto?"
"Edit item parameters","Editar parámetros del artículo"
"Edit","Editar"
"Remove item","Eliminar artículo"
"You have no items in your shopping cart.","No tienes ningún artículo en tu carrito de compras."
"Click <a href=""%1"">here</a> to continue shopping.","Haga clic <a href=""%1""> aquí</a> para continuar comprando."
"Estimate Tax","Calcular impuestos"
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos no incluídos"
"Loading...","Cargando..."
"Order #","Pedido #"
"Proceed to Checkout","Pasar por caja"
"Product Name","Nombre del Producto"
"Incl. Tax","Incl. impuestos"
"Your order number is: %1.","Su número de pedido es: %1."
"Your order # is: <span>%1</span>.","Su Nº de pedido es: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un correo electrónico de confirmación con los detalles y información del envío."
"Payment Transaction Failed Reminder","Recordatorio de error de transacción de pago"
"Payment Transaction Failed","Ha fallado la operación de pago"
"Reason","Razón: "
"Checkout Type","Tipo de pago"
"Customer:","Cliente:"
"Items","Artículos"
"Total:","Total:"
"Billing Address:","Dirección de facturación:"
"Shipping Address:","Dirección de envío:"
"Shipping Method:","Método de envío:"
"Payment Method:","Método de pago:"
"Date & Time:","Fecha y hora:"
"Sign In","Iniciar sesión"
"Email Address","Correo Electrónico"
"Password","Contraseña"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"My billing and shipping address are the same","Mi direcciónes de facturación y de envío son las mismas"
"Update","Actualizar"
"Cancel","Cancelar"
"Save in address book","Guardar en libreta de direcciones"
"Estimated Total","Total estimado"
"You can create an account after checkout.","Puede crear una cuenta después del cobro."
"You already have an account with us. Sign in or continue as guest.","Ya tienes una cuenta. Ingresar o continuar como invitado."
"Login","Entrar"
"See Details","Ver información"
"Options Details","Detalles de las opciones"
"Remove","Quitar"
