"Shopping Cart","શોપિંગ કાર્ટ"
"Invalid method: %1","અમાન્ય પદ્ધતિ:%1"
"City","શહેર"
"Country","દેશ"
"State/Province","રાજ્ય / પ્રાંત"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"My Cart (1 item)","મારી કાર્ટ (1 આઇટમ)"
"My Cart (%1 items)","મારી કાર્ટ (%1 આઇટમ્સ)"
"My Cart","મારી કાર્ટ"
"For delivery questions.","વિતરણ પ્રશ્નો માટે."
"Customer is already registered","ગ્રાહક પહેલેથી નોંધાયેલ છે"
"Your session has expired","તમારું સત્ર સમાપ્ત થયું છે"
"A letter with further instructions will be sent to your email.","વધુ સૂચનો સાથેનો એક પત્ર તમારા ઇમેઇલ પર મોકલવામાં આવશે."
"You added %1 to your shopping cart.","તમે તમારી શોપિંગ કાર્ટમાં%1 ઉમેર્યા."
"We can't add this item to your shopping cart right now.","અમે આ આઇટમને તમારા શોપિંગ કાર્ટમાં હમણાં ઉમેરી શકતા નથી."
"Out of stock","સ્ટોક બહાર"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","અમે ઉત્પાદનને ગોઠવી શકતા નથી."
"You used coupon code ""%1"".","તમે કૂપન કોડ ""%1"" નો ઉપયોગ કર્યો."
"The coupon code ""%1"" is not valid.","કૂપન કોડ ""%1"" માન્ય નથી."
"You canceled the coupon code.","તમે કૂપન કોડ રદ કર્યો."
"We cannot apply the coupon code.","અમે કૂપન કોડ લાગુ કરી શકતા નથી."
"We can't remove the item.","અમે વસ્તુને દૂર કરી શકતા નથી."
"%1 was updated in your shopping cart.","%1 તમારી શોપિંગ કાર્ટમાં અપડેટ કરાઈ હતી."
"We can't update the item right now.","અમે અત્યારે વસ્તુને અપડેટ કરી શકતા નથી."
"We can't update the shopping cart.","અમે શોપિંગ કાર્ટને અપડેટ કરી શકતા નથી."
"One-page checkout is turned off.","વન-પૃષ્ઠ ચેકઆઉટ બંધ છે."
"Guest checkout is disabled.","અતિથિ ચેકઆઉટ અક્ષમ છે."
"Checkout","ચેકઆઉટ"
"Page not found.","પેજ નથી મળ્યું."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","તમારા ઑર્ડરની પ્રક્રિયા કરતી વખતે કંઈક ખોટું થયું. પછીથી ફરી પ્રયત્ન કરો."
