"Shopping Cart","Panier"
"Invalid method: %1","Méthode non valide : %1"
"City","Ville"
"Country","Pays"
"State/Province","État/Région/Dpt"
"Zip/Postal Code","Code postal"
"My Cart (1 item)","Mon panier (1 article)"
"My Cart (%1 items)","Mon panier (%1 articles)"
"My Cart","Mon panier"
"For delivery questions.","Pour les questions de livraison."
"Customer is already registered","Le client est déjà enregistré"
"Your session has expired","Votre session a expiré"
"A letter with further instructions will be sent to your email.","Une lettre avec d’autres instructions vous sera envoyée à votre adresse email."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier dès maintenant."
"Out of stock","Épuisé"
"We can't find the quote item.","Nous ne pouvons pas trouver l'article dans le panier."
"We cannot configure the product.","Nous ne pouvons pas configurer le produit."
"You used coupon code ""%1"".","Vous avez utilisé le code coupon ""%1""."
"The coupon code ""%1"" is not valid.","Le code de réduction ""%1"" n'est pas valide."
"You canceled the coupon code.","Vous avez annulé le code du coupon."
"We cannot apply the coupon code.","Impossible d'appliquer le code du coupon."
"We can't remove the item.","Impossible d'enlever l'article."
"%1 was updated in your shopping cart.","%1 a été mis à jour dans votre panier."
"We can't update the item right now.","Impossible de mettre à jour l'article maintenant."
"We can't update the shopping cart.","Nous ne pouvons pas mettre à jour le panier d’achat."
"One-page checkout is turned off.","Le passage de commande en une page est désactivé."
"Guest checkout is disabled.","Le passage de commande est désactivé pour les invités."
"Checkout","Commander"
"Page not found.","Page introuvable."
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Something went wrong while processing your order. Please try again later.","Quelque chose s'est mal passé lors du traitement de votre commande. S'il vous plaît essayer à nouveau plus tard."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 n’étend pas \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Mode de paiement"
"Payment Page","Page de paiement"
"We can't find the product.","Nous ne pouvons pas trouver le produit."
"We found an invalid request for adding product to quote.","Nous avons constaté une demande non valide pour l'ajout du produit au devis."
"The product does not exist.","Le produit n'existe pas."
"We don't have some of the products you want.","Nous n'avons pas certains des produits que vous voulez."
"We don't have as many of some products as you want.","Nous n'avons pas autant de produits que vous le souhaitez."
"Quantity was recalculated from %1 to %2","La quantité a été recalculée de %1 à %2"
"We adjusted product quantities to fit the required increments.","Nous avons ajusté les quantités de produits pour répondre aux conditionnements imposés."
"This quote item does not exist.","Cet article de devis n'existe pas."
"Display number of items in cart","Afficher le nombre d'articles dans le panier"
"Display item quantities","Afficher la quantité d'articles"
"An error occurred on the server. Please try to place the order again.","Une erreur s'est produite sur le serveur. S'il vous plaît essayer de valider la commande de nouveau."
"Shipping address is not set","L'adresse de livraison n'est pas renseignée"
"Unable to save shipping information. Please check input data.","Impossible d'enregistrer les informations de livraison. Veuillez vérifier les données d'entrée."
"Carrier with such method not found: %1, %2","Transporteur introuvable avec cette mode: %1, %2"
"Shipping method is not applicable for empty cart","Ce mode de livraison n’est pas applicable pour un panier vide"
" item"," article"
" items"," articles"
"Totals calculation is not applicable to empty cart","Calcul des totaux n’est pas applicable au panier vide"
"Invalid data","Données non valides"
"The customer address is not valid.","L'adresse du client n'est pas valide."
"Invalid shipping method","Méthode de livraison non valide"
"There are more than one shipping addresses.","Il y a plusieurs adresses de livraison."
"Sorry, guest checkout is not available.","Désolé, la commande en tant qu'invité n'est pas disponible."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Vous devez confirmer votre compte. Veuillez vérifier votre email pour le lien de confirmation ou <a href=""%1"">cliquez ici</a> pour un nouveau lien."
"Load customer quote error","Erreur lors du chargement du panier client"
"Error message!","Message d’erreur !"
"Error!","Erreur !"
"DB exception","Erreur dans la base de données"
"Message","Message"
"Print receipt","Imprimer le ticket"
"Apply Discount Code","Appliquer le code de réduction"
"Enter discount code","Saisir un code de réduction"
"Apply Discount","Appliquer la réduction"
"Cancel Coupon","Annuler le bon de réduction"
"Shopping Cart Items","Articles du panier"
"Item","Article"
"Price","Prix"
"Qty","Qté"
"Subtotal","Sous-total"
"Continue Shopping","Continuez vos achats"
"Clear Shopping Cart","Vider le panier"
"Update Shopping Cart","Mettre à jour le panier"
"Update Cart","Mettre à jour le panier"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"What's this?","Qu'est-ce que c'est ?"
"Edit item parameters","Éditer les paramètres de l'article"
"Edit","Éditer"
"Remove item","Retirer l'article"
"You have no items in your shopping cart.","Votre panier est vide."
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats."
"Estimate Tax","Estimer la taxe"
"Estimate Shipping and Tax","Estimer la livraison et la TVA"
"Excl. Tax","HT"
"Loading...","En cours de chargement..."
"Order #","Commande n°"
"Proceed to Checkout","Commander"
"Product Name","Nom de produit"
"Incl. Tax","TTC"
"Your order number is: %1.","Votre numéro de commande est : %1."
"Your order # is: <span>%1</span>.","Votre commande # est : <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Nous vous enverrons la confirmation de commande avec les détails et les informations de suivi."
"Payment Transaction Failed Reminder","Rappel de l'échec de la transaction de paiement"
"Payment Transaction Failed","Echec de la transaction de paiement"
"Reason","Motif"
"Checkout Type","Type de paiement"
"Customer:","Client :"
"Items","Articles"
"Total:","Total :"
"Billing Address:","Adresse de facturation :"
"Shipping Address:","Adresse de livraison :"
"Shipping Method:","Mode de livraison :"
"Payment Method:","Mode de paiement :"
"Date & Time:","Date & heure :"
"Sign In","Se connecter"
"Email Address","Adresse email"
"Password","Mot de passe"
"Forgot Your Password?","Mot de passe oublié ?"
"My billing and shipping address are the same","Mes adresses de livraison et de facturation sont identiques"
"Update","Mettre à jour"
"Cancel","Annuler"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Estimated Total","Total estimé :"
"You can create an account after checkout.","Vous pouvez créer un compte après la commande."
"You already have an account with us. Sign in or continue as guest.","Vous avez déjà un compte chez nous. Identifiez-vous ou continuez en tant qu’invité."
"Login","Connexion"
"See Details","Voir les détails"
"Options Details","Détails des options"
"Remove","Supprimer"
