"Shopping Cart","Nákupný košík"
"Invalid method: %1","Neplatná metóda: %1"
"City","Mesto"
"Country","Krajina"
"State/Province","Štát/provincia"
"Zip/Postal Code","Poštové smerovacie číslo"
"My Cart (1 item)","Môj košík (1 položka)"
"My Cart (%1 items)","Môj košík (%1 položiek)"
"My Cart","Môj košík"
"For delivery questions.","For delivery questions."
"Customer is already registered","Zákazník je už zaregistrovaný"
"Your session has expired","Platnosť vašej relácie uplynula"
"A letter with further instructions will be sent to your email.","Na váš e-mail sa odošú informácie s ďalšími pokynmi."
"You added %1 to your shopping cart.","Pridali ste %1 do Vašeho nákupního košíku."
"We can't add this item to your shopping cart right now.","Práve teraz nieje možné pridať položku do vašeho košíka."
"Out of stock","Vypredané"
"We can't find the quote item.","Nemôžeme nájsť položku z vašeho košíka."
"We cannot configure the product.","Produkt nebolo možné nakonfigurovať."
"You used coupon code ""%1"".","Použili ste kupon s kódom ""%1""."
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" je neplatný."
"You canceled the coupon code.","Zrušili ste kupón s kódom."
"We cannot apply the coupon code.","Nebolo možné aplikovať zadaný kupón."
"We can't remove the item.","Nemôžeme odstrániť položku."
"%1 was updated in your shopping cart.","%1 bol aktualizovaný v nákupnom košíku."
"We can't update the item right now.","Položku nebolo možné aktualizovať."
"We can't update the shopping cart.","Košík nebolo možné aktualizovať."
"One-page checkout is turned off.","Jednostránkový nákup je vypnutý."
"Guest checkout is disabled.","Nieje možné nakupovať bez registrácie."
"Checkout","Objednať"
"Page not found.","Stránka sa nenašla."
"Please agree to all the terms and conditions before placing the order.","Je nutné akceptovať podmienky a ustanovenia pre dokončenie nákupu."
"Something went wrong while processing your order. Please try again later.","Niečo sa pokazilo pri spracovaní vašej objednávky. Skúste to znova neskôr."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nieje rozšírením triedy \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Spôsob platby"
"Payment Page","Stránka platby"
"We can't find the product.","Produkt sa nedá nájsť."
"We found an invalid request for adding product to quote.","Zaznamenali sme nepltaný pokus o pridanie produktu do košíka."
"The product does not exist.","Produkt neexistuje."
"We don't have some of the products you want.","Nemáme niektoré z produktov, ktoré chcete."
"We don't have as many of some products as you want.","Požadované množstvo nieje dostupné."
"Quantity was recalculated from %1 to %2","Množstvo bolo prepočítané z %1 na %2"
"We adjusted product quantities to fit the required increments.","Množstvo produktov tak aby odpovedalo povolenému množstvu."
"This quote item does not exist.","Táto položka z košíka už neexistuje."
"Display number of items in cart","Zobraziť počet položiek v košíku"
"Display item quantities","Zobraziť množstva produktov"
"An error occurred on the server. Please try to place the order again.","Na serveri sa vyskytla chyba. Prosím, skúste znova zadať objednávku."
"Shipping address is not set","Adresa doručenia nie je zadaná"
"Unable to save shipping information. Please check input data.","Nie je možné uložiť adresu doručenia. Prosím, skontrolujte vstupné údaje."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," položka"
" items"," položky"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Neplatné údaje"
"The customer address is not valid.","Adresa zákazníka je neplatná."
"Invalid shipping method","Neplatný spôsob dopravy"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Load customer quote error"
"Error message!","Chybové hlásenie!"
"Error!","Chyba!"
"DB exception","DB exception"
"Message","Správa"
"Print receipt","Vytlačiť potvrdenie"
"Apply Discount Code","Použiť zľavový kód"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Položky nákupného košíku"
"Item","Položka"
"Price","Cena"
"Qty","Množstvo"
"Subtotal","Medzisúčet"
"Continue Shopping","Pokračovať v nákupe"
"Clear Shopping Cart","Vyprázdniť nákupný košík"
"Update Shopping Cart","Aktualizovať nákupný košík"
"Update Cart","Aktualizácia košíka"
"See price before order confirmation.","Pozrite si ceny pred potvrdením objednávky."
"What's this?","Čo to je?"
"Edit item parameters","Upraviť parametre položky"
"Edit","Upraviť"
"Remove item","Odstrániť položku"
"You have no items in your shopping cart.","Nemáte žiadne položky vo vašom nákupnom košíku."
"Click <a href=""%1"">here</a> to continue shopping.","Kliknite <a href=""%1""> tu</a> pre pokračovanie v nákupe."
"Estimate Tax","Odhad dane"
"Estimate Shipping and Tax","Odhad poštovného a dane"
"Excl. Tax","Bez dane"
"Loading...","Načítávanie..."
"Order #","Objednávka #"
"Proceed to Checkout","Prejdite do pokladne"
"Product Name","Názov produktu"
"Incl. Tax","Vrátane dane"
"Your order number is: %1.","Číslo vašej objednávky je: %1."
"Your order # is: <span>%1</span>.","Číslo vašej objednávky je: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Bude Vám odoslané potvrdenie objednávky a prípadne i informácie na sledovanie zásielky."
"Payment Transaction Failed Reminder","Payment Transaction Failed Reminder"
"Payment Transaction Failed","Payment Transaction Failed"
"Reason","Dôvod"
"Checkout Type","Spôsob nákupu"
"Customer:","Zákazník:"
"Items","Položky"
"Total:","Celkom:"
"Billing Address:","Adresa pre fakturáciu:"
"Shipping Address:","Adresa pre doručenie:"
"Shipping Method:","Spôsob dopravy:"
"Payment Method:","Spôsob platby:"
"Date & Time:","Dátum a čas:"
"Sign In","Prihlásiť sa"
"Email Address","E-mailová adresa"
"Password","Heslo"
"Forgot Your Password?","Zabudli ste heslo?"
"My billing and shipping address are the same","Adresa dodania a fakturačná adresa sú rovnaké"
"Update","Aktualizácia"
"Cancel","Zrušiť"
"Save in address book","Uložiť do adresára"
"Estimated Total","Odhad celkovej ceny"
"You can create an account after checkout.","Po dokončení nákupu môžete vytvoriť účet."
"You already have an account with us. Sign in or continue as guest.","Už máte účet u nás. Prihláste sa, alebo pokračujte ako hosť."
"Login","Prihlásiť sa"
"See Details","Pozri detaily"
"Options Details","Podrobnosti možnosti"
"Remove","Odstrániť"
"Cart Subtotal","Medzisúčet košíka"
"Payment Information","Informácie o platbe"
