"Shopping Cart","ตะกร้าสินค้า"
"City","เขต/อำเภอ"
"Country","ประเทศ"
"State/Province","จังหวัด"
"Zip/Postal Code","รหัสไปรษณีย์"
"My Cart (1 item)","ตะกร้า (1 ชิ้น)"
"My Cart (%1 items)","ตะกร้า (%1 ชิ้น)"
"My Cart","ตะกร้า"
"%1: Line %2","%1: Line %2"
"For delivery questions.","สำหรับสอบถามเกี่ยวกับการจัดส่ง"
"Customer is already registered","ลูกค้าได้ลงทะเบียนไว้แล้ว"
"Your session has expired","เซสชั่นของคุณหมดอายุแล้ว"
"A letter with further instructions will be sent to your email.","จดหมายพร้อมคำแนะนำเพิ่มเติมจะถูกส่งไปยังอีเมลของคุณ"
"You added %1 to your shopping cart.","คุณเพิ่มสินค้า %1 ชิ้น ลงในตะกร้า"
"We can't add this item to your shopping cart right now.","เราไม่สามารถเพิ่มสินค้านี้ไปยังตะกร้าสินค้าของคุณได้ในขณะนี้"
"Out of stock","สินค้าหมด"
"Please select at least one product to add to cart","โปรดเลือกสินค้าอย่างน้อยหนึ่งรายการเพื่อเพิ่มในตะกร้า"
"The quote item isn't found. Verify the item and try again.","ไม่พบสินค้าใบเสนอราคา ตรวจสอบรายการแล้วลองอีกครั้ง"
"We cannot configure the product.","เราไม่สามารถกำหนดค่าตัวเลือกของสินค้าได้"
"You used coupon code ""%1"".","คุณใช้รหัสคูปอง ""%1"""
"The coupon code ""%1"" is not valid.","รหัสคูปอง ""%1"" ไม่สามารถใช้ได้"
"You canceled the coupon code.","คุณได้ยกเลิกคูปอง"
"We cannot apply the coupon code.","ไม่สามารถใช้รหัสคูปองนี้ได้"
"We can't remove the item.","เราไม่สามารถลบสินค้าได้"
"%1 was updated in your shopping cart.","%1 ได้รับการปรับปรุงในตะกร้าสินค้าของคุณ"
"We can't update the item right now.","เราไม่สามารถอัปเดตสินค้าได้ในขณะนี้"
"Page Not Found","ไม่พบหน้านี้"
"Something went wrong while saving the page. Please refresh the page and try again.","มีบางอย่างผิดปกติขณะบันทึกหน้า โปรดรีเฟรชหน้าแล้วลองอีกครั้ง"
"We can't update the shopping cart.","เราไม่สามารถอัปเดตตะกร้าสินค้าได้"
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
"Checkout","ชำระเงิน"
"Page not found.","ไม่พบหน้านี้"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Something went wrong while processing your order. Please try again later.","Something went wrong while processing your order. Please try again later."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","วิธีการชำระเงิน"
"Payment Page","หน้าการชำระเงิน"
"Could not store billing/shipping information at the moment but you can proceed with the checkout","Could not store billing/shipping information at the moment but you can proceed with the checkout"
"Incorrect CAPTCHA","CAPTCHA ไม่ถูกต้อง"
"Please provide CAPTCHA code and try again","โปรดระบุรหัส CAPTCHA แล้วลองอีกครั้ง"
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
