"Shopping Cart","Ostukorv"
"Invalid method: %1","Sobimatu meetod: %1"
"City","Linn"
"Country","Riik"
"State/Province","Maakond"
"Zip/Postal Code","Postiindeks"
"My Cart (1 item)","Minu ostukorv (1 toode)"
"My Cart (%1 items)","Minu ostukorv (%1 toodet)"
"My Cart","Minu ostukorv"
"For delivery questions.","Kohaletoimetamise küsimused."
"Customer is already registered","Klient on juba registreeritud"
"Your session has expired","Teie sessioon on aegunud"
"A letter with further instructions will be sent to your email.","Täiendavate juhiste kiri saadetakse teie e-posti."
"You added %1 to your shopping cart.","Te lisasite %1 toote oma ostukorvi."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Out of stock","Laost otsas"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Ei saa toodet konfigureerida."
"You used coupon code ""%1"".","Kasutasid sooduskoodi ""%1""."
"The coupon code ""%1"" is not valid.","Sooduskood ""%1"" on kehtetu."
"You canceled the coupon code.","Sooduskood tühistatud."
"We cannot apply the coupon code.","Ei saa rakendada sooduskoodi."
"We can't remove the item.","We can't remove the item."
"%1 was updated in your shopping cart.","%1 uuendati ostukorvis."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","Ei saa ostukorvi uuendada."
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Tellimine külalistele on keelatud."
"Checkout","Tellimuse vormistamine"
"Page not found.","Lehte ei leitud."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Teie tellimuse töötlemisel läks midagi valesti. Palun proovige hiljem uuesti."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Makseviis"
"Payment Page","Makse leht"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","Toodet pole olemas."
"We don't have some of the products you want.","Meil puuduvad mõned Teie poolt soovitud tooted."
"We don't have as many of some products as you want.","Meil ei ole mõnda soovitud toodet Teie poolt nõutavas koguses."
