"Shopping Cart","购物车"
"Invalid method: %1","支付失败邮件副本发送方式"
"City","城市"
"Country","国家"
"State/Province","州/省"
"Zip/Postal Code","邮编"
"My Cart (1 item)","我的购物车 (1 项)"
"My Cart (%1 items)","我的购物车 (%1 项目)"
"My Cart","我的购物车"
"For delivery questions.","为交货问题。"
"Customer is already registered","客户已注册"
"Your session has expired","您的会话已过期"
"A letter with further instructions will be sent to your email.","一封信进一步说明将发送到您的电子邮件。"
"You added %1 to your shopping cart.","您已添加 %1 到您的购物车"
"We can't add this item to your shopping cart right now.","我们这个项目不能添加到您的购物车现在。"
"Out of stock","缺货"
"We can't find the quote item.","我们找不到引用项。"
"We cannot configure the product.","我们不能配置该产品。"
"You used coupon code ""%1"".","你使用优惠券代码""%1""。"
"The coupon code ""%1"" is not valid.","优惠券代码""%1""无效。"
"You canceled the coupon code.","你取消的优惠券代码。"
"We cannot apply the coupon code.","我们不能适用的优惠券代码。"
"We can't remove the item.","我们不能删除该项目。"
"%1 was updated in your shopping cart.","%1 已更新您的购物车中。"
"We can't update the item right now.","我们现在不能更新该项目。"
"We can't update the shopping cart.","我们不能更新购物车。"
"One-page checkout is turned off.","单页结帐处于关闭状态。"
"Guest checkout is disabled.","禁用了来宾结帐。"
"Checkout","结帐"
"Page not found.","找不到网页。"
"Please agree to all the terms and conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"Something went wrong while processing your order. Please try again later.","在处理您的订单时，出了错。请稍后再试。"
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 不延长 \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","支付方式"
"Payment Page","支付方式"
"We can't find the product.","我们找不到该产品"
"We found an invalid request for adding product to quote.","我们发现一个无效的请求添加产品报价。"
"The product does not exist.","产品不存在。"
"We don't have some of the products you want.","我们不要有一些你想要的产品。"
"We don't have as many of some products as you want.","如你所愿，我们没有那么多一些产品。"
"Quantity was recalculated from %1 to %2","数量是重新计算从 %1 到 %2"
"We adjusted product quantities to fit the required increments.","我们调整产品数量以适应所需的增量。"
"This quote item does not exist.","这一报价项目不存在。"
"Display number of items in cart","在购物车中显示项目的数"
"Display item quantities","显示物料数量"
"An error occurred on the server. Please try to place the order again.","服务器上出现错误。请试着再次下订单。"
"Shipping address is not set","运营商有这样的方法没有发现：%1%2"
"Unable to save shipping information. Please check input data.","无法保存航运信息。请检查输入的数据。"
"Carrier with such method not found: %1, %2","承运人用这样的方法找不到: %1，%2"
"Shipping method is not applicable for empty cart","送货方式不是适用于空购物车"
" item","项目"
" items","项目"
"Totals calculation is not applicable to empty cart","总计计算是不适用于空购物车"
"Invalid data","无效的数据"
"The customer address is not valid.","客户地址不是有效的。"
"Invalid shipping method","无效的运输方法"
"There are more than one shipping addresses.","有多个送货地址。"
"Sorry, guest checkout is not available.","对不起，客人结帐不是可用的。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户，请检查您电子邮件的确认链接或<a href=""%1"">点击此处</a>打开一个新的链接。"
"Load customer quote error","加载客户报价单错误"
"Error message!","错误消息!"
"Error!","错误!"
"DB exception","DB 异常"
"Message","信息"
"Print receipt","打印收据"
"Apply Discount Code","应用折扣代码"
"Enter discount code","请输入折扣代码"
"Apply Discount","应用折扣"
"Cancel Coupon","取消优惠券"
"Shopping Cart Items","购物车里的产品"
"Item","产品"
"Price","价格"
"Qty","数量"
"Subtotal","小计"
"Continue Shopping","继续购物"
"Clear Shopping Cart","没有付款方式"
"Update Shopping Cart","更新购物车"
"Update Cart","更新购物车"
"See price before order confirmation.","确认订单前显示价格。"
"What's this?","这是什么？"
"Edit item parameters","修改参数"
"Edit","编辑"
"Remove item","删除项目"
"You have no items in your shopping cart.","你的购物车中没有任何物品。"
"Click <a href=""%1"">here</a> to continue shopping.","单击 <a href=""%1""> 此处</a> 继续购物。"
"Estimate Tax","估计税"
"Estimate Shipping and Tax","估计运费和税"
"Excl. Tax","不含税"
"Loading...","正在加载..."
"Order #","订单 #"
"Proceed to Checkout","去结帐"
"Product Name","产品名称"
"Incl. Tax","含。税"
"Your order number is: %1.","您的订单编号是: %1。"
"Your order # is: <span>%1</span>.","您的订单号是: <span>%1</span>。"
"We'll email you an order confirmation with details and tracking info.","我们马上给您发订单确认的详细信息和跟踪信息。"
"Payment Transaction Failed Reminder","付款交易记录失败提醒"
"Payment Transaction Failed","付款交易记录失败"
"Reason","原因"
"Checkout Type","结账类型"
"Customer:","客户:"
"Items","产品"
"Total:","总数:"
"Billing Address:","帐单地址:"
"Shipping Address:","收货地址："
"Shipping Method:","送货方法："
"Payment Method:","支付方式:"
"Date & Time:","日期时间："
"Sign In","登录"
"Email Address","电子邮件地址"
"Password","密码"
"Forgot Your Password?","您忘记密码了吗?"
"My billing and shipping address are the same","我的帐单和发货使用相同地址"
"Update","更新"
"Cancel","取消"
"Save in address book","保存到地址簿"
"Estimated Total","估计总额"
"You can create an account after checkout.","您可以在结账后创建帐户。"
"You already have an account with us. Sign in or continue as guest.","您已经有账号了，可以登录或继续使用游客账号"
"Login","登录"
"See Details","查看具体信息"
"Options Details","选项详细信息"
"Remove","删除"
"Cart Subtotal","购物车小计"
"Payment Information","支付信息"
"No Payment method available.","没有可用的付款方法。"
"You can track your order status by creating an account.","通过创建一个帐户跟踪您的订单状态。"
"Place Order","对不起，暂无报价可供此订单现在。"
"Forgot an Item?","消除一个商品吗?"
"Edit Your Cart","编辑您的购物车"
"Ship Here","船在这里"
"Ship To:","送货到:"
"edit","编辑"
"Order Summary","订单汇总"
"View and Edit Cart","查看和编辑购物车"
"View Details","查看详情"
"Field ","字段"
" is required.","是必需的。"
"Provided Zip/Postal Code seems to be invalid.","提供的邮政编码似乎无效。"
" Example: "," 示例︰ "
"If you believe it is the right one you can ignore this notice.","如果你觉的是正确的，可以忽略此通知。"
