"Shopping Cart","Кошничка"
"Invalid method: %1","Invalid method: %1"
"City","Град"
"Country","Држава"
"State/Province","State/Province"
"Zip/Postal Code","Поштенски код"
"My Cart (1 item)","Моја кошничка (1 продукт)"
"My Cart (%1 items)","Моја кошничка (%1 продукти)"
"My Cart","Моја кошничка"
"For delivery questions.","За прашања за испораката."
"Customer is already registered","Купувачот е веќе регистриран"
"Your session has expired","Your session has expired"
"A letter with further instructions will be sent to your email.","A letter with further instructions will be sent to your email."
"You added %1 to your shopping cart.","Додадовте %1 во вашата кошничка."
"We can't add this item to your shopping cart right now.","Во моментот неможеме да го додадеме продуктот во кошничката."
"Out of stock","Нема на залиха"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Неможеме да го конфигурираме продуктот."
"You used coupon code ""%1"".","Го искористи кодот на купонот ""%1""."
"The coupon code ""%1"" is not valid.","Кодот на купонот ""%1"" не е валиден."
"You canceled the coupon code.","Го откажавте кодот на купонот."
"We cannot apply the coupon code.","Неможеме да го примениме кодот на купонот."
"We can't remove the item.","Неможеме да го отстраниме продуктот."
"%1 was updated in your shopping cart.","%1 е ажуриран во вашата кошничка."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","We can't update the shopping cart."
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
"Checkout","Нарачка"
"Page not found.","Страната не е пронајдена."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Something went wrong while processing your order. Please try again later."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Начин на плаќање"
"Payment Page","Payment Page"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","We found an invalid request for adding product to quote."
"The product does not exist.","The product does not exist."
"We don't have some of the products you want.","We don't have some of the products you want."
"We don't have as many of some products as you want.","We don't have as many of some products as you want."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Покажи број на продукти во кошничката"
"Display item quantities","Display item quantities"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," продукт"
" items"," продукти"
