"Country","ארץ"
"Allowed Credit Card Types","סוגי כרטיסי אשראי מותרים"
"Add Rule","הוסף כלל"
"Braintree Settlement Report","דיווח הסדר של Braintree"
"Sorry, but something went wrong","מצטערים, משהו השתבש"
"We can't initialize checkout.","איננו יכולים לאתחל את הקופה."
"No authorization transaction to proceed capture.","לא אושרה הטרנזרציה להמשיך לתהליך קליטה."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","תגובת שגיאה של Braintree."
"Payment method nonce can't be retrieved.","אין אפשרות לשחזר nonce כשיטת התשלום."
"Wrong transaction status","מצב טרנזקציה שגוי"
"Authorize","אישור"
"Authorize and Capture","אושר ונקלט"
"--Please Select--","-- נא לבחור --"
"Credit Card","כרטיס אשראי"
"ending","סיום"
"expires","פג"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","בבקשה הסכם לכלל תנאי השימוש לפני ביצוע ההזמנה."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","סוג כרטיס אשראי"
"Credit Card Number","מספר כרטיס אשראי"
"Please, enter valid Credit Card Number","נא הזן מספר כרטיס אשראי בתוקף"
"Expiration Date","תאריך תפוגה"
"Please, enter valid Expiration Date","נא להקליד תאריך תפוגה"
"Card Verification Number","קוד אימות לכרטיס"
"Please, enter valid Card Verification Number","נא הזן מספר חוקי לאימות כרטיס"
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account"
"PayPal Account","חשבון PayPal"
"PayPal Logo","PayPal Logo"
"Actions","פעולות"
"Delete","מחק"
"Credit Card Information","פרטי כרטיס האשראי"
"What is this?","מה זה?"
"Save for later use.","שמור לשימוש מאוחר יותר."
"Place Order","ביצוע הזמנה"
"This payment is not available","תשלום זה אינו זמין"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","אנא נסה שוב עם אפשרות אחרת של התשלום."
"Sorry, but something went wrong.","מצטערים, משהו השתבש."
"Payment ","תשלום "
"Credit card type is not accepted by this merchant account.","כרטיס אשראי מסוג זה אינו מאושר על חשבון סוחר זה."
