"Country","රට"
"Allowed Credit Card Types","අවසර ලත් ක්‍රෙඩිට් කාඩ් වර්ග"
"Add Rule","රීතිය එක් කරන්න"
"Braintree Settlement Report","Braaintree බේරුම්කරණ වාර්තාව"
"Sorry, but something went wrong","කණගාටුයි, නමුත් යමක් වැරදී ඇත"
"We can't initialize checkout.","අපට පිටවීම ආරම්භ කළ නොහැක."
"No authorization transaction to proceed capture.","ග්‍රහණය කරගෙන යාමට අවසර දීමේ ගනුදෙනුවක් නොමැත."
"Transaction is successful.","ගනුදෙනු සාර්ථක වේ."
"Braintree error response.","බ්‍රේන්ට්‍රී දෝෂ ප්‍රතිචාරය."
"Payment method nonce can't be retrieved.","ගෙවීමේ ක්‍රමය නැවත ලබා ගත නොහැක."
"Wrong transaction status","වැරදි ගනුදෙනු තත්ත්වය"
"Authorize","අවසරලත්"
"Authorize and Capture","අවසර දීම සහ අල්ලා ගැනීම"
"--Please Select--","--කරුණාකර තෝරන්න--"
"Credit Card","ණයවර පත"
"ending","අවසන්"
"expires","කල් ඉකුත් වේ"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","කරුණාකර ඇණවුම ලබා දීමට පෙර සියලුම නියමයන් සහ කොන්දේසි වලට එකඟ වන්න."
"Transaction was failed.","ගනුදෙනුව අසාර්ථක විය."
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Credit Card Number","ණය පත් අංකය"
"Please, enter valid Credit Card Number","කරුණාකර වලංගු ක්‍රෙඩිට් කාඩ් අංකය ඇතුළු කරන්න"
"Expiration Date","කල්පිරෙන දිනය"
"Please, enter valid Expiration Date","කරුණාකර වලංගු කල් ඉකුත් වීමේ දිනය ඇතුළත් කරන්න"
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Please, enter valid Card Verification Number","කරුණාකර වලංගු කාඩ්පත් සත්‍යාපන අංකය ඇතුළු කරන්න"
"Are you sure you want to delete this PayPal account","ඔබට මෙම PayPal ගිණුම මැකීමට අවශ්‍ය බව විශ්වාසද"
"PayPal Account","PayPal ගිණුම"
"PayPal Logo","PayPal ලාංඡනය"
"Actions","ක්රියාවන්"
"Delete","මකන්න"
"Credit Card Information","ක්රෙඩිට් කාඩ් තොරතුරු"
"What is this?","මේ කුමක් ද?"
"Save for later use.","පසුකාලීන භාවිතය සඳහා සුරකින්න."
"Place Order","ඇනවුම කරන්න"
"This payment is not available","මෙම ගෙවීම ලබා ගත නොහැක"
"MM","එම්.එම්"
"YY","YY"
"Please try again with another form of payment.","කරුණාකර වෙනත් ගෙවීම් ක්‍රමයක් සමඟ නැවත උත්සාහ කරන්න."
"Sorry, but something went wrong.","කණගාටුයි, නමුත් යමක් වැරදී ඇත."
"Payment ","ගෙවීම "
"Credit card type is not accepted by this merchant account.","ක්‍රෙඩිට් කාඩ් වර්ගය මෙම වෙළඳ ගිණුම විසින් පිළිගනු නොලැබේ."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","ගනුදෙනුව අවලංගු කළ හැක්කේ තත්ත්‍වයට අවසර දී ඇත්නම්, බේරුම් කිරීම සඳහා_ ඉදිරිපත් කළහොත් හෝ - PayPal සඳහා - බේරුම්_පොරොත්තුවෙන් පවතී නම් පමණි."
"Credit transactions cannot be refunded.","ණය ගනුදෙනු ආපසු ගෙවිය නොහැක."
"Cannot refund a transaction unless it is settled.","එය පියවා ඇත්නම් මිස ගනුදෙනුවක් ආපසු ගෙවිය නොහැක."
"Cannot submit for settlement unless status is authorized.","තත්ත්‍වයට අවසර දී ඇත්නම් මිස බේරුම්කරණය සඳහා ඉදිරිපත් කළ නොහැක."
"Customer does not have any credit cards.","පාරිභෝගිකයාට ණයපත් කිසිවක් නැත."
