"Country","País"
"Allowed Credit Card Types","Tipos de Cartão de Crédito Autorizados"
"Add Rule","Adicionar Regra"
"Braintree Settlement Report","Relatório de Liquidação Braintree"
"Sorry, but something went wrong","Pedimos desculpa, mas algo correu mal"
"We can't initialize checkout.","Não é possível iniciar o checkout."
"No authorization transaction to proceed capture.","Nenhuma transação de autorização para proceder à captura."
"Transaction is successful.","Transação for bem-sucedida."
"Braintree error response.","Resposta de erro Braintree."
"Payment method nonce can't be retrieved.","Não foi possível obter o nonce do modo de pagamento."
"Wrong transaction status","Estado de transação errado"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e capturar"
"--Please Select--","-- Por favor escolha uma opção --"
"Credit Card","Cartão de Crédito"
"ending","terminando"
"expires","expira"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Por favor concorde com todos os termos e condições antes de confirmar a encomenda."
"Transaction was failed.","A transação não foi efetuada."
"Credit Card Type","Tipo de cartão de crédito"
"Credit Card Number","Número de cartão de crédito"
"Please, enter valid Credit Card Number","Por favor insira um número de cartão de crédito válido"
"Expiration Date","Data de validade"
"Please, enter valid Expiration Date","Por favor insira uma data de vencimento válida"
"Card Verification Number","Número de verificação de cartão"
"Please, enter valid Card Verification Number","Por favor insira um número de verificação de cartão válido"
"Are you sure you want to delete this PayPal account","Tem a certeza que quer eliminar esta conta PayPal"
"PayPal Account","Conta PayPal"
"PayPal Logo","Logo Paypal"
"Actions","Ações"
"Delete","Eliminar"
"Credit Card Information","Informação do Cartão de Crédito"
"What is this?","O que é isto?"
"Save for later use.","Gravar para uso futuro."
"Place Order","Encomendar"
"This payment is not available","Este pagamento não está disponível"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Por favor tente novamente com outra forma de pagamento."
"Sorry, but something went wrong.","Pedimos desculpa, mas algo correu mal."
"Payment ","Pagamento "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Aceite cartões de crédito / débito e PayPal na sua loja Magento. <br/> Nenhuma configuração ou taxas mensais e os seus clientes nunca iram sair de sua loja para concluir a compra."
"Enable this Solution","Ativar esta Solução"
"Enable PayPal through Braintree","Ativar PayPal através do Braintree"
"Vault Enabled","Segurança habilitada"
"Basic Braintree Settings","Definições Básicas do Braintree"
"Title","Título"
"Environment","Ambiente"
"Payment Action","Ação de Pagamento"
"Merchant ID","ID do Comerciante"
"Public Key","Chave Pública"
"Private Key","Chave Privada"
"Advanced Braintree Settings","Definições Avançadas do Braintree"
"Vault Title","Título de Segurança"
"Merchant Account ID","ID da Conta do Comerciante"
"Advanced Fraud Protection","Proteção de Fraude Avançada"
"Kount Merchant ID","ID de Comerciante Kount"
"Debug","Depurar"
"CVV Verification","Verificação CVV"
