"Country","Държава"
"Allowed Credit Card Types","Разрешени типове кредитни карти"
"Add Rule","Добави на правило"
"Braintree Settlement Report","Braintree доклад за сетълмент"
"Sorry, but something went wrong","Съжаляваме, но нещо се обърка"
"We can't initialize checkout.","Не може да се инициира приключване на поръчката."
"No authorization transaction to proceed capture.","Няма оторизация транзакцията да продължи."
"Transaction is successful.","Транзакцията е успешнa."
"Braintree error response.","Грешка в отговора от Braintree."
"Payment method nonce can't be retrieved.","Дадения случай метод на плащане не може да бъде извлечен."
"Wrong transaction status","Грешен статус на транзакцията"
"Authorize","Разреши"
"Authorize and Capture","Оторизирай и запиши"
"--Please Select--","--Моля, изберете--"
"Credit Card","Кредитна карта"
"ending","завършващ"
"expires","изтича"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Моля, съгласете се с Общите условия преди пускането на поръчката."
"Transaction was failed.","Транзакцията е неуспешна."
"Credit Card Type","Тип кредитна карта"
"Credit Card Number","Номер на кредитната карта"
"Please, enter valid Credit Card Number","Моля въведете валиден номер на кредитна карта"
"Expiration Date","Срок на валидност"
"Please, enter valid Expiration Date","Моля въведете валидна дата на изтичане"
"Card Verification Number","Номер за проверка на картата"
"Please, enter valid Card Verification Number","Моля въведете валиден номер за проверка на карта"
"Are you sure you want to delete this PayPal account","Сигурни ли сте, че искате да изтриете този PayPal акаунт"
"PayPal Account","PayPal сметка"
"PayPal Logo","Логото на PayPal"
"Actions","Действия"
"Delete","Изтрий"
"Credit Card Information","Информация за кредитна карта"
"What is this?","Какво е това?"
"Save for later use.","Запиши за по-нататъшна употреба."
"Place Order","Направи поръчка"
"This payment is not available","Този метод на плащане не е наличен"
"MM","ММ"
"YY","ГГ"
"Please try again with another form of payment.","Моля опитайте отново с друга форма на плащане."
"Sorry, but something went wrong.","Съжаляваме, но нещо се обърка."
"Payment ","Плащане "
"Credit card type is not accepted by this merchant account.","Тип кредитна карта не се приема от този търговец сметка."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Транзакцията може да бъде отказана ако статусът й authorized, submitted_for_settlement, или за PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Кредитни транзакции не могат да се отказват."
"Cannot refund a transaction unless it is settled.","Не може да възстановяване транзакция, освен ако това е постоянен."
"Cannot submit for settlement unless status is authorized.","Не може да представи за уреждане, освен ако състоянието е упълномощен."
"Customer does not have any credit cards.","Клиента няма никакви кредитни карти."
"Transaction has already been completely refunded.","Транзакцията вече е напълно възстановена."
"Payment instrument type is not accepted by this merchant account.","Разплащателният инструмент не се приема от този търговец."
"Processor authorization code cannot be set unless for a voice authorization.","Кодът за одобрение на процесора не може да бъде зададено освен за разрешително на глас."
"Refund amount is too large.","Сумата за възстановяване е твърде голямa."
"Settlement amount is too large.","Стойноста на сетълмента е много голяма."
"Cannot provide a billing address unless also providing a credit card.","Не може да осигури пълен адрес за фактуриране, освен предоставяне на кредитна карта."
"Cannot refund a transaction with a suspended merchant account.","Не може да възстанови транзакция с блокирана сметка на търговец."
"Merchant account does not support refunds.","Сметката на търговеца не поддържа възстановявания."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Не може да се възстанови транзакция в обработка в тази сетка на търговеца. Опитайте след приключване на обработката."
"PayPal is not enabled for your merchant account.","PayPal не е активиран за вашата търговска сметка."
"Partial settlements are not supported by this processor.","Този процесор не поддържа частична обработка."
"Cannot submit for partial settlement.","Не може да се изпраща за частична обработка."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Транзакцията н може да се откаже ако състоянието на PayPal частична обраотка на дъщерна транзакция е settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Твърде много едновременни опити да възстанови тази транзакция. Опитайте отново по-късно."
"Too many concurrent attempts to void this transaction. Try again later.","Твърде много едновременни опити да се анулира тази транзакция. Опитайте отново по-късно."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Приемайте кредитни/дебитни карти и PayPal във Вашия Magento магазин. <br/> Без настройка или месечни такси и никога не оставяйте Вашите клиенти да напуснат Вашия магазин без да завършат покупката."
"Enable this Solution","Разреши това решение"
"Enable PayPal through Braintree","Разреши PayPal чрез Braintree"
"Vault Enabled","Каса разрешена"
"Basic Braintree Settings","Основни Braintree настройки"
"Title","Заглавиe"
"Environment","Среда"
"Payment Action","Платежно действие"
"Merchant ID","Идентификационен номер на търговеца"
"Public Key","Публичен ключ"
"Private Key","Частен ключ"
"Advanced Braintree Settings","Разширени Braintree настройки"
"Vault Title","Заглавие каса"
"Merchant Account ID","Търговец сметка ID"
"Advanced Fraud Protection","Разширени протекции срещу измама"
"Kount Merchant ID","Kount ID на търговец"
"Debug","Дебъг"
"CVV Verification","CVV проверка"
"Credit Card Types","Типове кредитни карти"
"Sort Order","Ред на сортиране"
"Country Specific Settings","Специфични настройки по страна"
"Payment from Applicable Countries","Плащане от приложимите страни"
"Payment from Specific Countries","Плащане от определени страни"
"Country Specific Credit Card Types","Типове кредитни карти за дадена страна"
"PayPal through Braintree","PayPal през Braintree"
"Override Merchant Name","Замени името на търговеца"
"Require Customer's Billing Address","Изискай адреса за фактуриране на клиента"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Позволи редактиране адрес, въведен по време на таксуване на PayPal страна на доставка"
"Display on Shopping Cart","Показване на количката"
"Skip Order Review","Пропусни прегледа на поръчката"
"3D Secure Verification Settings","Настройки на 3D защита за проверка"
"3D Secure Verification","Проверка на 3D защитата"
"Threshold Amount","Праг на сумата"
"Verify for Applicable Countries","Проверете за приложимите страни"
"Verify for Specific Countries","Проверява за конкретни страни"
"Dynamic Descriptors","Динамични дескриптори"
"Name","Име"
"Phone","Телефон"
"URL","URL"
"CVV is required.","Изисква се CVV."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV кода трябва да бъде 4 цифри за American Express и 3 цифри за други карти."
"Expiration date is required.","Дата на изтичане е задължителна."
"Expiration date is invalid.","Дата на изтичане е невалидна."
"Expiration year is invalid. It must be between 1975 and 2201.","Годината на изтичане е невалидна. Тя трябва да бъде между 1975 и 2201."
"Expiration month is invalid.","Изтичане месец е невалиден."
"Expiration year is invalid.","Годината на изтичане е невалидна."
"Credit card number is required.","Номер на кредитна карта е необходимо."
"Credit card number is invalid.","Номер на кредитна карта е невалиден."
"Credit card number must be 12-19 digits.","Номер на кредитна карта трябва да бъде 12-19 цифри."
"Cardholder name is too long.","Картодържателя име е твърде дълго."
"CVV verification failed.","Неуспешна проверка на CVV."
"Postal code verification failed.","Неуспешна проверка на пощенски код."
"Credit card number is prohibited.","Номера на кредитна карта е забранен."
"Addresses must have at least one field filled in.","Адресите трябва да имат поне едно поле попълнено."
"Company is too long.","Твърде дълго име на фирма"
"Extended address is too long.","Разширен адрес е прекалено дълъг."
"First name is too long.","Първото име е твърде дълго."
"Last name is too long.","Фамилно име е твърде дълго."
"Locality is too long.","Местността е твърде дълга."
"Postal code is required.","Пощенски код се изисква."
"Postal code may contain no more than 9 letter or number characters.","Пощенски код може да съдържа не повече от 9 писмо или брой символи."
"Region is too long.","Регионът е твърде дълъг."
"Street address is required.","Пощенски адрес се изисква."
"Street address is too long.","Уличен адрес е прекалено дълъг."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Пощенски код може да съдържа само букви, цифри, интервали и тирета."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","САЩ държавни кодове трябва да бъдат два знака, за да отговорят на изискванията на PayPal за защита на продавача."
"Incomplete PayPal account information.","Непълна информация за PayPal акаунт."
"Invalid PayPal account information.","Невалидна информация за PayPal акаунт."
"PayPal Accounts are not accepted by this merchant account.","PayPal сметки не са приети от този търговец."
"Billing address format is invalid.","Формата на адреса за фактуриране е невалиден."
"Country name is not an accepted country.","Името на държавата не е приета страна."
"Country code is not accepted. Please contact the store administrator.","Кода на страната не е приет. Обърнете се към администратора на магазина."
"Provided country information is inconsistent.","Предоставената информация за дъжава е несъвместима."
"Customer has already reached the maximum of 50 addresses.","Клиентът вече е достигнал максимумът от 50 адреса."
"Address is invalid. Please contact the store administrator.","Адресът е невалиден. Обърнете се към администратора на магазина."
"Error communicating with PayPal.","Грешка при комуникация с PayPal."
"PayPal authentication expired.","PayPal удостоверяването е изтекло."
"Error executing PayPal order.","Грешка при изпълнение на PayPal поръчка."
"Error executing PayPal billing agreement.","Грешка при изпълнение на споразумение за PayPal плащане."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Приложете филтри, за да получите резултати. Ще бъдат показани само първите 100 записа, ще можете да изтеглите пълната версия на доклада в .csv формат."
"Select...","Изберете..."
"Status","Статус"
"Transaction Type","Вид транзакция"
"Payment Type","Вид плащане"
"PayPal Payment ID","ID на PayPal плащане"
"Created At","Създаден на"
"Transaction ID","ID на транзакция"
"Order ID","Номер на поръчката"
"Type","Тип"
"Amount","Сума"
"Settlement Code","Код за уреждане"
"Settlement Response Text","Уреждане на текст за отговор"
"Refund Ids","ID за възстановяване"
"Settlement Batch ID","Партиден ID за сетълмент"
"Currency","Валута"
"Month","Месец"
"Year","Година"
"Stored Card","Съхранена карта"
"Credit card successfully added","Кредитна карта успешно добавена"
"Something went wrong while saving the card.","Нещо се обърка докато запазвахте страницата."
"Credit card does not exist","Кредитната карта не съществува"
"Delete Credit Card","Изтриване на кредитна карта"
"There was error deleting the credit card","Възникна грешка при изтриване на кредитна карта"
"Credit card successfully deleted","Кредитна карта успешно изтрита"
"Edit Credit Card","Редактиране на кредитна карта"
"My Credit Cards","Моите кредитни карти"
"New Credit Card","Нова кредитна карта"
"There was error during saving card data","Възникна грешка по време на записването на данни от карта"
"We can't place the order.","Не може да направите поръчка."
"Incorrect payment method.","Неправилен метод на плащане."
"We can't initialize checkout review.","Не може да започне преглед на приключване на поръчката."
"We can't update shipping method.","Не може да актуализира метода на доставка."
"The processor declined your transaction, please re-enter your payment information","Процесорът отказа вашата транзакция, въведете отново данните си за плащане"
"Transaction declined by gateway: Check card details or try another card","Траназкцията е отказана от терминала: Проверете данните на картата или опитайте друга карта"
"Transaction declined: ","Отказана транзакция: "
".","."
"The processor responded with an unknown error","Процесорът отговори с неизвестна грешка"
"Credit card type is not allowed for your country.","Тип кредитна карта не е позволен за вашата страна."
"Credit card type is not allowed for this payment method.","Тип кредитна карта не е позволен за този метод на плащане."
"Selected payment type is not allowed for billing country.","Тип плащане не е позволен за фактуриране в тази страна."
"Incomplete payment information.","Непълно плащане информация."
"Please try again later","Моля, опитайте отново по-късно"
"Can not find original authorization transaction for partial capture","Не може да намери оригиналното транзакционно разрешително за частично улавяне"
"There was an error capturing the transaction: %1.","Възникна грешка при снемането на сделката: %1."
"This refund is for a partial amount but the Transaction has not settled.","Това възстановяване е за частична сума, но транзакцията не е уредена."
"Please wait 24 hours before trying to issue a partial refund.","Моля, изчакайте 24 часа преди да се опитате да издаде частично възстановяване."
"There was an error refunding the transaction: %1.","Възникна грешка при възстановяване на транзакцията: %1."
"Some transactions are already settled or voided and cannot be voided.","Някои сделки вече са уредени или анулирани и не може да бъдат анулирани."
"Voided capture.","Улавяне на анулиран."
"There was an error voiding the transaction: %1.","Възникна грешка при анулиране на транзакцията: %1."
"Invoice","Фактура"
"Shipment","Доставка"
"Invalid Customer ID provided","Подаден невалиден ИД на клиент"
"some error","някаква грешка"
"a,b,c","а, б, в"
"Something went wrong while processing.","Нещо се е объркало при обработката."
"error","грешка"
"exception","изключение"
"Payment Information","Информация за плащане"
"Add new card","Добавяне на нова карта"
"Please Select","Моля изберете"
"Save this card for future use","Запишете тази карта за бъдеща употреба"
"or","или"
"Please confirm that you want to delete this credit card","Моля, потвърдете, че искате да изтриете тази кредитна карта"
"Cardholder Name","Име на притежателя на картата"
"Back","Обратно"
"* Required Fields","* Задължителни полета"
"CVV","CVV"
"Card Verification Number Visual Reference","Карта проверка номер визуална препратка"
"Make Default","Направи по подразбиране"
"Billing Address","Адрес за фактуриране"
"First Name","Име"
"Last Name","Фамилия"
"Company","Фирма"
"Address","Адрес"
"City","Град"
"State/Province","Област / Провинция"
"Please select region, state or province","Моля изберете област или провинция"
"Zip/Postal Code","Пощенски код"
"Submit","Изпрати"
"Add Credit Card","Добавяне на кредитна карта"
"Card Number","Номер на карта"
"Is Default","Е по подразбиране"
"Yes","Да"
"No","Не"
"Edit","Редактирай"
"An error occured with payment processing.","Възникна грешка при обработка на плащането."
"Can not initialize PayPal (Braintree)","Не нможе да се инициализира PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Улавяне на действие"
"New Order Status","Статус нова поръчка"
"Use Vault","Използвайте трезор"
"Allow Duplicate Cards","Позволи дублиращи карти"
"Enable Credit Card auto-detection on Storefront","Разреши автоматичното откриване на кредитна карта в магазина"
"Your Kount ID","Вашият Kount ID"
"Use Cache","Използвайте кеш"
"Edit My Credit Cards","Редактиране на моите кредитни карти"
"Pay with PayPal","Плати с PayPal"
"Transaction is cancelled offline.","Транзакцията е анулирана офлайн."
"Braintree Settlement","Braintree доклад за сетълмент"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Ако не посочите търговска сметка, която да се изпозлва за транзакцията, Braintree ще го обработи, използвайки сметката ви по подразбиране."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Не забравяйте да разрешите Разширено измама закрила в Брейнтри на профила в раздела Настройки/обработка"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Използва се за директна измама инструмент интеграция. Уверете се, че сте се свържете с <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> да настроите профила си Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Уверете се че сте активирали AVS и/ии CVV във Вашата Braintree сметка в секцията Настройи/Обработка."
"It is recommended to set this value to ""PayPal"" per store views.","Препоръчително е да зададете тази стойност към ""PayPal"" на магазина изгледи."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Тази функция трябва бъде разрешено първо за търговец сметка чрез PayPal техническа поддръжка."
"Also affects mini-shopping cart.","Също засяга мини количката."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Динамичните описатели се изпращат на база транзакция и определят какво ще се изпише в обработката на кредитната карта на вашите клиенти за конкретната покупка.
                            По-ясно описание на вашия продукт, по-малка вероятност клиентът да активира възстановяване на сумата поради объркване или неразпознаване.
                            Динамичните описатели не са активирани на всички сметки по подразбиране. Ако получите грешка при одобряване 92203 или вашите инамини описатели не се изписват коректно,
                            моляп пишете на <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Стойноста в полето Име на бизнес на клиентски профил. Име на компанията/DBA секцията трябва да бъде 3, 7 или 12 символа
                                а оисателя на продукт може да бъде до 18, 14, или 9 символа съответно (със * между тях за общо описателно име от 22 символа)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Стойноста в полето за телефонен номер на клиента. Телефонът трябва да е 10-14 символа и можа да съдържа цифри, наклонени, скоби и празни позиции."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Стойността на URL/уеб дресното поле на клиента. Адресът URL трябва да е от 13 сивола или по късо."
"The Payment Token is not available to perform the request.","Кодът за плащане е недостъпен за да се завърши заявеното."
"Checkout failed to initialize. Verify and try again.","Не можа да се инициализира плащането Проверете и опитайте пак."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Поръчката не е заявена. Първо трябва да приемете термините и условията, след което заявете поръчката си отново."
"Paypal account","PayPal сметка"
"Coinbase account","Coinbase сметка"
"Europe bank account","Европейска банкова сметка"
"Credit card","Кредитна карта"
"Apple pay card","Apple pay карта"
"Android pay card","Android pay карта"
"Authorization expired","Изтекло разрешение"
"Authorizing","Оторизиране"
"Authorized","Разрешен"
"Gateway rejected","Отхвърлен гейтуей"
"Failed","Неуспешно"
"Processor declined","Процесорът отказан"
"Settled","Приключено"
"Settling","Приключване"
"Submitted for settlement","Предоставени за сетълмент"
"Voided","Анулиран"
"Unrecognized","Неразпознат"
"Settlement declined","Отказан сетълмент"
"Settlement pending","Изчакване на сетълмент"
"Settlement confirmed","Сетълмент потвърден"
"Sale","Продажба"
"Credit","Кредит"
"Vault enabled","Каса разрешена"
