"Country","Land"
"Allowed Credit Card Types","Pflichtangabe der Rechnungsadresse des Kunden"
"Add Rule","Regel hinzufügen"
"Braintree Settlement Report","Braintree Verrechnungsbericht"
"Sorry, but something went wrong","Verzeihung, aber etwas ist schiefgegangen"
"We can't initialize checkout.","Wir konnten den Bestellvorgang nicht initialisieren."
"No authorization transaction to proceed capture.","Keine Autorisierungs-Transaktion, um mit der Erfassung fortzufahren."
"Transaction is successful.","Transaktion war erfolgreich."
"Braintree error response.","Braintree Fehlerantwort."
"Payment method nonce can't be retrieved.","Zahlungsart Nonce kann nicht abgerufen werden."
"Wrong transaction status","Falscher Transaktionsstatus"
"Authorize","Autorisieren"
"Authorize and Capture","Autorisieren und Zahlungseinzug"
"--Please Select--","-- Bitte wählen --"
"Credit Card","Kreditkarte"
"ending","endet"
"expires","läuft ab"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Bitte lesen und akzeptieren Sie alle AGB, bevor Sie Ihre Bestellung aufgeben."
"Transaction was failed.","Transaktion ist fehlgeschlagen."
"Credit Card Type","Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Please, enter valid Credit Card Number","Bitte geben Sie eine gültige Kreditkartennummer ein"
"Expiration Date","Ablaufdatum"
"Please, enter valid Expiration Date","Bitte geben Sie ein gültiges Ablaufdatum ein"
"Card Verification Number","Kartenprüfnummer"
"Please, enter valid Card Verification Number","Bitte geben Sie eine gültige Kartenprüfnummer ein"
"Are you sure you want to delete this PayPal account","Sind Sie sicher dass Sie dieses PayPal Konto löschen möchten"
"PayPal Account","PayPal Konto"
"PayPal Logo","PayPal Logo"
"Actions","Aktionen"
"Delete","Löschen"
"Credit Card Information","Kreditkarten-Informationen"
"What is this?","Was ist das?"
"Save for later use.","Für die spätere Verwendung speichern."
"Place Order","Jetzt kaufen"
"This payment is not available","Diese Zahlung ist nicht verfügbar"
"MM","MM"
"YY","JJ"
"Please try again with another form of payment.","Bitte versuchen Sie es mit einer andere Zahlungsart erneut."
"Sorry, but something went wrong.","Entschuldigung, es ist ein Fehler aufgetreten."
"Payment ","Zahlung "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Der zu erstattende Betrag ist zu groß."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
