"Country","Maa"
"Allowed Credit Card Types","Sallitut luottokorttityypit"
"Add Rule","Lisää sääntö"
"Braintree Settlement Report","Braintree-maksuraportti"
"Sorry, but something went wrong","Pahoittelut, jotain meni pieleen"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Ei vahvistettua maksua jotta ostos voidaan vahvistaa."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Puusilmä virhevastaus."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Väärä maksun tila"
"Authorize","Valtuuta"
"Authorize and Capture","Valtuuta ja talteenota"
"--Please Select--","---Valitse---"
"Credit Card","Luottokortti"
"ending","päättyy"
"expires","vanhenee"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Luottokorttityyppi"
"Credit Card Number","Luottokortin numero"
"Please, enter valid Credit Card Number","Anna kelvollinen luottokortin numero"
"Expiration Date","Viimeinen voimassaolopäivä"
"Please, enter valid Expiration Date","Anna kelvollinen vanhentumispäivä"
"Card Verification Number","Luottokortin tarkistenumero"
"Please, enter valid Card Verification Number","Anna kelvollinen luottokortin tarkistenumero"
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account"
"PayPal Account","PayPal-tili"
"PayPal Logo","PayPal Logo"
"Actions","Toiminnot"
"Delete","Poista"
"Credit Card Information","Luottokorttitiedot"
"What is this?","Mikä tämä on?"
"Save for later use.","Tallenna myöhempää käyttöä varten."
"Place Order","Tee tilaus"
"This payment is not available","Tämä maksutapa ei ole saatavilla"
"MM","KK"
"YY","VV"
"Please try again with another form of payment.","Koita uudelleen toisella maksutavalla."
"Sorry, but something went wrong.","Pahoittelut, jotain meni pieleen."
"Payment ","Maksu "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","Ota lisäosa käyttöön"
"Enable PayPal through Braintree","PayPal Braintreen kautta"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Basic Braintree Settings"
"Title","Otsikko"
"Environment","Ympäristö"
"Payment Action","Maksutoiminto"
"Merchant ID","Kauppias-ID"
"Public Key","Julkinen avain"
"Private Key","Yksityinen avain"
"Advanced Braintree Settings","Kehittynyt Braintree asetukset"
"Vault Title","Vault otsikko"
"Merchant Account ID","Kauppiastilin ID"
"Advanced Fraud Protection","Edistynut petosten suojaus"
"Kount Merchant ID","Kount-kauppiastunnus"
"Debug","Vianselvitys"
"CVV Verification","CVV-tarkastus"
