"Country","País"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidas"
"Add Rule","Agregar regla"
"Braintree Settlement Report","Informe de solución de Braintree"
"Sorry, but something went wrong","Lo sentimos, pero algo salió mal"
"We can't initialize checkout.","No se puede iniciar el cobro."
"No authorization transaction to proceed capture.","Ninguna transacción de autorización para proceder a la captura."
"Transaction is successful.","La transacción se completó con éxito."
"Braintree error response.","Respuesta de error de Braintree."
"Payment method nonce can't be retrieved.","Forma de pago nonce no puede ser recuperada."
"Wrong transaction status","Estado de transacción incorrecto"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"--Please Select--","--Por favor seleccione--"
"Credit Card","Tarjeta de crédito"
"ending","fin"
"expires","expira"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Por favor, acepta todos los términos y condiciones antes de realizar el pedido."
"Transaction was failed.","La transacción ha fallado."
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Card Number","Número de tarjeta de crédito"
"Please, enter valid Credit Card Number","Por favor, indique un número de tarjeta de crédito válido"
"Expiration Date","Fecha de vencimiento"
"Please, enter valid Expiration Date","Por favor, indique la fecha de vencimiento válida"
"Card Verification Number","Número de verificación de tarjeta"
"Please, enter valid Card Verification Number","Por favor, indique el número de verificación de tarjeta válido"
"Are you sure you want to delete this PayPal account","¿Esta seguro que quieres eliminar esta cuenta de PayPal?"
"PayPal Account","Cuenta PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Acciones"
"Delete","Borrar"
"Credit Card Information","Información de tarjeta de crédito"
"What is this?","¿Qué es esto?"
"Save for later use.","Guardar para su uso posterior."
"Place Order","Realizar pedido"
"This payment is not available","Este pago no está disponible"
"MM","MM"
"YY","AA"
"Please try again with another form of payment.","Por favor, inténtelo de nuevo con otra forma de pago."
"Sorry, but something went wrong.","Lo sentimos, pero algo salió mal."
"Payment ","Pago "
"Credit card type is not accepted by this merchant account.","Tipo de tarjeta de crédito no es aceptada por esta cuenta."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","La transacción sólo puede ser anulada si su estado es autorizado, presentado, o esperando PayPal."
"Credit transactions cannot be refunded.","Las operaciones de crédito no pueden ser devueltas."
"Cannot refund a transaction unless it is settled.","No se puede reembolsar una transacción a menos que se resuelva."
"Cannot submit for settlement unless status is authorized.","No se puede enviar a un acuerdo a menos que se autorice el estado."
"Customer does not have any credit cards.","Cliente no tiene tarjetas de crédito."
"Transaction has already been completely refunded.","La operación se ha devuelto por completo."
"Payment instrument type is not accepted by this merchant account.","Este metodo de pago no se acepta en las cuentas comerciales."
"Processor authorization code cannot be set unless for a voice authorization.","El código de autorización del procesador no se puede configurar a menos que sea para una autorización de voz."
"Refund amount is too large.","La cantidad de reembolso es demasiado grande."
"Settlement amount is too large.","La cantidad del crédito es demasiado grande."
"Cannot provide a billing address unless also providing a credit card.","No puede proporcionar una dirección de facturación, a menos que también proporciona una tarjeta de crédito."
"Cannot refund a transaction with a suspended merchant account.","No se reembolsará una transacción con una cuenta suspendida."
"Merchant account does not support refunds.","Cuenta de comerciante no admite devoluciones."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","No se reembolsará una transacción de la transacción en la resolución de status en esta cuenta. Inténtelo de nuevo después de que la transacción se ha establecido."
"PayPal is not enabled for your merchant account.","PayPal no está habilitado para su cuenta de comerciante."
"Partial settlements are not supported by this processor.","Los créditos no son compatibles con este procesador."
"Cannot submit for partial settlement.","No puede presentar para la liquidación parcial."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","La transacción no puede anularse si el estado de una transacción secundaria de PayPal es settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Demasiados intentos en la operación de reembolso. Inténtalo más tarde."
"Too many concurrent attempts to void this transaction. Try again later.","Demasiados intentos anulando la operación. Inténtalo más tarde."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Acepta tarjetas de crédito/débito y PayPal en su tienda Magento. <br/> Sin cargos mensuales o de instalación y los clientes nunca abandonan su tienda para completar la compra."
"Enable this Solution","Habilitar esta solución"
"Enable PayPal through Braintree","Activar PayPal a través de Braintree"
"Vault Enabled","Bóveda habilitada"
"Basic Braintree Settings","Configuración básica de Braintree"
"Title","Título"
"Environment","Entorno"
"Payment Action","Acción de pago"
"Merchant ID","Identificación del comerciante"
"Public Key","Clave pública"
"Private Key","Clave privada"
"Advanced Braintree Settings","Configuración avanzada de Braintree"
"Vault Title","Título de la bóveda"
"Merchant Account ID","ID de cuenta del comerciante"
"Advanced Fraud Protection","Protección avanzada de fraude"
"Kount Merchant ID","Kount ID del comerciante"
"Debug","Depurar"
"CVV Verification","Verificación CVV"
"Credit Card Types","Tipos de tarjeta de crédito"
"Sort Order","Orden de aparición"
"Country Specific Settings","Ajustes específicos del país"
"Payment from Applicable Countries","Pago desde países aceptados"
"Payment from Specific Countries","Pago desde países específicos"
"Country Specific Credit Card Types","Tipos de tarjeta de crédito específicas del país"
"PayPal through Braintree","PayPal a través de Braintree"
"Override Merchant Name","Reemplazar el nombre comercial"
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Permitir que se modifique la dirección de envío introducida durante el pago en PayPal"
"Display on Shopping Cart","Mostrar en la cesta de compras"
"Skip Order Review","Saltar revisión del pedido"
"3D Secure Verification Settings","Configuración de verificación 3D segura"
"3D Secure Verification","Verificación 3D segura"
"Threshold Amount","Umbral de importe"
"Verify for Applicable Countries","Verificar para los países aplicables"
"Verify for Specific Countries","Verificar para países específicos"
"Dynamic Descriptors","Descriptores Dinámicos"
"Name","Nombre"
"Phone","Teléfono"
"URL","URL"
"CVV is required.","CVV es requerido."
"CVV must be 4 digits for American Express and 3 digits for other card types.","El CVV de American Express debe tener 4 dígitos y 3 en el resto de tarjetas."
"Expiration date is required.","Fecha de vencimiento requerida."
"Expiration date is invalid.","Fecha de caducidad no es válida."
