"Country","Krajina"
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","Enable this Solution"
"Enable PayPal through Braintree","Enable PayPal through Braintree"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Basic Braintree Settings"
"Title","Titulok"
"Environment","Environment"
"Payment Action","Platobná akcia"
"Merchant ID","Merchant ID"
"Public Key","Public Key"
"Private Key","Private Key"
"Advanced Braintree Settings","Advanced Braintree Settings"
"Vault Title","Vault Title"
"Merchant Account ID","Merchant Account ID"
"Advanced Fraud Protection","Advanced Fraud Protection"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Ladenie"
"CVV Verification","CVV Verification"
"Credit Card Types","Typy kreditnej karty"
"Sort Order","Poradie radenia"
"Country Specific Settings","Country Specific Settings"
"Payment from Applicable Countries","Platba z dostupných krajín"
"Payment from Specific Countries","Platba z vybratých krajín"
"Country Specific Credit Card Types","Country Specific Credit Card Types"
"PayPal through Braintree","PayPal through Braintree"
"Override Merchant Name","Override Merchant Name"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Allow to Edit Shipping Address Entered During Checkout on PayPal Side"
"Display on Shopping Cart","Zobraziť v košíku"
"Skip Order Review","Skip Order Review"
"3D Secure Verification Settings","3D Secure Verification Settings"
"3D Secure Verification","3D Secure Verification"
"Threshold Amount","Threshold Amount"
"Verify for Applicable Countries","Verify for Applicable Countries"
"Verify for Specific Countries","Verify for Specific Countries"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","Meno"
"Phone","Phone"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","Vyberte..."
"Status","Stav"
"Transaction Type","Transaction Type"
"Payment Type","Typ platby"
"PayPal Payment ID","PayPal Payment ID"
"Created At","Created At"
"Transaction ID","Transaction ID"
"Order ID","Order ID"
"Type","Typ"
"Amount","Amount"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Mena"
"Month","Mesiac"
"Year","Rok"
"Stored Card","Uložená karta"
"Credit card successfully added","Platobná karta bola úspešne pridaná"
"Something went wrong while saving the card.","Pri ukladaní karty nastala chyba."
"Credit card does not exist","Platobná karta neexistuje"
"Delete Credit Card","Odstránit platobnú kartu"
"There was error deleting the credit card","Chyba pri odstraňovaní platobnej karty"
"Credit card successfully deleted","Platobná karta bola úspešne odstránená"
"Edit Credit Card","Upraviť platobnú kartu"
"My Credit Cards","Moje platobné karty"
"New Credit Card","Nová kreditná karta"
"There was error during saving card data","Nastala chyba počas ukladania údajov karty"
"We can't place the order.","Nieje možné vytvoriť objednávku."
"Incorrect payment method.","Neznámy spôsob platby."
"We can't initialize checkout review.","Nepodarilo sa inicializovať proces hodnotenia nákupu."
"We can't update shipping method.","Nieje možné aktualizovať spôsob doručenia."
"The processor declined your transaction, please re-enter your payment information","Spracovateľ odmietol vašu transakciu, znova zadajte svoje platobné informácie"
"Transaction declined by gateway: Check card details or try another card","Transakcia zamietnutá bránou (by Gateway): Skontrolujte údaje karty alebo skúsiť inú kartu"
"Transaction declined: ","Transakcia odmietnutá: "
".","."
"The processor responded with an unknown error","Spracovateľ odpovedal neznámou chybou"
"Credit card type is not allowed for your country.","Typ platobnej karty nie je povolený pre vašu krajinu."
"Credit card type is not allowed for this payment method.","Typ platobnej karty nie je povolený pre tento spôsob platby."
"Selected payment type is not allowed for billing country.","Vybratý druh platby nie je povolený pre krajinu príjemcu platby."
"Incomplete payment information.","Neúplné platobné informácie."
"Please try again later","Prosím, skúste to znovu neskôr"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","Vyskytla sa chyba počas transakcie: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","Vyskytla sa chyba počas refundácie patby: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Faktúra"
"Shipment","Zásielka"
"Invalid Customer ID provided","Nesprávne ID zákazníka"
"some error","nejaká chyba"
"a,b,c","a, b, c"
"Something went wrong while processing.","Pri spracovaní došlo k chybe."
"error","chyba"
"exception","výnimka"
"Payment Information","Informácie o platbe"
"Add new card","Pridať novú kartu"
"Please Select","Prosím, vyberte"
"Save this card for future use","Uložiť túto kartu pre budúce použitie"
"or","alebo"
"Please confirm that you want to delete this credit card","Potvrďte, že chcete odstrániť túto platobnú kartu"
"Cardholder Name","Meno majiteľa karty"
"Back","Späť"
"* Required Fields","* Povinné políčka"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Nastaviť ako predvolené"
"Billing Address","Adresa pre fakturáciu"
"First Name","Meno"
"Last Name","Priezvisko"
"Company","Spoločnosť"
"Address","Adresa"
"City","Mesto"
"State/Province","Štát/provincia"
"Please select region, state or province","Vyberte prosím región, štát alebo okres"
"Zip/Postal Code","Poštové smerovacie číslo"
"Submit","Potvrdiť"
"Add Credit Card","Pridať platobnú kartu"
"Card Number","Číslo karty"
"Is Default","Je predvolené"
"Yes","Áno"
"No","Nie"
"Edit","Upraviť"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Zachytiť akciu"
"New Order Status","Stav novej objednávky"
"Use Vault","Použiť hodnotu"
"Allow Duplicate Cards","Povoliť duplicitné karty"
"Enable Credit Card auto-detection on Storefront","Zapnúť automatické zisťovanie kreditných kariet v obchode"
"Your Kount ID","Vaše Kount ID"
"Use Cache","Používanie vyrovnávacej pamäte"
"Edit My Credit Cards","Upraviť platobnú kartu"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal účet"
"Coinbase account","Coinbase účet"
"Europe bank account","Účet Európskej banky"
"Credit card","Kreditná karta"
"Apple pay card","Apple pay karta"
"Android pay card","Android pay karta"
"Authorization expired","Autorizácia vypršala"
"Authorizing","Autorizované"
"Authorized","Autorizované"
"Gateway rejected","Brána zamietnutá"
"Failed","Nepodarilo sa"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","Voided"
"Unrecognized","Neznámy"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","Sale"
"Credit","Credit"
"Vault enabled","Vault enabled"
