"Country","كشور"
"Allowed Credit Card Types","انواع کارت‌ های بانکی قابل قبول"
"Add Rule","افزودن قانون"
"Braintree Settlement Report","گزارش واریز Braintree"
"Sorry, but something went wrong","با عرض پوزش، اشتباهی رخ داده است"
"We can't initialize checkout.","ما نمیتوانیم بازبینی پرداخت را بازیابی کنیم."
"No authorization transaction to proceed capture.","هیچ تراکنش مجازی برای ادامه ضبط وجود ندارد."
"Transaction is successful.","تراکنش موفقیت آمیز است."
"Braintree error response.","پاسخ خطای Braintree."
"Payment method nonce can't be retrieved.","فعلا روش پرداخت را نمی توان بازیابی کرد."
"Wrong transaction status","وضعیت تراکنش اشتباه است"
"Authorize","احراز هویت"
"Authorize and Capture","احراز هویت و ضبط"
"--Please Select--","--لطفا انتخاب کنيد--"
"Credit Card","کارت اعتباری"
"ending","پایان دادن"
"expires","منقضی می شود"
"PayPal","پی‌پال"
"Please agree to all the terms and conditions before placing the order.","لطفا پیش از ثبت سفارش با شرایط و ضوابط موافقت نمایید."
"Transaction was failed.","تراکنش ناموفق است."
"Credit Card Type","نوع کارت بانکی"
"Credit Card Number","شماره کارت بانکی"
"Please, enter valid Credit Card Number","لطفا یک شماره‌ کارت بانکی معتبر وارد نمایید"
"Expiration Date","تاريخ انقضا"
"Please, enter valid Expiration Date","لطفا تاریخ انقضاء معتبر وارد کنید"
"Card Verification Number","CVV2"
"Please, enter valid Card Verification Number","لطفا CVV2 معتبر وارد کنید"
"Are you sure you want to delete this PayPal account","آیا مطمئن هستید که می خواهید این حساب را حذف کنید"
"PayPal Account","حساب پی پال"
"PayPal Logo","آرم PayPal"
"Actions","کنش‌ها"
"Delete","حذف"
"Credit Card Information","اطلاعات كارت بانکی"
"What is this?","اين چيست؟"
"Save for later use.","برای استفاده های بعدی ذخیره کنید."
"Place Order","ایجاد سفارش"
"This payment is not available","این روش پرداخت در دسترس نیست"
"MM","ماه"
"YY","سال"
"Please try again with another form of payment.","لطفا دوباره با انتخاب یک روش پرداخت دیگر تلاش کنید."
"Sorry, but something went wrong.","با عرض پوزش، اشتباهی رخ داده است."
"Payment ","پرداخت "
"Credit card type is not accepted by this merchant account.","نوع اعتبار کارت توسط این حساب بازرگان پذیرفته نمی شود."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","اگر وضعیت مجاز باشد، transaction_ment_for_settlement، یا - برای PayPal - settlement_pending می تواند تراکنش را باطل کند."
"Credit transactions cannot be refunded.","تراکنش های اعتباری مسترد نمی شوند."
"Cannot refund a transaction unless it is settled.","نمی توانید معامله را بازپرداخت، مگر آنکه پرداخت شده باشد."
