"Country","രാജ്യം"
"Allowed Credit Card Types","Allowed Credit Card Types"
"Add Rule","Add Rule"
"Braintree Settlement Report","Braintree Settlement Report"
"Sorry, but something went wrong","Sorry, but something went wrong"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Braintree error response."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Wrong transaction status"
"Authorize","Authorize"
"Authorize and Capture","Authorize and Capture"
"--Please Select--","--Please Select--"
"Credit Card","ക്രെഡിറ്റ് കാർഡ്"
"ending","അവസാനിക്കുന്നു"
"expires","കാലഹരണപ്പെടുന്നു"
"PayPal","പേപാൽ"
"Please agree to all the terms and conditions before placing the order.","ഓർ‌ഡർ‌ നൽ‌കുന്നതിന് മുമ്പ് ദയവായി എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും അംഗീകരിക്കുക."
"Transaction was failed.","ഇടപാട് പരാജയപ്പെട്ടു."
"Credit Card Type","ക്രെഡിറ്റ് കാർഡ് ടൈപ്പ്"
"Credit Card Number","ക്രെഡിറ്റ് കാർഡ് നമ്പർ"
"Please, enter valid Credit Card Number","ദയവായി, സാധുവായ ക്രെഡിറ്റ് കാർഡ് നമ്പർ നൽകുക"
"Expiration Date","കാലഹരണപ്പെടുന്ന തീയതി"
"Please, enter valid Expiration Date","ദയവായി, സാധുവായ കാലഹരണ തീയതി നൽകുക"
"Card Verification Number","കാർഡ് വെരിഫിക്കേഷൻ നമ്പർ"
"Please, enter valid Card Verification Number","ദയവായി, സാധുവായ കാർഡ് വെരിഫിക്കേഷൻ നമ്പർ നൽകുക"
"Are you sure you want to delete this PayPal account","ഈ പേപാൽ അക്കൗണ്ട് ഇല്ലാതാക്കാൻ നിങ്ങൾ ആഗ്രഹിക്കുന്നുണ്ടോ"
"PayPal Account","പേപാൽ അക്കൗണ്ട്"
"PayPal Logo","പേപാൽ ലോഗോ"
"Actions","പ്രവര്‍ത്തികള്‍"
"Delete","നീക്കം ചെയ്യുക"
"Credit Card Information","ക്രെഡിറ്റ് കാർഡ് വിവരങ്ങൾ"
"What is this?","ഇത് എന്താണ്?"
"Save for later use.","പിന്നീടുള്ള ഉപയോഗത്തിനായി സേവ് ചെയ്യുക."
"Place Order","ഓർഡർ പ്ലേസ് ചെയ്യുക"
"This payment is not available","ഈ പേയ്‌മെന്റ് ലഭ്യമല്ല"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","ദയവായി മറ്റൊരു തരത്തിലുള്ള പേയ്‌മെന്റ് ഉപയോഗിച്ച് വീണ്ടും ശ്രമിക്കുക."
"Sorry, but something went wrong.","ക്ഷമിക്കണം, എന്തോ കുഴപ്പം സംഭവിച്ചു."
"Payment ","പേയ്മെന്റ് "
"Credit card type is not accepted by this merchant account.","ക്രെഡിറ്റ് കാർഡ് ടൈപ്പ് ഈ വ്യാപാരി അക്കൗണ്ട് അംഗീകരിക്കുന്നില്ല."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
