"Country","Land"
"Allowed Credit Card Types","Tilladte kreditkort"
"Add Rule","Tilføj regel"
"Braintree Settlement Report","Braintree udlignings rapport"
"Sorry, but something went wrong","Desværre, men noget gik galt"
"We can't initialize checkout.","Vi kan ikke initialisere checkout."
"No authorization transaction to proceed capture.","Ingen autorisation af transaktionen for at fortsætte til hævning."
"Transaction is successful.","Transaktion successful."
"Braintree error response.","Braintree fejl svar."
"Payment method nonce can't be retrieved.","Betaling metode engangsadgangskode kan ikke hentes."
"Wrong transaction status","Forkert transaktions status"
"Authorize","Autoriser"
"Authorize and Capture","Tillad og fasthold"
"--Please Select--","--Vælg--"
"Credit Card","Kreditkort"
"ending","slutter"
"expires","udløber"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Venligst acceptere alle vilkår og betingelser før ordreafgivelsen."
"Transaction was failed.","Transaktionen mislykkedes."
"Credit Card Type","Kreditkorttype"
"Credit Card Number","Kreditkortnummer"
"Please, enter valid Credit Card Number","Angiv gyldigt kreditkortnummer"
"Expiration Date","Udløbsdato"
"Please, enter valid Expiration Date","Angiv gyldig udløbsdato"
"Card Verification Number","Kortnummer verifikation"
"Please, enter valid Card Verification Number","Angiv gyldigt kort kontrolnummeret"
"Are you sure you want to delete this PayPal account","Er du sikker på du vil slette denne PayPal konto"
"PayPal Account","PayPal-konto"
"PayPal Logo","PayPal logo"
"Actions","Handlinger"
"Delete","Slet"
"Credit Card Information","Kreditkortoplysninger"
"What is this?","Hvad er dette?"
"Save for later use.","Gem til senere brug."
"Place Order","Afgiv ordre"
"This payment is not available","Denne betaling er ikke tilgængelig"
"MM","MM"
"YY","ÅÅ"
"Please try again with another form of payment.","Prøv venligst igen med en anden betalingsform."
"Sorry, but something went wrong.","Beklager, noget gik galt."
"Payment ","Betaling "
"Credit card type is not accepted by this merchant account.","Kreditkorttype er ikke accepteret af denne butik."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaktionen kan kun afvises, hvis status er autoriserede, submitted_for_settlement, eller - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Kreditkort transaktioner ikke kan refunderes."
"Cannot refund a transaction unless it is settled.","Kan ikke refundere transaktionen medmindre den er gennemført."
"Cannot submit for settlement unless status is authorized.","Kan ikke gennemføre medmindre statussen bliver autoriserede."
"Customer does not have any credit cards.","Kunde har intet kreditkort."
"Transaction has already been completely refunded.","Transaktionen har allerede blevet helt refunderet."
"Payment instrument type is not accepted by this merchant account.","Betalingstypen er ikke accepteret af denne butiks konto."
"Processor authorization code cannot be set unless for a voice authorization.","Proces-godkendelseskode kan ikke sættes for stemmegenkendelse."
"Refund amount is too large.","Refusionsbeløbet er for stor."
"Settlement amount is too large.","Afregningsbeløbet er for stor."
"Cannot provide a billing address unless also providing a credit card.","Kan ikke give faktureringsadresse uden der også er indtastede et kreditkort."
"Cannot refund a transaction with a suspended merchant account.","Ikke kan refundere en transaktion med en suspenderet foreetnings konto."
"Merchant account does not support refunds.","Forretnings konto understøtter ikke refunderinger."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Kan ikke refundere en transaktion, der ikke er gennemført for den pågældende forretnings konto. Prøv igen efter transaktionen er gennemført."
"PayPal is not enabled for your merchant account.","PayPal er ikke aktiveret for din forretnings konto."
"Partial settlements are not supported by this processor.","Delvis afregning er ikke understøttet af denne bruger. "
"Cannot submit for partial settlement.","Kan ikke ansøge om delvis betaling. "
