"Country","Страна"
"Allowed Credit Card Types","Разрешенные типы кредитных карт"
"Add Rule","Добавить правило"
"Braintree Settlement Report","Расчетный отчет Braintree"
"Sorry, but something went wrong","Извините, но что-то пошло не так"
"We can't initialize checkout.","Мы не можем инициализировать оплату."
"No authorization transaction to proceed capture.","Нет авторизации транзакции для продолжения записи."
"Transaction is successful.","Транзакция выполнена успешно."
"Braintree error response.","Ответ об ошибке Braintree."
"Payment method nonce can't be retrieved.","Невозможно получить способ одноразовой оплаты."
"Wrong transaction status","Неправильный статус операции"
"Authorize","Авторизировать"
"Authorize and Capture","Авторизировать и записать"
"--Please Select--","-- Выберите --"
"Credit Card","Кредитная карта"
"ending","Окончание"
"expires","срок действия"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Пожалуйста, согласитесь со всеми условиями до размещения заказа."
"Transaction was failed.","Сбой транзакции."
"Credit Card Type","Тип кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Please, enter valid Credit Card Number","Пожалуйста введите действительный номер кредитной карты"
"Expiration Date","Дата окончания срока действия"
"Please, enter valid Expiration Date","Пожалуйста введите допустимую дату истечения срока действия"
"Card Verification Number","Проверочный код карты"
"Please, enter valid Card Verification Number","Пожалуйста введите действительный номер проверки карты"
"Are you sure you want to delete this PayPal account","Вы уверены, что хотите удалить этот PayPal аккаунт"
"PayPal Account","Аккаунт PayPal"
"PayPal Logo","Логотип PayPal"
"Actions","Действия"
"Delete","Удалить"
"Credit Card Information","Информация о кредитной карте"
"What is this?","Что это?"
"Save for later use.","Сохраните для последующего использования."
"Place Order","Оформить заказ"
"This payment is not available","Этот платеж недоступен"
"MM","ММ"
"YY","YY"
"Please try again with another form of payment.","Пожалуйста, попробуйте еще раз с другой формой оплаты."
"Sorry, but something went wrong.","Извините, но что-то пошло не так."
"Payment ","Оплата "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Транзакцию можно будет аннулировать, если статус авторизован, submitted_for_settlement, или - для PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Кредитные операции не могут быть возвращены."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Транзакция уже полностью возвращена."
"Payment instrument type is not accepted by this merchant account.","Тип инструмента оплаты не принимается этим торговым счётом."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
