"Country","Страна"
"Refund amount is too large.","Сумма возмещения является слишком большой."
"Settlement amount is too large.","Расчетная сумма является слишком большой."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Не удается вернуть транзакцию с отсрочкой торгового счёта."
"Merchant account does not support refunds.","Торговый счёт не поддерживает возврат."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Не удается вернуть транзакцию в урегулирование статуса на этот торговый счёт. Повторите попытку после того, как транзакция осела."
"PayPal is not enabled for your merchant account.","PayPal не доступен для вашего торгового счёта."
"Partial settlements are not supported by this processor.","Частичный расчет не поддерживается этим процессором."
"Cannot submit for partial settlement.","Не удается подтвердить для частичного расчета."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Транзакция не может будет аннулирована, если статус дочерней транзакции частичного расчёта в PayPal равен settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Слишком много одновременных попыток вернуть эту транзакцию. Повторите попытку позже."
"Too many concurrent attempts to void this transaction. Try again later.","Слишком много одновременных попыток аннулировать эту транзакцию. Повторите попытку позже."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Принимаем кредитные/дебетовые карты и PayPal в магазине Magento.<br/>нет установки или ежемесячной платы и ваши клиенты никогда не покинут ваш магазин, чтобы завершить покупку."
"Enable this Solution","Включить это решение"
"Enable PayPal through Braintree","Включить PayPal через Braintree"
"Vault Enabled","Хранилище включено"
"Basic Braintree Settings","Основные настройки Braintree"
"Title","Заголовок"
"Environment","Окружающая среда"
"Payment Action","Тип платежа"
"Merchant ID","Merchant ID"
"Public Key","Открытый ключ"
"Private Key","Секретный ключ"
"Advanced Braintree Settings","Расширенные настройки Braintree"
"Vault Title","Название хранилища"
"Merchant Account ID","Идентификатор Merchant аккаунта"
"Advanced Fraud Protection","Улучшенная защита от мошенничества"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Отладка"
"CVV Verification","Верификация CVV"
"Credit Card Types","Типы кредитных карт"
"Sort Order","Порядок Сортировки"
"Country Specific Settings","Определенные параметры стран"
"Payment from Applicable Countries","Оплата из допустимых стран"
"Payment from Specific Countries","Оплата из определенных стран"
"Country Specific Credit Card Types","Типы определенных кредитных карт страны"
"PayPal through Braintree","PayPal через Braintree"
"Override Merchant Name","Переопределить название Merchant"
"Require Customer's Billing Address","Требуется платежный адрес клиента"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Разрешить редактирование адреса доставки введенного во время оформления заказа через PayPal"
"Display on Shopping Cart","Показать в корзине"
"Skip Order Review","Пропустить обзор заказа"
"3D Secure Verification Settings","Настройки проверки 3D Secure"
"3D Secure Verification","Верификация 3D Secure"
"Threshold Amount","Пороговая сумма"
"Verify for Applicable Countries","Верификация допустимых стран"
"Verify for Specific Countries","Верификация определенных стран"
"Dynamic Descriptors","Динамические дескрипторы"
"Name","Название"
"Phone","Номер телефона"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV должны быть 4 цифры для American Express и 3 цифры для других типов карт."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Год истечения срока действия является недопустимым. Дата должна быть между 1975 и 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","Не удалось выполнить проверку CVV."
"Postal code verification failed.","Сбой проверки почтового индекса."
"Credit card number is prohibited.","Номер кредитной карты, не допустим."
"Addresses must have at least one field filled in.","Адреса должны иметь по крайней мере одно заполненное поле."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","Кодов штатов США должен иметь два символа для удовлетворения требований защиты PayPal."
"Incomplete PayPal account information.","Неполные сведения учетной записи PayPal."
"Invalid PayPal account information.","Неверные сведения учетной записи PayPal."
"PayPal Accounts are not accepted by this merchant account.","PayPal счета не принимаются этим торговым счетом."
"Billing address format is invalid.","Формат платежного адреса недействителен."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Код страны не распознан. Пожалуйста, свяжитесь с администратором магазина."
"Provided country information is inconsistent.","Информация представленная о стране несовместима."
"Customer has already reached the maximum of 50 addresses.","Клиент достиг максимума 50 адресов."
"Address is invalid. Please contact the store administrator.","Недопустимый адрес. Пожалуйста, свяжитесь с администратором магазина."
"Error communicating with PayPal.","Ошибка соединения с PayPal."
"PayPal authentication expired.","Срок аутентификации истек."
"Error executing PayPal order.","Ошибка при выполнении PayPal заказа."
"Error executing PayPal billing agreement.","Ошибка при выставлении счета PayPal."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Применяйте фильтры для того, чтобы получить результаты. Будут отображены только первые 100 записей в таблице. Также вы сможете скачать полную версию отчета в формате CSV."
"Select...","Выберите..."
"Status","Статус"
"Transaction Type","Тип транзакции"
"Payment Type","Тип платежа"
"PayPal Payment ID","Идентификатор оплаты PayPal"
"Created At","Создано в"
"Transaction ID","ID транзакции"
"Order ID","ID заказа"
"Type","Тип"
"Amount","Количество"
"Settlement Code","Расчетный код"
"Settlement Response Text","Текстовый ответ расчета"
"Refund Ids","Идентификаторы возврата"
"Settlement Batch ID","Расчет пакетного ID"
"Currency","Валюта"
"Month","Месяц"
"Year","Год"
"Stored Card","Сохраненные карты"
"Credit card successfully added","Кредитная карточка успешно добавлена"
"Something went wrong while saving the card.","Что-то пошло не так при сохранении карты."
"Credit card does not exist","Кредитная карточка не существует"
"Delete Credit Card","Удалить кредитную карточку"
"There was error deleting the credit card","Ошибка при удалении кредитной карточки"
"Credit card successfully deleted","Кредитная карточка успешно удалена"
"Edit Credit Card","Изменение кредитной карточки"
"My Credit Cards","Мои кредитные карточки"
"New Credit Card","Новая кредитная карточка"
"There was error during saving card data","Возникла ошибка при сохранении данных карточки"
"We can't place the order.","Мы не можем разместить заказ."
"Incorrect payment method.","Неверный метод оплаты."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","Мы не можем обновить способ доставки."
"The processor declined your transaction, please re-enter your payment information","Процессор отклонил транзакцию, пожалуйста, повторно введите платежную информацию"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Операция отменена: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Тип кредитной карточки не доступен для вашей страны."
"Credit card type is not allowed for this payment method.","Тип кредитной карты не допускается для данного метода оплаты."
"Selected payment type is not allowed for billing country.","Тип выбранного платежа не допускается для выставления счетов страны."
"Incomplete payment information.","Incomplete payment information."
"Please try again later","Повторите попытку позже"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Счет"
"Shipment","Доставка"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","некоторая ошибка"
"a,b,c","a,b,c"
"Something went wrong while processing.","Что-то пошло не так во время обработки."
"error","ошибка"
"exception","исключение"
"Payment Information","Payment Information"
"Add new card","Добавить новую карту"
"Please Select","Выберите"
"Save this card for future use","Save this card for future use"
"or","или"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Имя владельца карты"
"Back","Назад"
"* Required Fields","* Обязательные поля"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","Адрес для выставления счета"
"First Name","Имя"
"Last Name","Фамилия"
"Company","Компания"
"Address","Адрес"
"City","Город"
"State/Province","Область"
"Please select region, state or province","Пожалуйста, выберите область"
"Zip/Postal Code","Почтовый индекс"
"Submit","Отправить"
"Add Credit Card","Add Credit Card"
"Card Number","Номер карты"
"Is Default","По умолчанию"
"Yes","Да"
"No","Нет"
"Edit","Редактировать"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Захват действий"
"New Order Status","Статус нового заказа"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Разрешить повторяющиеся карты"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Использование кэша"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Аккаунт PayPal"
"Coinbase account","Аккаунт Coinbase"
"Europe bank account","Аккаунт Europe bank"
"Credit card","Оплата банковской картой"
"Apple pay card","платежная карточка Apple"
"Android pay card","платежная карточка Android"
"Authorization expired","Истек срок действия авторизации"
"Authorizing","Авторизация"
"Authorized","Авторизовано"
"Gateway rejected","Шлюз отклонен"
"Failed","Ошибка"
"Processor declined","отказ процессором"
"Settled","Стабильный"
"Settling","Стабилизация"
"Submitted for settlement","Отправлено для стабилизации"
"Voided","Аннулирован"
"Unrecognized","Нераспознан"
"Settlement declined","Стабилизация снизилась"
"Settlement pending","Стабилизация в ожидании"
"Settlement confirmed","Стабилизация подтверждена"
"Sale","Продажа"
"Credit","Кредит"
"Vault enabled","Vault включен"
