"Country","الدولة"
"Allowed Credit Card Types","أنواع بطاقات الائتمان المسموحة"
"Add Rule","إضافة قاعدة"
"Braintree Settlement Report","تقرير تسوية Braintree"
"Sorry, but something went wrong","عفواً، حدث خطأ"
"We can't initialize checkout.","لايمكننا تهيئة عملية الدفع."
"No authorization transaction to proceed capture.","لا إذن لمتابعة معاملة الالتقاط."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","رد خطأ Braintree."
"Payment method nonce can't be retrieved.","لا يمكن استرداد طريقة الدفع التجريبية."
"Wrong transaction status","حالة المعاملة غير صحيحة"
"Authorize","تصريح"
"Authorize and Capture","التحقق و القبض"
"--Please Select--","--أختر من فضلك--"
"Credit Card","بطاقة الإئتمان"
"ending","إنهاء"
"expires","انتهاء صلاحية"
"PayPal","باي بال"
"Please agree to all the terms and conditions before placing the order.","الرجاء الموافقة على كل الشروط والأحكام قبل انهاء طلبك."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Number","رقم بطاقة الائتمان"
"Please, enter valid Credit Card Number","الرجاء إدخال ""رقم بطاقة ائتمان"" صالحة"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Please, enter valid Expiration Date","الرجاء إدخال ""تاريخ انتهاء صلاحية"" صالح"
"Card Verification Number","رقم التحقق من البطاقة"
"Please, enter valid Card Verification Number","الرجاء إدخال ""رقم تحقق بطاقة"" صالح"
"Are you sure you want to delete this PayPal account","هل أنت متأكد من أنك تريد حذف حساب بأي بال هذا"
"PayPal Account","حساب باي بال"
"PayPal Logo","شعار باي بال"
"Actions","اعمال"
"Delete","احذف"
"Credit Card Information","معلومات بطاقة الائتمان"
"What is this?","ما هذا؟"
"Save for later use.","حفظ لاستخدامها في وقت لاحق."
"Place Order","إنشاء الطلب"
"This payment is not available","لا يتوفر هذا الدفع"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","الرجاء المحاولة مرة أخرى بشكل آخر من أشكال الدفع."
"Sorry, but something went wrong.","عفواً، حدث خطأ."
"Payment ","الدفع "
"Credit card type is not accepted by this merchant account.","لم يتم قبول نوع بطاقة الائتمان بحساب هذا التاجر."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","المعاملات الإئتمانية لايمكن إستردادها."
"Cannot refund a transaction unless it is settled.","لا يمكن استرداد المعاملة التجارية إلا أن تتم تسويتها."
"Cannot submit for settlement unless status is authorized.","لا يمكن الأرسال للتسوية إلا إذا كانت الحالة مرخصة."
"Customer does not have any credit cards.","ليس لدى العميل أي بطاقات ائتمان."
"Transaction has already been completely refunded.","تم بالفعل رد المبلغ بالكامل."
"Payment instrument type is not accepted by this merchant account.","نوع وسيلة الدفع غير مقبول بواسطة التاجر هذا."
"Processor authorization code cannot be set unless for a voice authorization.","رمز ترخيص المعالج لايمكن ان يعين إلا إذا تم تعيين ترخيص صوتي."
"Refund amount is too large.","المبلغ الإسترداد كبير للغاية."
"Settlement amount is too large.","مبلغ التسوية كبير جدًا."
"Cannot provide a billing address unless also providing a credit card.","لا يمكن توفير عنوان الفوترة إلا بتقديم بطاقة ائتمان."
"Cannot refund a transaction with a suspended merchant account.","لايمكن استرداد المبالغ من الحسابات المعلقة."
"Merchant account does not support refunds.","حساب التاجر هذا لا يدعم إسترداد المبالغ."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","لا يمكن رد المبالغ, الصفقه في حالة تسوية في حساب التاجر هذا. حاول مرة أخرى بعد تسوية الصفقة."
"PayPal is not enabled for your merchant account.","لم يتم تمكين بأي بال لحساب التاجر الخاص بك."
"Partial settlements are not supported by this processor.","لا يتم اعتماد التسويات الجزئية من هذا المعالج."
"Cannot submit for partial settlement.","لا يمكن تقديم تسوية جزئية."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","هناك العديد من المحاولات لإبطال هذه العملية, حاول في وقت لاحق."
"Too many concurrent attempts to void this transaction. Try again later.","هناك العديد من المحاولات لإبطال هذه العملية, حاول في وقت لاحق."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","قبول بطاقات الائتمان و بايبال في المتجر. <br/> بدون رسوم إعداد أو رسوم شهرية، ولن يخرج عملائك من الموقع لإتمام الدفع."
"Enable this Solution","تمكين هذا الحل"
"Enable PayPal through Braintree","تمكين باي بال عن طريق Braintree"
"Vault Enabled","تم تمكين الخزنة"
"Basic Braintree Settings","الإعدادات الأساسية Braintree"
"Title","العنوان"
"Environment","البيئة"
"Payment Action","فعل الدفع"
"Merchant ID","رمز تعريف التاجر"
"Public Key","المفتاح العمومي"
"Private Key","المفتاح الخاص"
"Advanced Braintree Settings","إعدادات متقدمة Braintree"
"Vault Title","اسم الخزنة"
"Merchant Account ID","معرف حساب التاجر"
"Advanced Fraud Protection","الحماية المتقدمة من الاحتيال"
"Kount Merchant ID","معرف تاجر Kount"
"Debug","نقح"
"CVV Verification","التحقق CVV"
"Credit Card Types","أنواع بطاقة الائتمان"
"Sort Order","الترتيب"
"Country Specific Settings","إعدادات محددة للبلد"
"Payment from Applicable Countries","الدفع من البلدان المطبقة"
"Payment from Specific Countries","الدفع من بلدان معينة"
"Country Specific Credit Card Types","أنواع بطاقات الائتمان المحددة للبلد"
"PayPal through Braintree","باي بال عن طريق Braintree"
"Override Merchant Name","تجاوز اسم التاجر"
"Require Customer's Billing Address","تتطلب معالجة عناوين الفواتير للعميل"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","السماح بتعديل عنوان الشحن خلال مرحلة الدفع بـ باي بال"
"Display on Shopping Cart","العرض في سلة التسوق"
"Skip Order Review","تخطي مراجعة الطلب"
"3D Secure Verification Settings","إعدادات التحقق آمنة 3D"
"3D Secure Verification","التحقق الآمن باستخدام 3D"
"Threshold Amount","مبلغ الحد الأعلى"
"Verify for Applicable Countries","تحقق من البلدان المطابقة"
"Verify for Specific Countries","تحقق من بلدان محددة"
"Dynamic Descriptors","معرفات ديناميكية"
"Name","اسم"
"Phone","رقم الهاتف"
"URL","الرابط"
"CVV is required.","CVV مطلوب."
"CVV must be 4 digits for American Express and 3 digits for other card types.","يجب أن تكون الCVV أربعة أرقام ""أمريكان إكسبريس"" و 3 أرقام لأنواع البطاقات الأخرى."
"Expiration date is required.","تاريخ انتهاء الصلاحية مطلوب."
"Expiration date is invalid.","تاريخ انتهاء الصلاحية غير صالح."
"Expiration year is invalid. It must be between 1975 and 2201.","سنة انتهاء الصلاحية غير صالح. يجب أن يكون بين عامي 1975 و 2201."
"Expiration month is invalid.","شهر انتهاء الصلاحية غير صالح."
"Expiration year is invalid.","سنة انتهاء الصلاحية غير صالح."
"Credit card number is required.","مطلوب رقم بطاقة الائتمان."
"Credit card number is invalid.","رقم بطاقة الائتمان غير صحيح."
"Credit card number must be 12-19 digits.","يجب أن يكون رقم بطاقة الائتمان مابين 12- 19 رقم."
"Cardholder name is too long.","اسم حامل البطاقة طويل جداً."
"CVV verification failed.","فشل التحقق من صحة CVV."
"Postal code verification failed.","فشل التحقق من صحة الرمز البريدي."
"Credit card number is prohibited.","رقم بطاقة الائتمان محظور."
"Addresses must have at least one field filled in.","يجب أن تحتوي العناوين على حقل واحد على الأقل."
"Company is too long.","اسم الشركة طويل جداً."
"Extended address is too long.","العنوان الإضافي طويل جداً."
"First name is too long.","الاسم الأول طويل جداً."
"Last name is too long.","اسم العائلة طويل جداً."
"Locality is too long.","الموقع طويل جداً."
"Postal code is required.","الرمز البريدي مطلوب."
"Postal code may contain no more than 9 letter or number characters.","الرمز البريدي قد يحتوي عن لا يزيد عن 9 أحرف أو أرقام."
"Region is too long.","اسم المنطقة طويل جداً."
"Street address is required.","عنوان الشارع مطلوب."
"Street address is too long.","العنوان طويل جداً."
"Postal code can only contain letters, numbers, spaces, and hyphens.","الرمز البريدي يمكن أن يحتوي على فقط حروف وأرقام، ومسافات، و وصلات."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","يجب أن يكون كود الولايه حرفين للوفاء بمتطلبات ""حماية البائع بأي بال""."
"Incomplete PayPal account information.","معلومات حساب بأي بال غير مكتملة."
"Invalid PayPal account information.","معلومات حساب PayPal غير صالحة."
"PayPal Accounts are not accepted by this merchant account.","حسابات PayPal غير مقبولة من قبل التاجر هذا."
"Billing address format is invalid.","تنسيق عنوان الفاتورة غير صالح."
"Country name is not an accepted country.","اسم الدولة غير مقبول."
"Country code is not accepted. Please contact the store administrator.","رمز البلد غير مقبول. الرجاء الاتصال بمسؤول المتجر."
"Provided country information is inconsistent.","معلومات البلد المقدمة غير متناسقة."
"Customer has already reached the maximum of 50 addresses.","لقد وصل العميل بالفعل إلى الحد الأقصى من العناوين (50 عنوانًا)."
"Address is invalid. Please contact the store administrator.","العنوان غير صحيح. الرجاء الاتصال بمسؤول المتجر."
"Error communicating with PayPal.","حدث خطأ في التواصل مع PayPal."
"PayPal authentication expired.","انتهت صلاحية مصادقة PayPal."
"Error executing PayPal order.","حدث خطأ في تنفيذ طلب PayPal."
"Error executing PayPal billing agreement.","خطأ في اتفاق فوترة باي بال."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","تطبيق عامل تصفية من أجل الحصول على النتائج. سيتم عرض السجلات أول 100 فقط في الشبكة، سوف تكون قادرة على تحميل النسخة الكاملة من التقرير بتنسيق csv."
"Select...","اختر..."
"Status","الحاله"
"Transaction Type","نوع المعاملة التجارية"
"Payment Type","وسيلة الدفع"
"PayPal Payment ID","معرف الدفع باي بال"
"Created At","انشئة في "
"Transaction ID","رقم المعاملة"
"Order ID","رقم الطلب"
"Type","النوع"
"Amount","الكمية"
"Settlement Code","رمز التسوية"
"Settlement Response Text","نص استجابة التسوية"
"Refund Ids","معرفات الإسترداد"
"Settlement Batch ID","معرف التسوية المجمعة"
"Currency","العملة"
"Month","الشهر"
"Year","السنة"
"Stored Card","بطاقة مخزنة"
"Credit card successfully added","تم إضافة بطاقة الائتمان بنجاح"
"Something went wrong while saving the card.","حدث خطأ أثناء حفظ البطاقة."
"Credit card does not exist","لا توجد بطاقة الائتمان"
