"Country","國家"
"Allowed Credit Card Types","允許的信用卡類型"
"Add Rule","新增規則"
"Braintree Settlement Report","Braintree 結算報告"
"Sorry, but something went wrong","對不起，出了問題。"
"We can't initialize checkout.","我們不能初始化結帳。"
"No authorization transaction to proceed capture.","沒有已授權交易來進行提取。"
"Transaction is successful.","事務成功。"
"Braintree error response.","Braintree 回應錯誤。"
"Payment method nonce can't be retrieved.","付款方式無法檢索。"
"Wrong transaction status","錯誤的交易狀態"
"Authorize","授權"
"Authorize and Capture","授權和提取"
"--Please Select--","-請選擇-"
"Credit Card","信用卡"
"ending","結束"
"expires","到期"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","請在提交訂單之前同意所有條款及條件。"
"Transaction was failed.","Transaction was failed."
"Credit Card Type","信用卡類型"
"Credit Card Number","信用卡卡號"
"Please, enter valid Credit Card Number","請輸入有效的信用卡號碼"
"Expiration Date","到期日期"
"Please, enter valid Expiration Date","請輸入有效的到期日期"
"Card Verification Number","信用卡驗證號碼"
"Please, enter valid Card Verification Number","請輸入有效的信用卡驗證號碼"
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account"
"PayPal Account","PayPal 帳戶"
"PayPal Logo","PayPal 商標"
"Actions","動作"
"Delete","刪除"
"Credit Card Information","信用卡資訊"
"What is this?","這是什麽？"
"Save for later use.","保存供以後使用。"
"Place Order","確認訂單"
"This payment is not available","這筆付款不可用"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","請以其他付款方式再試一次。"
"Sorry, but something went wrong.","對不起，出了問題。"
"Payment ","付款"
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","在您的 Magento 商店接受信用卡/借記卡和PayPal。<br/>沒有設置費或月費，客戶不需要離開你的商店來完成購買。"
"Enable this Solution","啟用此解決方案"
"Enable PayPal through Braintree","准許 Paypal 透過 Braintree "
"Vault Enabled","存儲庫已啟用"
"Basic Braintree Settings","基本 Braintree 設置"
"Title","標題"
"Environment","環境"
"Payment Action","付款操作"
"Merchant ID","商戶 ID"
"Public Key","公開金鑰"
"Private Key","私人金鑰"
"Advanced Braintree Settings","進階 Merchant 設置"
"Vault Title","金庫標題"
"Merchant Account ID","商戶帳戶 ID"
"Advanced Fraud Protection","進階的防欺詐保護"
"Kount Merchant ID","Kount Merchant ID"
"Debug","除錯"
"CVV Verification","CVV 驗證"
"Credit Card Types","信用卡類型"
"Sort Order","訂單排序"
"Country Specific Settings","國家/地區特定設置"
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Country Specific Credit Card Types","國家特定的信用卡類型"
"PayPal through Braintree","Paypal 透過 Braintree "
"Override Merchant Name","重寫商戶名稱"
"Require Customer's Billing Address","需要客戶的帳單地址"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","允許編輯在 PayPal 結帳時輸入的送貨地址"
"Display on Shopping Cart","在購物車上的顯示"
"Skip Order Review","跳過訂單檢閱"
"3D Secure Verification Settings","3D 安全驗證設置"
"3D Secure Verification","3D 安全驗證"
"Threshold Amount","門檻金額"
