"Country","Ország"
"Allowed Credit Card Types","Engedélyezett hitelkártya típusok"
"Add Rule","Szabály hozzáadása"
"Braintree Settlement Report","Braintree elszámolási jelentés"
"Sorry, but something went wrong","Sajnáljuk, de hiba történt"
"We can't initialize checkout.","A fizetés nem indítható."
"No authorization transaction to proceed capture.","Nincs megfelelő engedély a tranzakció folytatásához."
"Transaction is successful.","A tranzakció sikeres."
"Braintree error response.","Braintree hiba válasz."
"Payment method nonce can't be retrieved.","A fizetési mód nem állítható helyre!"
"Wrong transaction status","A hibás tranzakció állapot"
"Authorize","Engedélyez"
"Authorize and Capture","Engedélyez és levon"
"--Please Select--","--Kérem, válasszon--"
"Credit Card","Bankkártya"
"ending","befejező"
"expires","lejár"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Kérjük, fogadd el az összes általános szerződési feltételt mielőtt leadsz egy rendelést."
"Transaction was failed.","Tranzakció nem jött létre."
"Credit Card Type","Hitelkártya-típus"
"Credit Card Number","Hitelkártyaszám"
"Please, enter valid Credit Card Number","Kérem adjon meg érvényes hitelkártyaszámot"
"Expiration Date","Lejárat dátuma"
"Please, enter valid Expiration Date","Kérem adjon meg érvényes lejárati dátumot"
"Card Verification Number","Kártya ellenőrző szám"
"Please, enter valid Card Verification Number","Kérem adjon meg érvényes kártya ellenőrző számot"
"Are you sure you want to delete this PayPal account","Biztosan törli ezt a PayPal fiókot?"
"PayPal Account","PayPal fiók"
"PayPal Logo","PayPal logó"
"Actions","Műveletek"
"Delete","Törlés"
"Credit Card Information","Hitelkártya-adatok"
"What is this?","Mi ez?"
"Save for later use.","Mentés a későbbi használathoz."
"Place Order","Megrendelés"
"This payment is not available","Ez a fizetési mód nem áll rendelkezésre"
"MM","HH"
"YY","ÉÉ"
"Please try again with another form of payment.","Kérem próbálja újra egy másik fizetési móddal."
"Sorry, but something went wrong.","Sajnáljuk, de hiba történt."
"Payment ","Fizetés "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Fogadjon el bankkártyás, hitelkártyás és PayPal-on keresztüli fizetést boltjában!<br/>Nincs beállítási és havidíj, és a vásárlónak nem kell elhagynia a webáruházat a fizetés lebonyolításához."
