"Country","Land"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","Namn"
"Phone","Telefon"
"URL","Webbadress"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Använd filter för att visa resultat. Endast de första 100 posterna visas i rutnätet. Du kommer att kunna ladda ner en full version av rapporten i .csv-format."
"Select...","Välj..."
"Status","Status"
"Transaction Type","Transaktionstyp"
"Payment Type","Betalningstyp"
"PayPal Payment ID","PayPal betalnings-ID"
"Created At","Skapades"
"Transaction ID","Transaktions-ID"
"Order ID","Order-ID"
"Type","Typ"
"Amount","Belopp"
"Settlement Code","Avräkningskod"
"Settlement Response Text","Svarstext från avräkning"
"Refund Ids","Återbetalning-Id"
"Settlement Batch ID","Batch-ID från avräkning"
"Currency","Valuta"
"Month","Månad"
"Year","År"
"Stored Card","Stored Card"
"Credit card successfully added","Credit card successfully added"
"Something went wrong while saving the card.","Something went wrong while saving the card."
"Credit card does not exist","Credit card does not exist"
"Delete Credit Card","Ta bort kreditkort"
"There was error deleting the credit card","There was error deleting the credit card"
"Credit card successfully deleted","Credit card successfully deleted"
"Edit Credit Card","Redigera kreditkort"
"My Credit Cards","My Credit Cards"
"New Credit Card","New Credit Card"
"There was error during saving card data","There was error during saving card data"
"We can't place the order.","We can't place the order."
"Incorrect payment method.","Incorrect payment method."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","We can't update shipping method."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaction declined: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","Incomplete payment information."
"Please try again later","Försök igen senare"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Fakturera"
"Shipment","Frakt"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","några fel"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","error"
"exception","exception"
"Payment Information","Betalinformation"
"Add new card","Lägg till nytt kort"
"Please Select","Vänligen välj"
"Save this card for future use","Save this card for future use"
"or","eller"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Back","Tillbaka"
"* Required Fields","* Obligatoriska fält"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","Faktureringsadress"
"First Name","Förnamn"
"Last Name","Efternamn"
"Company","Företag"
"Address","Adress"
"City","Stad"
"State/Province","Län"
"Please select region, state or province","Ange region eller område"
"Zip/Postal Code","Postnummer"
"Submit","Skicka"
"Add Credit Card","Lägg till kreditkort"
"Card Number","Kortnummer"
"Is Default","Standard"
"Yes","Ja"
"No","Nej"
"Edit","Redigera"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","Ny orderstatus"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Betala med PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal-konto"
"Coinbase account","Coinbase-konto"
"Europe bank account","Europeiskt bankkonto"
"Credit card","Kreditkort"
"Apple pay card","Apple pay-kort"
"Android pay card","Android betalkort"
"Authorization expired","Auktorisering utgången"
"Authorizing","Godkänner"
"Authorized","Auktoriserad"
"Gateway rejected","Gateway nekad"
"Failed","Misslyckad"
"Processor declined","Processor nekad"
"Settled","Kvitterad"
"Settling","Under kvittering"
"Submitted for settlement","Skickat för kvittering"
"Voided","Makulerad"
"Unrecognized","Okänd"
"Settlement declined","Kvittering nekad"
"Settlement pending","Väntar på kvittering"
"Settlement confirmed","Kvittering bekräftad"
"Sale","Försäljning"
"Credit","Kredit"
"Vault enabled","Valvet aktiverat"
