"Country","国家"
"Allowed Credit Card Types","无法更新送货方式"
"Add Rule","添加规则"
"Braintree Settlement Report","Braintree结算报告"
"Sorry, but something went wrong","对不起，但事情出了错"
"We can't initialize checkout.","我们不能初始化校验。"
"No authorization transaction to proceed capture.","继续捕获未授权交易。"
"Transaction is successful.","交易成功。"
"Braintree error response.","Braintree 错误响应"
"Payment method nonce can't be retrieved.","无法检索付款方法 nonce。"
"Wrong transaction status","错误的交易记录的状态"
"Authorize","授权"
"Authorize and Capture","授权和获取"
"--Please Select--","-- 请选择 --"
"Credit Card","信用卡"
"ending","结束"
"expires","到期"
"PayPal","贝宝（PayPal）"
"Please agree to all the terms and conditions before placing the order.","请在下订单前同意所有的条款和条件。"
"Transaction was failed.","交易失败。"
"Credit Card Type","卡片验证号码"
"Credit Card Number","信用卡卡号"
"Please, enter valid Credit Card Number","请输入有效的信用卡号码"
"Expiration Date","过期日期"
"Please, enter valid Expiration Date","请输入有效的到期日期"
"Card Verification Number","信用卡验证号码"
"Please, enter valid Card Verification Number","请输入有效的信用卡验证号码"
"Are you sure you want to delete this PayPal account","您确定要删除该Paypal账号？"
"PayPal Account","Paypal账户"
"PayPal Logo","贝宝徽标"
"Actions","动作"
"Delete","删除"
"Credit Card Information","信用卡信息"
"What is this?","这是什么？"
"Save for later use.","保存供以后使用。"
"Place Order","对不起，暂无报价可供此订单现在。"
"This payment is not available","这笔付款不可用"
"MM","月"
"YY","年"
"Please try again with another form of payment.","请尝试其他付款方式。"
"Sorry, but something went wrong.","抱歉，出错了。"
"Payment ","付款"
"Credit card type is not accepted by this merchant account.","由这个商人帐户不接受信用卡类型。"
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","只有在状态为已授权，提交结算或-对PayPal-结算_待处理时，交易才能作废。"
"Credit transactions cannot be refunded.","信贷交易无法退款。"
"Cannot refund a transaction unless it is settled.","无法退款一个未结算的交易。"
"Cannot submit for settlement unless status is authorized.","无法提交未授权的结算。"
"Customer does not have any credit cards.","客户没有任何信用卡。"
"Transaction has already been completely refunded.","交易已退款。"
"Payment instrument type is not accepted by this merchant account.","商家不支持该付款方式。"
"Processor authorization code cannot be set unless for a voice authorization.","除非有语音授权, 否则不能设置处理器授权代码。"
"Refund amount is too large.","退款金额太大。"
"Settlement amount is too large.","结算金额太大。"
"Cannot provide a billing address unless also providing a credit card.","除非提供信用卡，否则不能提供帐单地址。"
"Cannot refund a transaction with a suspended merchant account.","商家帐户已暂停使用，无法退款。"
"Merchant account does not support refunds.","商家不支持退款。"
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","该商家结算中的交易无法退款。请结算完成后再试。"
"PayPal is not enabled for your merchant account.","您的商业帐户未启用 PayPal。"
"Partial settlements are not supported by this processor.","该处理程序不支持部分结算。"
"Cannot submit for partial settlement.","无法提交部分结算。"
