"Country","País"
"Allowed Credit Card Types","Tipos de Cartão de Crédito permitidos"
"Add Rule","Adicionar Regra"
"Braintree Settlement Report","Relatório de Vendas Braintree"
"Sorry, but something went wrong","Desculpe, mas algo deu errado"
"We can't initialize checkout.","Não foi possível iniciar o checkout."
"No authorization transaction to proceed capture.","Nenhuma transação de autorização para proceder à captura."
"Transaction is successful.","Transação bem-sucedida."
"Braintree error response.","Resposta de erro Braintree."
"Payment method nonce can't be retrieved.","Não foi possível obter o nonce do modo de pagamento."
"Wrong transaction status","Estado de transação inválido"
"Authorize","Autorizar"
"Authorize and Capture","Autorizar e Capturar"
"--Please Select--","-- Por favor, selecione --"
"Credit Card","Cartão de Crédito"
"ending","acabando em"
"expires","expira em"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de fazer o pedido."
"Transaction was failed.","A transação falhou."
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Please, enter valid Credit Card Number","Por favor, insira um Número de Cartão de Crédito válido"
"Expiration Date","Data de Validade"
"Please, enter valid Expiration Date","Por favor, insira uma Data de Vencimento válida"
"Card Verification Number","Código de Verificação do Cartão"
"Please, enter valid Card Verification Number","Por favor, insira um número de verificação de cartão válido"
"Are you sure you want to delete this PayPal account","Você tem certeza que deseja excluir esta conta do PayPal"
"PayPal Account","Conta PayPal"
"PayPal Logo","Logo Paypal"
"Actions","Ações"
"Delete","Excluir"
"Credit Card Information","Informações do cartão de crédito"
"What is this?","O que é isto?"
"Save for later use.","Gravar para uso futuro."
"Place Order","Finalizar Pedido"
"This payment is not available","Este pagamento não está disponível"
"MM","MM"
"YY","AA"
"Please try again with another form of payment.","Por favor, tente novamente com outra forma de pagamento."
"Sorry, but something went wrong.","Desculpe, mas algo deu errado."
"Payment ","Pagamento "
"Credit card type is not accepted by this merchant account.","Este tipo de cartão de crédito não é aceito por esta loja."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transação pode apenas cancelada se o status está autorizado, submitted_for_settlement, ou - para PayPal - settlement_pending."
"Credit transactions cannot be refunded.","As operações de crédito não podem ser reembolsadas."
"Cannot refund a transaction unless it is settled.","Não podemos reembolsar uma transação a menos que esteja liquidada."
"Cannot submit for settlement unless status is authorized.","Não é possível enviar para liquidação, a menos que o status esteja como autorizado."
"Customer does not have any credit cards.","Cliente não possui cartões de crédito."
"Transaction has already been completely refunded.","Transação já foi totalmente reembolsada."
"Payment instrument type is not accepted by this merchant account.","Este tipo de cartão de crédito não é aceito por esta loja."
"Processor authorization code cannot be set unless for a voice authorization.","Código de autorização de processamento não pode ser definido a menos que haja uma autorização de voz."
"Refund amount is too large.","Montante da restituição for muito grande."
"Settlement amount is too large.","Quantidade de assentamento é muito grande."
"Cannot provide a billing address unless also providing a credit card.","Não pode fornecer um endereço de cobrança, a menos que também forneça um cartão de crédito."
"Cannot refund a transaction with a suspended merchant account.","Não podemos reembolsar uma transação com um cliente mercante suspenso."
