"Country","Pays"
"Allowed Credit Card Types","Types de cartes de crédit autorisées"
"Add Rule","Ajouter une règle"
"Braintree Settlement Report","Rapport de règlement Braintree"
"Sorry, but something went wrong","Désolé, une erreur s'est produite"
"We can't initialize checkout.","Nous ne pouvons pas initialiser la commande."
"No authorization transaction to proceed capture.","Aucune autorisation de transaction pour procéder à la capture."
"Transaction is successful.","Transaction réussie."
"Braintree error response.","Réponse d’erreur Braintree."
"Payment method nonce can't be retrieved.","L'authentification de la méthode de paiement ne peut pas être retrouvé."
"Wrong transaction status","Statut de la transaction erronée"
"Authorize","Autoriser"
"Authorize and Capture","Autorisation et collecte"
"--Please Select--","--Votre choix--"
"Credit Card","Carte de crédit"
"ending","se terminant"
"expires","expire le"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales de ventes avant de valider la commande."
"Transaction was failed.","La transaction a échoué."
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Please, enter valid Credit Card Number","Veuillez saisir un numéro de carte bancaire valide"
"Expiration Date","Date d'expiration"
"Please, enter valid Expiration Date","Veuillez entrer des dates d’expiration valides"
"Card Verification Number","Numéro de vérification"
"Please, enter valid Card Verification Number","Veuillez saisir un numéro de vérification de carte bancaire valide"
"Are you sure you want to delete this PayPal account","Êtes-vous sûr de vouloir supprimer ce compte PayPal ?"
"PayPal Account","Compte PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Actions"
"Delete","Supprimer"
"Credit Card Information","Information de la carte bancaire"
"What is this?","Qu'est-ce que c'est ?"
"Save for later use.","Sauvegarder pour plus tard."
"Place Order","Passez la commande"
"This payment is not available","Ce moyen de paiement n'est pas disponible"
"MM","MM"
"YY","AA"
"Please try again with another form of payment.","Merci d'essayer à nouveau avec un autre mode de paiement"
"Sorry, but something went wrong.","Désolé, Une erreur s'est produite."
"Payment ","Paiement "
"Credit card type is not accepted by this merchant account.","Le type de carte de crédit n'est pas accepté par ce compte marchand."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","La transaction ne peut être annulée que si le statut est autorisée, envoyée pour règlement, ou - pour PayPal - en attente de règlement."
"Credit transactions cannot be refunded.","Opérations de crédit ne peuvent être remboursées."
"Cannot refund a transaction unless it is settled.","Impossible de rembourser une transaction à moins qu'elle ne soit réglée."
"Cannot submit for settlement unless status is authorized.","Impossible de soumettre pour le règlement à moins que le statut n'ait été autorisé."
"Customer does not have any credit cards.","Le client n'a pas de carte de crédit."
"Transaction has already been completely refunded.","La transaction a déjà été intégralement remboursée."
"Payment instrument type is not accepted by this merchant account.","Type d’instrument de paiement n’est pas acceptée par ce compte marchand."
"Processor authorization code cannot be set unless for a voice authorization.","Le code d'autorisation du processeur ne peut être défini à moins qu'une autorisation vocale ne soit autorisée."
"Refund amount is too large.","Le montant du remboursement est trop grand."
"Settlement amount is too large.","Le montant du règlement est trop grand."
"Cannot provide a billing address unless also providing a credit card.","Impossible de fournir une adresse de facturation à moins de fournir une carte de crédit."
"Cannot refund a transaction with a suspended merchant account.","Ne peut pas rembourser une transaction avec un compte marchand suspendu."
"Merchant account does not support refunds.","Le compte marchand ne supporte pas les remboursements."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Ne peut pas rembourser une transaction pour régler la situation sur ce compte marchand. Essayez à nouveau après que la transaction s’est passée."
"PayPal is not enabled for your merchant account.","PayPal n’est pas activé pour votre compte marchand."
"Partial settlements are not supported by this processor.","Les règlements partiels ne sont pas supportés par ce processeur."
"Cannot submit for partial settlement.","Ne peut pas soumettre de règlement partiel."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction ne peut pas être annulée si le statut d’une transaction associée de règlement partiel de PayPal est settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Trop de tentatives simultanées de remboursement de cette transaction. Réessayez plus tard."
"Too many concurrent attempts to void this transaction. Try again later.","Trop de tentatives simultanées pour annuler ce paiement. Réessayez plus tard."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accepter les cartes de crédit/débit et PayPal à votre boutique Magento. <br/> Aucun frais mensuels ou d’installation ou et vos clients ne quittent jamais votre magasin pour finaliser l’achat."
"Enable this Solution","Activer cette solution"
