"Country","Kraj"
"Allowed Credit Card Types","Dopuszczone rodzaje kart kredytowych"
"Add Rule","Dodaj regułę"
"Braintree Settlement Report","Raport dotyczący likwidacji Braintree"
"Sorry, but something went wrong","Przepraszamy, coś poszło nie tak"
"We can't initialize checkout.","Nie można zainicjować zamówienia."
"No authorization transaction to proceed capture.","Nie ma autoryzacji transakcji do kontynuowanie przechwytywania."
"Transaction is successful.","Transakcja zakończona sukcesem."
"Braintree error response.","Braintree błąd odpowiedzi."
"Payment method nonce can't be retrieved.","Nie można pobrać identyfikatora jednorazowego metody płatności."
"Wrong transaction status","Zły stan transakcji"
"Authorize","Autoryzujautoryzuj"
"Authorize and Capture","Autoryzuj i przechwyć"
"--Please Select--","--Proszę wybrać--"
"Credit Card","Karta kredytowa"
"ending","końcówka"
"expires","wygasa"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"Transaction was failed.","Transakcja nie powiodła się."
"Credit Card Type","Typ karty kredytowej"
"Credit Card Number","Numer karty kredytowej"
"Please, enter valid Credit Card Number","Wprowadź prawidłowy numer karty kredytowej"
"Expiration Date","Data ważności"
"Please, enter valid Expiration Date","Podaj prawidłową datę wygaśnięcia"
"Card Verification Number","Numer weryfikacyjny karty"
"Please, enter valid Card Verification Number","Wprowadź prawidłowy numer weryfikacyjny karty"
"Are you sure you want to delete this PayPal account","Czy na pewno chcesz usunąć to konto PayPal"
"PayPal Account","Konto PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Operacje"
"Delete","Usuń"
"Credit Card Information","Informacje karty kredytowej"
"What is this?","Co to jest?"
"Save for later use.","Zapisz do późniejszego wykorzystania."
"Place Order","Złóż zamówienie"
"This payment is not available","Ta płatność nie jest dostępna"
"MM","MM"
"YY","RR"
"Please try again with another form of payment.","Proszę spróbować ponownie z inną formę płatności."
"Sorry, but something went wrong.","Przepraszamy, coś poszło nie tak."
"Payment ","Płatność "
"Credit card type is not accepted by this merchant account.","Ten rodzaj płatności nie jest akceptowany przez tego sprzedawcę."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transakcja może być unieważniona tylko jeśli jej status jest następujący: autoryzowane, zgloszone_do_oplacenia, albo dla serwisu PayPal - oczekuje_na_platnosc."
"Credit transactions cannot be refunded.","Transakcja odroczona nie może zostać zrefundowana."
"Cannot refund a transaction unless it is settled.","Nie można zwrócić płatności za transakcję dopóki nie zostanie ona rozliczona."
"Cannot submit for settlement unless status is authorized.","Nie można przedstawić do rozliczenia dopóki nie uzyska statusu ""autoryzowana""."
"Customer does not have any credit cards.","Klient nie jest posiadaczem żadnych kart kredytowych."
"Transaction has already been completely refunded.","Transakcja została już w całości zrefundowana."
"Payment instrument type is not accepted by this merchant account.","Ten rodzaj płatności nie jest akceptowany przez tego sprzedawcę."
