"Country","Land"
"Allowed Credit Card Types","Toegestane kredietkaart types"
"Add Rule","Regel toevoegen"
"Braintree Settlement Report","Braintree schikkingsrapport"
"Sorry, but something went wrong","Er ging iets mis"
"We can't initialize checkout.","Wij kunnen de checkout niet initialiseren."
"No authorization transaction to proceed capture.","Geen autorisatietransactie om verder te gaan."
"Transaction is successful.","De transactie is geslaagd."
"Braintree error response.","Braintree foutreactie."
"Payment method nonce can't be retrieved.","Betaalmethode encryptie kan niet worden opgehaald."
"Wrong transaction status","Verkeerde transactie status"
"Authorize","Autoriseer"
"Authorize and Capture","Autoriseren en vastleggen"
"--Please Select--","--Maak een keuze--"
"Credit Card","Creditcard"
"ending","einde"
"expires","verloopt"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat je de bestelling plaatst."
"Transaction was failed.","Transactie is mislukt."
"Credit Card Type","Kredietkaart type"
"Credit Card Number","Kredietkaartnummer"
"Please, enter valid Credit Card Number","Voer geldig kredietkaartnummer in"
"Expiration Date","Vervaldatum"
"Please, enter valid Expiration Date","Voer een geldige vervaldatum in"
"Card Verification Number","Verificatienummer"
"Please, enter valid Card Verification Number","Gelieve een geldig kredietkaart verificatie nummer op te geven"
"Are you sure you want to delete this PayPal account","Weet je zeker dat je dit PayPal account wil verwijderen?"
"PayPal Account","PayPal-account"
"PayPal Logo","PayPal Logo"
"Actions","Acties"
"Delete","Verwijder"
"Credit Card Information","Kredietkaart informatie"
"What is this?","Wat is dit?"
"Save for later use.","Opslaan voor later gebruik."
"Place Order","Plaats bestelling"
"This payment is not available","Deze betaalwijze is niet beschikbaar"
"MM","mm"
"YY","jj"
"Please try again with another form of payment.","Probeer het opnieuw met een andere vorm van betaling."
"Sorry, but something went wrong.","Er ging iets mis."
"Payment ","Betaling "
"Credit card type is not accepted by this merchant account.","Type creditcard wordt niet geaccepteerd door deze verkopersrekening."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transactie kan alleen worden geannuleerd als de status authorized, submitted_for_settlement of- voor PayPal - settlement_pending is."
"Credit transactions cannot be refunded.","Credit transacties kunnen niet worden terugbetaald."
"Cannot refund a transaction unless it is settled.","Kan een transactie niet terugbetalen tenzij deze is voldaan."
"Cannot submit for settlement unless status is authorized.","Indienen voor vereffening niet mogelijk tenzij de status is geautoriseerd."
"Customer does not have any credit cards.","Klant heeft geen creditcards."
"Transaction has already been completely refunded.","Transactie is al volledig terug betaald."
"Payment instrument type is not accepted by this merchant account.","Betaling instrument type wordt niet geaccepteerd door dit merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor autorisatiecode kan niet worden ingesteld, tenzij voor stemautorisatie."
"Refund amount is too large.","Restitutiebedrag is te groot."
"Settlement amount is too large.","Het vereffeningsbedrag is te groot."
"Cannot provide a billing address unless also providing a credit card.","Er kan geen factuuradres worden opgegeven tenzij er ook een creditcard wordt opgegeven."
"Cannot refund a transaction with a suspended merchant account.","Kan een transactie met een geblokkeerd verkopersaccount niet terugbetalen."
"Merchant account does not support refunds.","Merchant account ondersteund geen refunds."
