"Country","Negara"
"Allowed Credit Card Types","Diizinkan Jenis Kartu Kredit"
"Add Rule","Tambahkan Aturan"
"Braintree Settlement Report","Laporan Penyelesaian Braintree"
"Sorry, but something went wrong","Maaf, tapi ada sesuatu yang salah"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Tidak ada transaksi otorisasi untuk melanjutkan tangkapan."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Respon kesalahan braintree."
"Payment method nonce can't be retrieved.","Metode pembayaran sekali tidak dapat diambil."
"Wrong transaction status","Status transaksi yang salah"
"Authorize","Otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"--Please Select--","--Silahkan pilih--"
"Credit Card","Kartu Kredit"
"ending","akhir"
"expires","berakhir"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Setujui semua syarat dan kondisi sebelum menempatkan pesanan."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Tipe Kartu Kredit"
"Credit Card Number","Nomor Kartu Kredit"
"Please, enter valid Credit Card Number","Silahkan, masukkan nomor Kartu Kredit yang valid"
"Expiration Date","Tanggal kadaluarsa"
"Please, enter valid Expiration Date","Silakan, masukkan Tanggal Kadaluarsa yang benar"
"Card Verification Number","Nomor Verifikasi Kartu"
"Please, enter valid Card Verification Number","Silahkan, masukkan Nomor Verifikasi Kartu yang valid"
"Are you sure you want to delete this PayPal account","Yakin ingin menghapus akun PayPal ini"
"PayPal Account","PayPal Account"
"PayPal Logo","Logo PayPal"
"Actions","Tindakan"
"Delete","Hapus"
"Credit Card Information","Informasi Kartu Kredit"
"What is this?","Apakah ini?"
"Save for later use.","Simpan untuk digunakan nanti."
"Place Order","Tempat Pesanan"
"This payment is not available","Pembayaran ini tidak tersedia"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Silakan coba lagi dengan bentuk pembayaran lain."
"Sorry, but something went wrong.","Maaf, tapi ada sesuatu yang salah."
"Payment ","Pembayaran "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
