"Country","Nazione"
"Allowed Credit Card Types","Tipi di carta di credito validi"
"Add Rule","Aggiungi regola"
"Braintree Settlement Report","Report di liquidazione di Braintree"
"Sorry, but something went wrong","Siamo spiacenti, ma qualcosa è andato storto"
"We can't initialize checkout.","Non è possibile inizializzare il checkout."
"No authorization transaction to proceed capture.","Nessuna autorizzazione di transazione per procedere alla cattura."
"Transaction is successful.","La transazione è avvenuta con successo."
"Braintree error response.","Risposta di errore di Braintree."
"Payment method nonce can't be retrieved.","Il metodo di pagamento non può essere recuperato."
"Wrong transaction status","Status di transazione errato"
"Authorize","Autorizza"
"Authorize and Capture","Autorizza e trattieni"
"--Please Select--","--Seleziona--"
"Credit Card","Carta di credito"
"ending","fine"
"expires","scadenza"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Si prega di accettare tutti i termini e le condizioni prima di effettuare l'ordine."
"Transaction was failed.","Transazione non riuscita."
"Credit Card Type","Tipo di carta di credito"
"Credit Card Number","Numero carta di credito"
"Please, enter valid Credit Card Number","Per favore inserisci un numero di carta di credito valido"
"Expiration Date","Data di scadenza"
"Please, enter valid Expiration Date","Per favore inserisci una data di scadenza valida"
"Card Verification Number","Numero di verifica della carta"
"Please, enter valid Card Verification Number","Per favore inserire un numero di verifica valido (CVN)"
"Are you sure you want to delete this PayPal account","Sei sicuro di voler cancellare questo account PayPal?"
"PayPal Account","Account PayPal"
"PayPal Logo","Logo PayPal"
"Actions","Azioni"
"Delete","Elimina"
"Credit Card Information","Informazioni carta di credito"
"What is this?","Cos'è questo?"
"Save for later use.","Salva per un uso successivo."
"Place Order","Effettua Ordine"
"This payment is not available","Questo pagamento non è disponibile"
"MM","MM"
"YY","AA"
"Please try again with another form of payment.","Si prega di riprovare con un\'altra forma di pagamento."
"Sorry, but something went wrong.","Siamo spiacenti, ma qualcosa non ha funzionato."
"Payment ","Pagamento "
"Credit card type is not accepted by this merchant account.","Questa carta di credito non è accettata dal rivenditore."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","La transazione può essere annullata solo se lo stato è authorized, submitted_for_settlement, o - per PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Le transazioni di Credito non possono essere rimborsate."
"Cannot refund a transaction unless it is settled.","Non si può rimborsare una transazione finchè non è completata."
"Cannot submit for settlement unless status is authorized.","Si può predisporre il saldo solo se lo status della transazione è autorizzato."
"Customer does not have any credit cards.","Il cliente non dispone di alcuna carta di credito."
"Transaction has already been completely refunded.","La transazione è già stata rimborsata completamente."
"Payment instrument type is not accepted by this merchant account.","Il metodo di pagamento non è accettato dall'account di questo commerciante."
"Processor authorization code cannot be set unless for a voice authorization.","Il codice di autorizzazione del sistema di gestione pagamenti può essere impostato solo per transazioni con autorizzazione vocale."
"Refund amount is too large.","L' importo del rimborso è troppo alto."
"Settlement amount is too large.","Importo della transazione è troppo grande."
"Cannot provide a billing address unless also providing a credit card.","Non si può fornire un indirizzo di fatturazione senza fornire anche una carta di credito."
"Cannot refund a transaction with a suspended merchant account.","Non è possibile effettuare il rimborso con un account venditore sospeso."
"Merchant account does not support refunds.","L'account commerciale non supporta rimborsi."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Non è possibile rimborsare una transazione in stato ""risoluzione"" su questo conto commerciale. Provare di nuovo dopo quando l'operazione è stabilita."
"PayPal is not enabled for your merchant account.","PayPal non è abilitato sul tuo conto commerciale."
"Partial settlements are not supported by this processor.","Pagamenti parziali non sono supportati da questo processore."
"Cannot submit for partial settlement.","Non può presentare un pagamento parziale."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","La transazione non può essere annullata se lo stato di un pagamento parziale PayPal è in corso."
"Too many concurrent attempts to refund this transaction. Try again later.","Troppi tentativi simultanei per rimborsare questa transazione. Riprovare più tardi."
"Too many concurrent attempts to void this transaction. Try again later.","Troppi tentativi simultanei per annullare la transazione. Riprovare più tardi."
"Braintree","Braintree"
