"Country","Χώρα"
"Allowed Credit Card Types","Επιτρεπώμενοι τύποι πιστωτικών καρτών"
"Add Rule","Προσθήκη Κανόνα"
"Braintree Settlement Report","Έκθεση διευθέτησης Braintree"
"Sorry, but something went wrong","Συγνώμη, αλλά κάτι πήγε στραβά"
"We can't initialize checkout.","Δεν μπορούμε να ξεκινήσουμε τη διαδικασία της ολοκλήρωση της παραγγελίας."
"No authorization transaction to proceed capture.","Καμία εγκεκριμένη συναλλαγή για να συνεχιστεί η σύλληψη."
"Transaction is successful.","Η συναλλαγή είναι επιτυχής."
"Braintree error response.","Aπάντηση σφάλματος Braintree."
"Payment method nonce can't be retrieved.","Η Mέθοδος πληρωμής δεν μπορεί να ανακτηθεί."
"Wrong transaction status","Λάθος κατάσταση συναλλαγών"
"Authorize","Εξουσιοδότηση"
"Authorize and Capture","Εξουσιοδότηση και Δέσμευση"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"Credit Card","Πιστωτική Κάρτα"
"ending","λήγει"
"expires","λήγει"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Παρακαλούμε να συμφωνήσετε με όλους τους όρους και τις προϋποθέσεις πριν υποβάλετε την παραγγελία."
"Transaction was failed.","Η συναλλαγή απέτυχε."
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Please, enter valid Credit Card Number","Παρακαλούμε, εισάγετε έγκυρο αριθμό πιστωτικής κάρτας"
"Expiration Date","Ημερομηνία λήξης"
"Please, enter valid Expiration Date","Παρακαλούμε, εισάγετε έγκυρη ημερομηνία λήξης"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Please, enter valid Card Verification Number","Παρακαλούμε, εισάγετε έγκυρο αριθμό επαλήθευσης κάρτας"
"Are you sure you want to delete this PayPal account","Είστε σίγουρος ότι θέλετε να διαγράψετε αυτό το PayPal λογαριασμό"
"PayPal Account","Λογαριασμός PayPal"
"PayPal Logo","Λογότυπο PayPal"
"Actions","Ενέργειες"
"Delete","Διαγραφή"
"Credit Card Information","Στοιχεία Πιστωτικής Κάρτας"
"What is this?","Τι είναι αυτό;"
"Save for later use.","Αποθήκευση για μελλοντική χρήση."
"Place Order","Υποβολή Παραγγελίας"
