"Country","Land"
"Allowed Credit Card Types","Pflichtangabe der Rechnungsadresse des Kunden"
"Add Rule","Regel hinzufügen"
"Braintree Settlement Report","Braintree Verrechnungsbericht"
"Sorry, but something went wrong","Verzeihung, aber etwas ist schiefgegangen"
"We can't initialize checkout.","Wir konnten den Bestellvorgang nicht initialisieren."
"No authorization transaction to proceed capture.","Keine Autorisierungs-Transaktion, um mit der Erfassung fortzufahren."
"Transaction is successful.","Transaktion war erfolgreich."
"Braintree error response.","Braintree Fehlerantwort."
"Payment method nonce can't be retrieved.","Zahlungsart Nonce kann nicht abgerufen werden."
"Wrong transaction status","Falscher Transaktionsstatus"
"Authorize","Autorisieren"
"Authorize and Capture","Autorisieren und Zahlungseinzug"
"--Please Select--","-- Bitte wählen --"
"Credit Card","Kreditkarte"
"ending","endet"
"expires","läuft ab"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Bitte lesen und akzeptieren Sie alle AGB, bevor Sie Ihre Bestellung aufgeben."
"Transaction was failed.","Transaktion ist fehlgeschlagen."
"Credit Card Type","Kreditkartentyp"
"Credit Card Number","Kreditkartennummer"
"Please, enter valid Credit Card Number","Bitte geben Sie eine gültige Kreditkartennummer ein"
"Expiration Date","Ablaufdatum"
"Please, enter valid Expiration Date","Bitte geben Sie ein gültiges Ablaufdatum ein"
"Card Verification Number","Kartenprüfnummer"
"Please, enter valid Card Verification Number","Bitte geben Sie eine gültige Kartenprüfnummer ein"
"Are you sure you want to delete this PayPal account","Sind Sie sicher dass Sie dieses PayPal Konto löschen möchten"
"PayPal Account","PayPal Konto"
"PayPal Logo","PayPal Logo"
"Actions","Aktionen"
"Delete","Löschen"
"Credit Card Information","Kreditkarten-Informationen"
"What is this?","Was ist das?"
"Save for later use.","Für die spätere Verwendung speichern."
"Place Order","Jetzt kaufen"
"This payment is not available","Diese Zahlung ist nicht verfügbar"
"MM","MM"
"YY","JJ"
"Please try again with another form of payment.","Bitte versuchen Sie es mit einer andere Zahlungsart erneut."
"Sorry, but something went wrong.","Entschuldigung, es ist ein Fehler aufgetreten."
"Payment ","Zahlung "
"Credit card type is not accepted by this merchant account.","Kreditkarten werden von diesem Händler-Konto nicht akzeptiert."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaktion kann nur stoniert werden, wenn der Status authorized, submitted_for_settlement oder - für PayPal - settlement_pending ist."
"Credit transactions cannot be refunded.","Gutschriften können nicht erstattet werden."
"Cannot refund a transaction unless it is settled.","Eine Transaktion kann nur erstattet werden, wenn sie verrechnet ist."
"Cannot submit for settlement unless status is authorized.","Kann nur zur Verrechnung eingereicht werden, wenn der Status autorisiert ist."
"Customer does not have any credit cards.","Der Kunde hat keine Kreditkarten."
"Transaction has already been completely refunded.","Die Transaktion wurde bereits vollständig erstattet."
"Payment instrument type is not accepted by this merchant account.","Dieser Kartentyp wird von diesem Händler-Konto nicht akzeptiert."
"Processor authorization code cannot be set unless for a voice authorization.","Transaktionsprozessor-Autorisierungscode kann nicht gesetzt werden, es sei denn, für eine Sprachautorisierung."
"Refund amount is too large.","Der zu erstattende Betrag ist zu groß."
"Settlement amount is too large.","Der Betrag der Abrechnung ist zu groß."
"Cannot provide a billing address unless also providing a credit card.","Eine Rechnungsadresse kann nur gemeinsam mit einer Kreditkarte angegeben werden."
"Cannot refund a transaction with a suspended merchant account.","Eine Transaktion mit einem gesperrten Händlerkonto kann nicht erstattet werden."
"Merchant account does not support refunds.","Händler-Konto unterstützt keine Rückerstattungen."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Eine Transaktion kann nicht in der Abwicklung des Status auf diesem Händlerkonto erstattet werden. Versuchen Sie es erneut, nachdem die Transaktion abgeschlossen ist."
"PayPal is not enabled for your merchant account.","PayPal ist für Ihr Händlerkonto nicht aktiviert."
