"Country","Quốc gia"
"Allowed Credit Card Types","Các loại thẻ tín dụng được cho phép"
"Add Rule","Thêm quy tắc"
"Braintree Settlement Report","Braintree Settlement Report"
"Sorry, but something went wrong","Xin lỗi, nhưng có gì đó đã đi sai"
"We can't initialize checkout.","Chúng tôi không thể khởi tạo thanh toán."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Braintree error response."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Wrong transaction status"
"Authorize","Ủy quyền"
"Authorize and Capture","Ủy quyền và chấp nhận giao dịch"
"--Please Select--","--Vui lòng chọn--"
"Credit Card","Credit Card ( Thẻ tín dụng )"
"ending","kết thúc"
"expires","hết hạn"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Xin vui lòng đồng ý với tất cả các điều khoản và điều kiện trước khi đặt các đơn đặt hàng."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Loại thẻ tín dụng"
"Credit Card Number","Số thẻ tín dụng"
"Please, enter valid Credit Card Number","Please, enter valid Credit Card Number"
"Expiration Date","Ngày hết hạn"
"Please, enter valid Expiration Date","Please, enter valid Expiration Date"
"Card Verification Number","Số xác minh thẻ"
"Please, enter valid Card Verification Number","Please, enter valid Card Verification Number"
"Are you sure you want to delete this PayPal account","Bạn có chắc chắn muốn xóa tài khoản Paypal"
"PayPal Account","Tài khoản PayPal"
"PayPal Logo","PayPal Logo"
"Actions","Thao tác"
"Delete","Xóa bỏ"
"Credit Card Information","Thông tin thẻ tín dụng"
"What is this?","Đây là gì?"
"Save for later use.","Save for later use."
"Place Order","Đặt hàng"
"This payment is not available","This payment is not available"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Please try again with another form of payment."
"Sorry, but something went wrong.","Sorry, but something went wrong."
"Payment ","Thanh toán "
"Credit card type is not accepted by this merchant account.","Loại thẻ tín dụng không được chấp nhận bởi các tài khoản thương gia này."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Không thể hoàn trả lại một giao dịch trừ khi nó được giải quyết."
"Cannot submit for settlement unless status is authorized.","Không thể gửi để giải quyết, trừ khi tình trạng được ủy quyền."
"Customer does not have any credit cards.","Khách hàng không có thẻ tín dụng."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Bộ vi xử lý mã uỷ quyền không thể đặt trừ khi cho phép giọng nói ủy quyền."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Không thể cung cấp một địa chỉ thanh toán trừ khi cũng cung cấp một thẻ tín dụng."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Cổng Thanh Toán Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Chấp nhận thẻ tín dụng/ghi nợ và PayPal ở cửa hàng Magento của bạn.<br/>không có lệ phí thiết lập hoặc hàng tháng và khách hàng tự hoàn tất việc mua hàng."
"Enable this Solution","Kích hoạt giải pháp này"
"Enable PayPal through Braintree","Bật Cổng Thanh Toán PayPal qua Braintree"
"Vault Enabled","Vault đã được bật"
"Basic Braintree Settings","Cấu Hình Braintree Cơ Bản"
"Title","Tiêu đề"
"Environment","Môi Trường"
"Payment Action","Hành động thanh toán"
"Merchant ID","Mã Nhận Diện Người Bán"
"Public Key","Mã Khóa Công Khai"
"Private Key","Mã Khóa Cá Nhân"
"Advanced Braintree Settings","Cấu Hình Braintree Nâng Cao"
"Vault Title","Tiêu đề Vault"
"Merchant Account ID","Mã Nhận Diện Tài Khoản Người Bán"
"Advanced Fraud Protection","Chống Gian Lận Nâng Cao"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Sửa Lỗi"
"CVV Verification","Yêu Cầu Xác Nhận Mã Bảo Mật CVV"
"Credit Card Types","Các Loại Thẻ Tín Dụng"
"Sort Order","Thứ tự sắp xếp"
"Country Specific Settings","Cấu Hình Quốc Gia Cụ Thể"
"Payment from Applicable Countries","Thanh Toán từ Các Nước Được Áp Dụng"
"Payment from Specific Countries","Thanh Toán từ Các Nước Cụ Thể"
"Country Specific Credit Card Types","Các Loại Thẻ Tín Dụng theo Quốc Gia"
"PayPal through Braintree","Dùng PayPal qua Braintree"
"Override Merchant Name","Ghi Đè Tên Người Bán"
"Require Customer's Billing Address","Yêu cầu địa chỉ thanh toán của khách hàng"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Cho Phép Thay Đổi Địa Chỉ Giao Hàng Đã Nhập Khi Đang Thanh Toán trên cCổng PayPal"
"Display on Shopping Cart","Hiển thị trên Giỏ hàng"
"Skip Order Review","Bỏ qua xem lại đơn đặt hàng"
"3D Secure Verification Settings","Cấu Hình Xác Nhận Cổng Thanh Toán 3D Secure"
"3D Secure Verification","Xác Nhận Cổng Thanh Toán 3D Secure"
"Threshold Amount","Threshold Amount"
"Verify for Applicable Countries","Verify for Applicable Countries"
"Verify for Specific Countries","Verify for Specific Countries"
"Dynamic Descriptors","Mô tả động"
"Name","Tên"
"Phone","Điện thoại"
"URL","URL"
"CVV is required.","CVV là bắt buộc."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Ngày hết hạn là bắt buộc."
"Expiration date is invalid.","Ngày hết hạn là không hợp lệ."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Tháng hết hạn là không hợp lệ."
"Expiration year is invalid.","Năm hết hạn là không hợp lệ."
"Credit card number is required.","Số thẻ tín dụng là cần thiết."
"Credit card number is invalid.","Số thẻ tín dụng không hợp lệ."
