"Country","Quốc gia"
"Credit card number must be 12-19 digits.","Số thẻ tín dụng phải có 12-19 chữ số."
"Cardholder name is too long.","Tên chủ thẻ là quá dài."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Tên công ty quá dài."
"Extended address is too long.","Mở rộng địa chỉ là quá dài."
"First name is too long.","Tên là quá dài."
"Last name is too long.","Họ là quá dài."
"Locality is too long.","Địa phương là quá dài."
"Postal code is required.","Mã số bưu chính là bắt buộc."
"Postal code may contain no more than 9 letter or number characters.","Mã bưu chính có thể chứa không quá 9 chữ cái hoặc ký tự."
"Region is too long.","Khu vực này là quá dài."
"Street address is required.","Địa chỉ đường phố là bắt buộc."
"Street address is too long.","Địa chỉ đường phố là quá dài."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Mã số bưu chính chỉ có thể chứa chữ cái, số, dấu cách và dấu gạch ngang."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Tên quốc gia không phải là một quốc gia được chấp nhận."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","Lựa chọn..."
"Status","Trạng thái"
"Transaction Type","Loại giao dịch"
"Payment Type","Hình thức thanh toán"
"PayPal Payment ID","PayPal Payment ID"
"Created At","Đã tạo vào"
"Transaction ID","ID giao dịch"
"Order ID","ID đặt hàng"
"Type","Loại"
"Amount","Số lượng"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","Ngoại tệ"
"Month","Tháng"
"Year","Năm"
"Stored Card","Lưu chữ thẻ"
"Credit card successfully added","Đã thêm thẻ tín dụng thành công."
"Something went wrong while saving the card.","Có lỗi xảy ra khi xử lý lưu thông tin thẻ."
"Credit card does not exist","Thẻ tín dụng không tồn tại"
"Delete Credit Card","Xóa thẻ tín dụng"
"There was error deleting the credit card","Đã có lỗi xảy ra khi thực hiện xóa thẻ tín dụng"
"Credit card successfully deleted","Xóa thẻ thành công"
"Edit Credit Card","Thay đổi thông tin thẻ tín dụng"
"My Credit Cards","Thẻ tín dụng của tôi"
"New Credit Card","Thẻ tín dụng mới"
"There was error during saving card data","Đã có lỗi trong quá trình lưu dữ liệu thẻ"
"We can't place the order.","Chúng tôi không thể đặt thứ tự."
"Incorrect payment method.","Phương thức thanh toán không chính xác."
"We can't initialize checkout review.","Chúng tôi không thể khởi tạo kiểm tra đánh giá."
"We can't update shipping method.","Chúng tôi không thể cập nhật các phương pháp vận chuyển."
"The processor declined your transaction, please re-enter your payment information","Phiên giao dịch của bạn bị quá thời gian, vui lòng nhập lại thông tin thanh toán"
"Transaction declined by gateway: Check card details or try another card","Giao dịch bị từ chối bởi gateway: hãy kiểm tra lại chi tiết thẻ hoặc thử thẻ khác"
"Transaction declined: ","Giao dịch bị từ chối: "
".","."
"The processor responded with an unknown error","Đã xảy ra lỗi không xác định"
"Credit card type is not allowed for your country.","Loại thẻ tín dụng này không được phép sử dụng ở quốc gia của bạn."
"Credit card type is not allowed for this payment method.","Loại thẻ tín dụng này không sử dụng được trong phương thức thanh toán này."
"Selected payment type is not allowed for billing country.","Hình thức thanh toán này không sử dụng được trong quốc gia thanh toán."
"Incomplete payment information.","Thông tin thanh toán chưa đầy đủ."
"Please try again later","Xin vui lòng thử lại sau"
"Can not find original authorization transaction for partial capture","Không thể tìm thấy của giao dịch ủy quyền ban đầu cho phần này"
"There was an error capturing the transaction: %1.","Đã có lỗi trong khi ghi lại các giao dịch: %1."
"This refund is for a partial amount but the Transaction has not settled.","Phần hoàn trả này là dành cho một số thanh toán, nhưng các giao dịch không được giải quyết."
"Please wait 24 hours before trying to issue a partial refund.","Xin vui lòng chờ 24 giờ trước khi cố gắng để thực hiện hoàn trả lại một phần."
"There was an error refunding the transaction: %1.","Đã có lỗi dịch giao dịch: %1."
"Some transactions are already settled or voided and cannot be voided.","Một số giao dịch đã được thực hiện hoặc đã bị hủy nên không thể hủy bỏ được."
"Voided capture.","Ghi lại phiếu khai khống."
"There was an error voiding the transaction: %1.","Đã có lỗi trong giao dịch: %1."
"Invoice","Hóa đơn bán lẻ"
"Shipment","Lô hàng"
"Invalid Customer ID provided","ID khách hàng không hợp lệ"
"some error","có lỗi xảy ra"
"a,b,c","a, b, c"
"Something went wrong while processing.","Có thể có thông tin bị sai khi xử lý."
"error","Lỗi"
"exception","ngoại lệ"
"Payment Information","Thông tin thanh toán"
"Add new card","Thêm thẻ mới"
"Please Select","Vui lòng chọn"
"Save this card for future use","Lưu thẻ để sử dụng sau này"
"or","hoặc"
"Please confirm that you want to delete this credit card","Bạn có chắc chắn muốn xóa thẻ tín dụng này"
"Cardholder Name","Tên chủ thẻ"
"Back","Trở lại"
"* Required Fields","* Bắt buộc"
"CVV","CVV"
"Card Verification Number Visual Reference","Hình ảnh xác minh số thẻ"
"Make Default","Tạo mặc định"
"Billing Address","Địa chỉ thanh toán"
"First Name","Tên"
"Last Name","Họ"
"Company","Công ty"
"Address","Địa chỉ"
"City","Thành phố"
"State/Province","Bang/tỉnh"
"Please select region, state or province","Vui lòng chọn khu vực"
"Zip/Postal Code","Mã bưu chính"
"Submit","Gửi"
"Add Credit Card","Thêm thẻ tín dụng"
"Card Number","Số thẻ"
"Is Default","Mặc định Is"
"Yes","Có"
"No","Không"
"Edit","Chỉnh sửa"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Nắm bắt hành động"
"New Order Status","Trạng thái đơn hàng mới"
"Use Vault","Sử dụng bảo mật"
"Allow Duplicate Cards","Cho phép bản sao thẻ"
"Enable Credit Card auto-detection on Storefront","Phép thẻ tín dụng tự động phát hiện trên Storefront"
"Your Kount ID","ID Kount của bạn"
"Use Cache","Sử dụng bộ nhớ đệm"
"Edit My Credit Cards","Chỉnh sửa thẻ tín dụng của tôi"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Hãy chắc chắn kích hoạt bảo vệ gian lận nâng cao trong tài khoản Braintree ở mục cài đặt/xử lý"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Được sử dụng để gian lận trực tiếp công cụ tích hợp. Đảm bảo rằng bạn cũng liên hệ với <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> để thiết lập tài khoản Kount của bạn."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","Giá trị này được khuyến khích để đặt vào ""PayPal"" để xem một cửa hàng."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Tính năng này cần được kích hoạt lần đầu tiên cho tài khoản thương gia thông qua PayPal hỗ trợ kỹ thuật."
"Also affects mini-shopping cart.","Cũng ảnh hưởng đến giỏ hàng mua sắm mini."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","Paypal account"
"Coinbase account","Coinbase account"
"Europe bank account","Europe bank account"
"Credit card","Credit card"
"Apple pay card","Apple pay card"
"Android pay card","Android pay card"
"Authorization expired","Authorization expired"
"Authorizing","Authorizing"
"Authorized","Ủy quyền"
"Gateway rejected","Gateway rejected"
"Failed","Thất bại"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","Voided"
"Unrecognized","Unrecognized"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","Bán"
"Credit","Tín dụng"
"Vault enabled","Vault enabled"
