"Country","Land"
"Allowed Credit Card Types","Tillatte kredittkorttyper"
"Add Rule","Legg til regel"
"Braintree Settlement Report","Braintree Omsetningsrapport"
"Sorry, but something went wrong","Beklager, men noe gikk galt"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Ingen autorisasjonstransaksjon for å fortsette capture."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Braintree feilmeldingssvar."
"Payment method nonce can't be retrieved.","Betalingsmetode nonce kan ikke hentes."
"Wrong transaction status","Feil transaksjonsstatus"
"Authorize","Autoriser"
"Authorize and Capture","Godkjenn og fang"
"--Please Select--","-Vennligst velg--"
"Credit Card","Credit Card"
"ending","slutter"
"expires","utløper"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Vennligst godta alle vilkår og betingelser før bestilling."
"Transaction was failed.","Transaksjonen feilet."
"Credit Card Type","Kredittkorttype"
"Credit Card Number","Kredittkortnummer"
"Please, enter valid Credit Card Number","Skriv inn gyldig kredittkortnummer"
"Expiration Date","Utløpsdato"
"Please, enter valid Expiration Date","Skriv inn gyldig utløpsdato"
"Card Verification Number","Kort verifikasjonsnummer"
"Please, enter valid Card Verification Number","Skriv inn gyldig kort verifikasjonsnummer"
"Are you sure you want to delete this PayPal account","Er du sikker på at du vil slette denne PayPal kontoen"
"PayPal Account","PayPal-konto"
"PayPal Logo","PayPal-Logo"
"Actions","Handlinger"
"Delete","Slett"
"Credit Card Information","Kredittkortinformasjon"
"What is this?","Hva er dette?"
"Save for later use.","Lagre for senere bruk."
"Place Order","Bestill"
"This payment is not available","Denne betalingen er ikke tilgjengelig"
"MM","MM"
"YY","ÅÅ"
"Please try again with another form of payment.","Vennligst prøv på nytt med en annen betalingsmåte."
"Sorry, but something went wrong.","Beklager, men noe gikk galt."
"Payment ","Betaling "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaksjon kan bare bli ugyldig dersom status er autorisert, submitted_for_settlement, eller - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Kredittransaksjoner kan ikke refunderes."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaksjonen har allerede blitt refundert."
"Payment instrument type is not accepted by this merchant account.","Betalingsinstrumenttypen aksepteres ikke av denne selgerkontoen."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Tilbakebetalingssummen er for stor."
"Settlement amount is too large.","Forliksbeløpet er for stort."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Kan ikke refundere en transaksjon med en suspendert forhandlerkonto."
"Merchant account does not support refunds.","Forhandlerkonto støtter ikke refusjon."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Kan ikke refundere en transaksjonstransaksjon i oppgjørsstatus på denne selgerkontoen. Prøv igjen etter at transaksjonen er avgjort."
"PayPal is not enabled for your merchant account.","PayPal er ikke aktivert for din forhandlerkonto."
"Partial settlements are not supported by this processor.","Delvis oppgjør støttes ikke av denne prosessoren."
"Cannot submit for partial settlement.","Kan ikke sende inn for delvis oppgjør."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","For mange parallelle forsøk på å refundere denne transaksjonen. Prøv igjen senere."
