"Country","ದೇಶ"
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","ಮೊದಲ ಹೆಸರು ತುಂಬಾ ಉದ್ದವಿದೆ."
"Last name is too long.","ಕೊನೆಯ ಹೆಸರು ತುಂಬಾ ಉದ್ದವಿದೆ."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","ಅಪೂರ್ಣವಾದ ಪೇಪಾಲ್ ಖಾತೆಯ ವಿವರ."
"Invalid PayPal account information.","ಅಸಿಂಧುವಾದ ಪೇಪಾಲ್ ಖಾತೆಯ ವಿವರ."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","ಆರಿಸಿ..."
"Status","ಸ್ಥಿತಿ"
"Transaction Type","ವಹಿವಾಟಿನ ವಿಧ"
"Payment Type","ಪಾವತಿ ವಿಧ"
"PayPal Payment ID","ಪೇಪಾಲ್ ಪಾವತಿ ಐಡಿ"
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Transaction ID","ವಹಿವಾಟಿನ ID"
"Order ID","ವ್ಯಾಪಾರಾದೇಶ ID"
"Type","ವಿಧ"
"Amount","ಮೊತ್ತ"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","ಮರುಪಾವತಿ ಐಡಿಗಳು"
"Settlement Batch ID","Settlement Batch ID"
"Currency","ಕರೆನ್ಸಿ"
"Month","ತಿಂಗಳು"
"Year","ವರ್ಷ"
"Stored Card","ಉಳಿಸಿದ ಕಾರ್ಡ್"
"Credit card successfully added","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸೇರಿಸಲಾಗಿದೆ"
"Something went wrong while saving the card.","ಕಾರ್ಡ್ ಅನ್ನು ಉಳಿಸುವಲ್ಲಿ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Credit card does not exist","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ"
"Delete Credit Card","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಅಳಿಸಿ"
"There was error deleting the credit card","There was error deleting the credit card"
"Credit card successfully deleted","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅಳಿಸಲಾಗಿದೆ"
"Edit Credit Card","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಪಾದಿಸಿ"
"My Credit Cards","ನನ್ನ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ಗಳು"
"New Credit Card","ಹೊಸ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್"
"There was error during saving card data","There was error during saving card data"
"We can't place the order.","We can't place the order."
"Incorrect payment method.","Incorrect payment method."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","We can't update shipping method."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","ವಹಿವಾಟನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","ಅಪೂರ್ಣವಾದ ಪಾವತಿಯ ವಿವರ."
"Please try again later","ದಯವಿಟ್ಟು ಇನ್ನೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Invoice"
"Shipment","ರವಾನೆ"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","ಒಂದು ದೋಷ"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","ದೋಷ"
"exception","ವಿನಾಯಿತಿ"
"Payment Information","ಪಾವತಿ ಮಾಹಿತಿ"
"Add new card","ಹೊಸ ಕಾರ್ಡ್ ಸೇರಿಸಿ"
"Please Select","ದಯವಿಟ್ಟು ಆರಿಸಿ"
"Save this card for future use","ಮುಂದಿನ ದಿನಗಳ ಬಳಕೆಗೆಗಾಗಿ ಈ ಕಾರ್ಡ್ ಅನ್ನು ಉಳಿಸಿ"
"or","ಅಥವಾ"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","ಕಾರ್ಡುದಾರನ ಹೆಸರು"
"Back","ಹಿಂದೆ"
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Company","ಸಂಸ್ಠೆ"
"Address","ವಿಳಾಸ"
"City","ನಗರ"
"State/Province","ರಾಜ್ಯ"
"Please select region, state or province","Please select region, state or province"
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"Submit","ಸಲ್ಲಿಸಿ"
"Add Credit Card","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸೇರಿಸಿ"
"Card Number","ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Is Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Edit","ಸಂಪಾದಿಸಿ"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","ನನ್ನ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಪಾದಿಸಿ"
"Pay with PayPal","ಪೇ ಪಾಲ್ ಮೂಲಕ ಪಾವತಿಸಿ"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","ಪೇಪಾಲ್ ಖಾತೆ"
"Coinbase account","Coinbase account"
"Europe bank account","Europe bank account"
"Credit card","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್"
"Apple pay card","ಆಪಲ್ ಪಾವತಿ ಕಾರ್ಡ್"
"Android pay card","ಆಂಡ್ರಾಯಿಡ್ ಪಾವತಿ ಕಾರ್ಡ್"
"Authorization expired","Authorization expired"
"Authorizing","ದೃಢೀಕರಿಸಲಾಗುತ್ತಿದೆ"
"Authorized","ದೃಢೀಕರಿಸಿದೆ"
"Gateway rejected","Gateway rejected"
"Failed","ವಿಫಲಗೊಂಡಿದೆ"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","Voided"
"Unrecognized","Unrecognized"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","ವ್ಯಾಪಾರ"
"Credit","ಜಮಾ"
"Vault enabled","Vault enabled"
