"Country","Država"
"Allowed Credit Card Types","Dozvoljene vrste kreditnih kartica"
"Add Rule","Dodati pravilo"
"Braintree Settlement Report","Podešavanje izveštaja Braintree"
"Sorry, but something went wrong","Izvinite, došlo je do greške"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Nema autorizovane transakcije za nastavak prihvatanja."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Odgovor greška Braintree."
"Payment method nonce can't be retrieved.","Trenutni način plaćanja nije moguće preuzeti."
"Wrong transaction status","Nepoznat status transakcije"
"Authorize","Odobriti"
"Authorize and Capture","Odobriti i prihvatiti"
"--Please Select--","--- Molimo odaberite ---"
"Credit Card","Credit Card"
"ending","krajnji"
"expires","ističe"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Molimo pristanite na sva pravila i uslove pre narudžbine."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Vrsta kreditne kartice"
"Credit Card Number","Broj kreditne kartice"
"Please, enter valid Credit Card Number","Molimo unesite važeći broj kreditne kartice"
"Expiration Date","Datum isteka"
"Please, enter valid Expiration Date","Molimo unesite važeći datum isteka"
"Card Verification Number","Verifikacioni broj kartice"
"Please, enter valid Card Verification Number","Molimo unesite važeći broj za verifikaciju kreditne kartice"
"Are you sure you want to delete this PayPal account","Da li ste sigurni da želite da obrišete ovaj PayPal nalog"
"PayPal Account","PayPal nalog"
"PayPal Logo","PayPal Logo"
"Actions","Radnje"
"Delete","Obrisati"
"Credit Card Information","Informacije o kreditnoj kartici"
"What is this?","Šta je ovo?"
"Save for later use.","Sačuvati za kasniju upotrebu."
"Place Order","Postavite porudžbinu"
"This payment is not available","Ovo plaćanje nije raspoloživo"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Pokušajte ponovo sa drugim oblikom plaćanja."
"Sorry, but something went wrong.","Izvinite, došlo je do greške."
"Payment ","Plaćanje "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Prihvatite kreditne/debitne kartice i PayPal u prodavnici Magento.<br/>Nema naknade za instalaciju ili mesečnih troškova i vaši kupci nikada neće napustiti vašu prodavnicu da bi dovršili kupovinu."
"Enable this Solution","Omogućiti ovo rešenje"
"Enable PayPal through Braintree","Omogući PayPal kroz Braintree"
"Vault Enabled","Trezor omogućen"
"Basic Braintree Settings","Osnovne postavke Braintree"
"Title","Naslov"
"Environment","Okruženje"
"Payment Action","Akcija plaćanja"
"Merchant ID","ID trgovca"
"Public Key","Javni ključ"
"Private Key","Privatni ključ"
"Advanced Braintree Settings","Napredno podešavanje Braintree"
"Vault Title","Naziv trezora"
"Merchant Account ID","ID trgovačkog naloga"
"Advanced Fraud Protection","Napredna zaštita od prevare"
"Kount Merchant ID","Trgovački ID broj"
"Debug","Otklanjanje grešaka"
"CVV Verification","CVV verifikacija"
"Credit Card Types","Vrsta kreditne kartice"
"Sort Order","Redosled porudžbina"
"Country Specific Settings","Specifične postavke zemlje"
"Payment from Applicable Countries","Plaćanja iz privaćenih zemalja"
"Payment from Specific Countries","Plaćanja iz određenih zemalja"
"Country Specific Credit Card Types","Tipovi kreditne kartice određene zemlje"
"PayPal through Braintree","Omogući PayPal kroz Braintree"
"Override Merchant Name","Preskoći ime trgovca"
"Require Customer's Billing Address","Zahtevaj adresu kupca za račun"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Dozvoli uređivanje adrese za isporuku tokom plaćanje na stranici PayPal-a"
"Display on Shopping Cart","Prikaži u korpi sa kupljenim artiklima"
"Skip Order Review","Preskoći pregled porudžbine"
"3D Secure Verification Settings","3D podešavanje sigurnosti provere"
"3D Secure Verification","3D sigurnosna provera"
"Threshold Amount","Prag računa"
"Verify for Applicable Countries","Proveriti da li je primenljivo za države"
"Verify for Specific Countries","Proveri za određene države"
"Dynamic Descriptors","Dinamički opisi"
"Name","Ime"
"Phone","Telefon"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Street address is too long."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Primenite filtere da biste dobili rezultate. Samo prvih 100 zapisa će biti prikazano u tabeli, a vama će biti omogućeno da preuzmete pun izveštaj u .csv formatu."
"Select...","Izabrati..."
"Status","Status"
"Transaction Type","Vrsta transakcije"
"Payment Type","Vrsta plaćanja"
"PayPal Payment ID","ID PayPal plaćanja"
"Created At","Kreirano"
"Transaction ID","ID тransakcije"
"Order ID","ID porudžbine"
"Type","Tip"
"Amount","Iznos"
"Settlement Code","Šifra grada"
"Settlement Response Text","Tekst za sudsko poravnanje"
"Refund Ids","Id-ovi za povrat novca"
"Settlement Batch ID","ID podmetnutog poravnanja"
"Currency","Valuta"
"Month","Mesec"
"Year","Godina"
"Stored Card","Stored Card"
"Credit card successfully added","Credit card successfully added"
"Something went wrong while saving the card.","Something went wrong while saving the card."
"Credit card does not exist","Credit card does not exist"
"Delete Credit Card","Delete Credit Card"
"There was error deleting the credit card","There was error deleting the credit card"
"Credit card successfully deleted","Credit card successfully deleted"
"Edit Credit Card","Edit Credit Card"
"My Credit Cards","My Credit Cards"
"New Credit Card","New Credit Card"
"There was error during saving card data","There was error during saving card data"
"We can't place the order.","We can't place the order."
"Incorrect payment method.","Incorrect payment method."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","We can't update shipping method."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaction declined: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","Incomplete payment information."
"Please try again later","Please try again later"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","Invoice"
"Shipment","Shipment"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","some error"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","error"
"exception","exception"
"Payment Information","Payment Information"
"Add new card","Add new card"
"Please Select","Molim odaberite"
"Save this card for future use","Save this card for future use"
"or","or"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Back","Nazad"
"* Required Fields","* Obavezna polja"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","Billing Address"
"First Name","Ime"
"Last Name","Prezime"
"Company","Company"
"Address","Address"
"City","Grad"
"State/Province","State/Province"
"Please select region, state or province","Please select region, state or province"
"Zip/Postal Code","Zip/Postal Code"
"Submit","Pošalji"
"Add Credit Card","Add Credit Card"
"Card Number","Card Number"
"Is Default","Je podrazumevano"
"Yes","Da"
"No","Ne"
"Edit","Izmeni"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","Novi status porudžbine"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","Edit My Credit Cards"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","PayPal nalog"
"Coinbase account","Coinbase račun"
"Europe bank account","Račun u banci u Evropi"
"Credit card","Kreditna kartica"
"Apple pay card","Apple platna kartica"
"Android pay card","Android platna kartica"
"Authorization expired","Odorenje je isteklo"
"Authorizing","Odobravanje"
"Authorized","Odobren"
"Gateway rejected","Prolaz je odbacio"
"Failed","Nije uspelo"
"Processor declined","Obrada je odbila"
"Settled","Dogovoreno"
"Settling","Rešavanja"
"Submitted for settlement","Prijavljen za dogovor"
"Voided","Poništen"
"Unrecognized","Nije prepoznat"
"Settlement declined","Dogovor odbijen"
"Settlement pending","Dogovor na čekanju"
"Settlement confirmed","Dogovor potvrđen"
"Sale","Prodaja"
"Credit","Kredit"
"Vault enabled","Vault enabled"
