"Country","국가"
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","회사 이름이 너무 깁니다."
"Extended address is too long.","Extended address is too long."
"First name is too long.","이름이 너무 깁니다."
"Last name is too long.","성(이름)이 너무 깁니다."
"Locality is too long.","Locality is too long."
"Postal code is required.","Postal code is required."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","주소는 필수 입력하셔야 합니다."
"Street address is too long.","주소가 너무 깁니다."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal authentication expired."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format."
"Select...","선택..."
"Status","상태"
"Transaction Type","트랜잭션 타입"
"Payment Type","결제 타입"
"PayPal Payment ID","페이팔 결제 ID"
"Created At","Created At"
"Transaction ID","트랜잭션 ID"
"Order ID","주문 ID"
"Type","타입"
"Amount","금액"
"Settlement Code","Settlement Code"
"Settlement Response Text","Settlement Response Text"
"Refund Ids","Refund Ids"
"Settlement Batch ID","Settlement Batch ID"
"Currency","통화"
"Month","월"
"Year","연도"
"Stored Card","저장된 카드"
"Credit card successfully added","신용 카드를 성공적으로 등록하였습니다."
"Something went wrong while saving the card.","카드를 저장하는 동안 오류가 발생했습니다."
"Credit card does not exist","Credit card does not exist"
"Delete Credit Card","신용 카드 삭제"
"There was error deleting the credit card","신용 카드를 삭제 하는 오류가 발생 했습니다."
"Credit card successfully deleted","신용 카드를 성공적으로 제거하였습니다."
"Edit Credit Card","신용 카드 편집"
"My Credit Cards","내 신용카드"
"New Credit Card","새 신용카드"
"There was error during saving card data","There was error during saving card data"
"We can't place the order.","주문을 진행할 수 없습니다."
"Incorrect payment method.","Incorrect payment method."
"We can't initialize checkout review.","We can't initialize checkout review."
"We can't update shipping method.","We can't update shipping method."
"The processor declined your transaction, please re-enter your payment information","The processor declined your transaction, please re-enter your payment information"
"Transaction declined by gateway: Check card details or try another card","Transaction declined by gateway: Check card details or try another card"
"Transaction declined: ","Transaction declined: "
".","."
"The processor responded with an unknown error","The processor responded with an unknown error"
"Credit card type is not allowed for your country.","Credit card type is not allowed for your country."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Incomplete payment information.","Incomplete payment information."
"Please try again later","Please try again later"
"Can not find original authorization transaction for partial capture","Can not find original authorization transaction for partial capture"
"There was an error capturing the transaction: %1.","There was an error capturing the transaction: %1."
"This refund is for a partial amount but the Transaction has not settled.","This refund is for a partial amount but the Transaction has not settled."
"Please wait 24 hours before trying to issue a partial refund.","Please wait 24 hours before trying to issue a partial refund."
"There was an error refunding the transaction: %1.","There was an error refunding the transaction: %1."
"Some transactions are already settled or voided and cannot be voided.","Some transactions are already settled or voided and cannot be voided."
"Voided capture.","Voided capture."
"There was an error voiding the transaction: %1.","There was an error voiding the transaction: %1."
"Invoice","청구서"
"Shipment","Shipment"
"Invalid Customer ID provided","Invalid Customer ID provided"
"some error","some error"
"a,b,c","a,b,c"
"Something went wrong while processing.","Something went wrong while processing."
"error","error"
"exception","exception"
"Payment Information","결제 정보"
"Add new card","Add new card"
"Please Select","선택하세요"
"Save this card for future use","Save this card for future use"
"or","or"
"Please confirm that you want to delete this credit card","Please confirm that you want to delete this credit card"
"Cardholder Name","Cardholder Name"
"Back","이전"
"* Required Fields","* 필수 항목"
"CVV","CVV"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Make Default","Make Default"
"Billing Address","청구 주소"
"First Name","이름"
"Last Name","성"
"Company","회사"
"Address","주소 "
"City","시/군 "
"State/Province","시/도"
"Please select region, state or province","지역을 선택하세요."
"Zip/Postal Code","우편번호"
"Submit","전송"
"Add Credit Card","Add Credit Card"
"Card Number","카드 번호"
"Is Default","Is Default"
"Yes","네"
"No","아니오"
"Edit","수정"
"An error occured with payment processing.","An error occured with payment processing."
"Can not initialize PayPal (Braintree)","Can not initialize PayPal (Braintree)"
"&nbsp;","&nbsp;"
"Capture action","Capture action"
"New Order Status","새 주문 진행상태"
"Use Vault","Use Vault"
"Allow Duplicate Cards","Allow Duplicate Cards"
"Enable Credit Card auto-detection on Storefront","Enable Credit Card auto-detection on Storefront"
"Your Kount ID","Your Kount ID"
"Use Cache","Use Cache"
"Edit My Credit Cards","신용 카드 편집"
"Pay with PayPal","Pay with PayPal"
"Transaction is cancelled offline.","Transaction is cancelled offline."
"Braintree Settlement","Braintree Settlement"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter."
"The Payment Token is not available to perform the request.","The Payment Token is not available to perform the request."
"Checkout failed to initialize. Verify and try again.","Checkout failed to initialize. Verify and try again."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Paypal account","페이팔 계정"
"Coinbase account","코인베이스 어카운트"
"Europe bank account","유럽은행 계정"
"Credit card","신용카드"
"Apple pay card","애플페이 카드"
"Android pay card","안드로이드 페이 카드"
"Authorization expired","인증이 만료됨"
"Authorizing","인증중"
"Authorized","인증됨"
"Gateway rejected","Gateway rejected"
"Failed","Failed"
"Processor declined","Processor declined"
"Settled","Settled"
"Settling","Settling"
"Submitted for settlement","Submitted for settlement"
"Voided","무효화됨"
"Unrecognized","인식안됨"
"Settlement declined","Settlement declined"
"Settlement pending","Settlement pending"
"Settlement confirmed","Settlement confirmed"
"Sale","Sale"
"Credit","Credit"
"Vault enabled","Vault enabled"
