"Country","Země"
"Allowed Credit Card Types","Povolené typy platebních karet"
"Add Rule","Přidat pravidlo"
"Braintree Settlement Report","Zpráva o vyrovnávání mozků"
"Sorry, but something went wrong","Omlouváme se, ale něco se pokazilo"
"We can't initialize checkout.","Pokladnu nelze inicializovat."
"No authorization transaction to proceed capture.","Žádná transakce autorizace pro pokračování."
"Transaction is successful.","Transakce je úspěšná."
"Braintree error response.","Braintree error response."
"Payment method nonce can't be retrieved.","Způsob platby nelze provést."
"Wrong transaction status","Neplatný stav transakce"
"Authorize","Schválit"
"Authorize and Capture","Schválit a získat"
"--Please Select--","– Vyberte –"
"Credit Card","Platební karta"
"ending","končící"
"expires","platnost do"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Před objednáním musíte souhlasit s obchodními podmínkami."
"Transaction was failed.","Transakce se nezdařila."
"Credit Card Type","Typ platební karty"
"Credit Card Number","Číslo platební karty"
"Please, enter valid Credit Card Number","Zadejte platné číslo platební karty"
"Expiration Date","Datum expirace"
"Please, enter valid Expiration Date","Zadejte platné datum expirace"
"Card Verification Number","Ověřovací číslo karty"
"Please, enter valid Card Verification Number","Zadejte prosím platné ověřovací číslo platební karty"
"Are you sure you want to delete this PayPal account","Jste si jisti, že chcete odstranit tento účet?"
"PayPal Account","PayPal účet"
"PayPal Logo","PayPal logo"
"Actions","Akce"
"Delete","Smazat"
"Credit Card Information","Údaje platební karty"
"What is this?","Co to je?"
"Save for later use.","Uložit pro pozdější užití."
"Place Order","Objednat"
"This payment is not available","Tato platba není k dispozici"
"MM","MM"
"YY","RR"
"Please try again with another form of payment.","Zopakujte znovu prosím s jinou formou platby."
"Sorry, but something went wrong.","Omlouváme se, ale něco se pokazilo."
"Payment ","Platba"
"Credit card type is not accepted by this merchant account.","Karta není akceptována."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Platba může být zrušena pouze tehdy, je-li udělen status, submitted_for_settlement, nebo - pro PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Transakce jsou nevratné."
"Cannot refund a transaction unless it is settled.","Transakci nelze vrátit, pokud nebude vypořádána."
"Cannot submit for settlement unless status is authorized.","Nelze odeslat k vypořádání, pokud není status schválen."
"Customer does not have any credit cards.","Zákazník nemá žádné kreditní karty."
"Transaction has already been completely refunded.","Transakce již byla vrácena."
"Payment instrument type is not accepted by this merchant account.","Obchodní účet nepřijímá tento typ platebního nástroje."
"Processor authorization code cannot be set unless for a voice authorization.","Autorizační kód procesoru nelze nastavit, pouze pro hlasovou autorizaci."
"Refund amount is too large.","Částka vrácení peněz je příliš vysoká."
"Settlement amount is too large.","Částka vrácení peněz je příliš vysoká."
"Cannot provide a billing address unless also providing a credit card.","Fakturační adresu nelze poskytnout, pokud neposkytnete také kreditní kartu."
"Cannot refund a transaction with a suspended merchant account.","Nelze vrátit transakci s pozastaveným obchodním účtem."
"Merchant account does not support refunds.","Obchodní účet nepodporuje vrácení peněz."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Nelze vrátit transakci ve stavu vypořádání na tomto obchodním účtu. Zkuste to znovu po vyřízení transakce."
"PayPal is not enabled for your merchant account.","PayPal není povolen pro váš obchodní účet."
"Partial settlements are not supported by this processor.","Částečná úhrada není podporována."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Přijímejte kreditní/debetní karty a PayPal ve vašem obchodě Magento. <br/> Žádné instalační ani měsíční poplatky a vaši zákazníci nikdy neopustí svůj obchod bez dokončení nákupu."
"Enable this Solution","Povolte toto řešení"
"Enable PayPal through Braintree","Povolit PayPal prostřednictvím Braintree"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Základní nastavení Braintree"
"Title","Název"
"Environment","Prostředí"
"Payment Action","Platební akce"
"Merchant ID","ID obchodníka"
"Public Key","Veřejný klíč"
"Private Key","Soukromý klíč"
"Advanced Braintree Settings","Rozšířená nastavení Braintree"
"Vault Title","Vault Title"
"Merchant Account ID","ID účtu obchodníka"
"Advanced Fraud Protection","Pokročilá ochrana proti podvodům"
"Kount Merchant ID","Kount Merchant ID"
"Debug","Ladící režim"
"CVV Verification","CVV ověření"
"Credit Card Types","Typy platebních karet"
"Sort Order","Řadit podle"
"Country Specific Settings","Konkrétní nastavení země"
"Payment from Applicable Countries","Platby z dostupných zemí"
"Payment from Specific Countries","Platby ze zvolených zemí"
"Country Specific Credit Card Types","Typy platebních karet konkrétních zemí"
"PayPal through Braintree","PayPal prostřednictvím Braintree"
"Override Merchant Name","Přepsat jméno obchodníka"
"Require Customer's Billing Address","Vyžadovat fakturační adresu zákazníka"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Umožnit úpravu zadané dodací adresy během platby na straně PayPal"
"Display on Shopping Cart","Zobrazit v košíku"
"Skip Order Review","Přeskočit souhrn objednávky"
"3D Secure Verification Settings","Nastavení ověření pomocí 3D Secure"
"3D Secure Verification","Ověření pomocí 3D Secure"
"Threshold Amount","Limitní částka"
"Verify for Applicable Countries","Verify for Applicable Countries"
"Verify for Specific Countries","Verify for Specific Countries"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","Jméno"
"Phone","Telefon"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Číslo platební karty je neplatné."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV verification failed."
"Postal code verification failed.","Postal code verification failed."
"Credit card number is prohibited.","Credit card number is prohibited."
"Addresses must have at least one field filled in.","Addresses must have at least one field filled in."
"Company is too long.","Název společnosti je příliš dlouhý."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
"Postal code is required.","PSČ je povinné."
"Postal code may contain no more than 9 letter or number characters.","Postal code may contain no more than 9 letter or number characters."
"Region is too long.","Region is too long."
"Street address is required.","Street address is required."
"Street address is too long.","Název ulice je příliš dlouhý."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Postal code can only contain letters, numbers, spaces, and hyphens."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","US state codes must be two characters to meet PayPal Seller Protection requirements."
"Incomplete PayPal account information.","Incomplete PayPal account information."
"Invalid PayPal account information.","Invalid PayPal account information."
"PayPal Accounts are not accepted by this merchant account.","PayPal Accounts are not accepted by this merchant account."
"Billing address format is invalid.","Billing address format is invalid."
"Country name is not an accepted country.","Country name is not an accepted country."
"Country code is not accepted. Please contact the store administrator.","Country code is not accepted. Please contact the store administrator."
"Provided country information is inconsistent.","Provided country information is inconsistent."
"Customer has already reached the maximum of 50 addresses.","Customer has already reached the maximum of 50 addresses."
"Address is invalid. Please contact the store administrator.","Address is invalid. Please contact the store administrator."
"Error communicating with PayPal.","Error communicating with PayPal."
"PayPal authentication expired.","PayPal autorizace vypršela."
"Error executing PayPal order.","Error executing PayPal order."
"Error executing PayPal billing agreement.","Error executing PayPal billing agreement."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Použít filtry k získání výsledků. Zobrazí se pouze prvních 100 záznamů, úplnou verzi přehledu lze stáhnout ve formátu CSV."
"Select...","Zvolit..."
"Status","Stav"
"Transaction Type","Typ Transakce"
"Payment Type","Typ platby"
