"Reward Points","इनामी अंक"
"Reward Points History","रिवार्ड पॉइंट्स हिस्ट्री"
"Expired reward","पुरस्कृत किया गया"
"Unlimited","असीमित"
"No Data","कोई आकड़ा उपलब्ध नहीं है"
"Website","वेबसाइट"
"Balance","संतुलन"
"Currency Amount","मुद्रा मूल्य"
"Reward Points Threshold","इनाम अंक थ्रेसहोल्ड"
"Reward Points Cap","रिवार्ड पॉइंट्स कैप"
"Delete Orphan Points","अनाथ अंक हटाएं"
"Update Reward Points Balance","अपडेट रिवार्ड पॉइंट्स बैलेंस"
"Store","दुकान"
"Update Points","पॉइंट अपडेट करें"
"Enter a negative number to subtract from the balance.","शेष राशि से घटाने के लिए एक ऋणात्मक संख्या दर्ज करें।"
"Comment","टिप्पणी"
"Reward Points Notifications","रिवार्ड पॉइंट्स नोटिफिकेशन"
"Subscribe for Balance Updates","बैलेंस अपडेट के लिए सदस्यता लें"
"Subscribe for Points Expiration Notifications","अंक समाप्ति की अधिसूचना के लिए सदस्यता लें"
"Reward Exchange Rates","विनिमय विनिमय दरें"
"Add New Rate","नई दर जोड़ें"
"Edit Reward Exchange Rate","इनाम विनिमय दर संपादित करें"
"New Reward Exchange Rate","नई इनाम विनिमय दर"
"Reward Exchange Rate Information","इनाम विनिमय दर की जानकारी"
"Customer Group","ग्राहक समूह"
"Direction","दिशा"
"Rate","मूल्यांकन करें"
"Use your reward points; %1 are available.","अपने इनाम बिंदुओं का उपयोग करें; %1 उपलब्ध हैं।"
"Learn more","और अधिक जानें"
"This applies only to registered users and may vary when a user is logged in.","यह केवल पंजीकृत उपयोगकर्ताओं पर लागू होता है और उपयोगकर्ता द्वारा लॉग इन करने पर भिन्न हो सकता है।"
"You removed the orphan points.","आपने अनाथ अंक निकाल दिए।"
"Customers","ग्राहकों"
"Manage Reward Exchange Rates","रिवॉर्ड एक्सचेंज दरों का प्रबंधन करें"
"You deleted the rate.","आपने दर को हटा दिया।"
"You saved the rate.","आपने रेट सेव कर लिया।"
"We can't save this rate right now.","हम अभी इस दर को नहीं बचा सकते हैं।"
"Please enter all rate information.","कृपया सभी दर जानकारी दर्ज करें।"
"Please enter a positive integer number in the left rate field.","कृपया बाईं दर क्षेत्र में एक सकारात्मक पूर्णांक संख्या दर्ज करें।"
