"Reward Points","Punti Fedeltà"
"Reward Points History","Cronologia punti fedeltà"
"Expired reward","Ricompensa scaduta"
"Unlimited","Illimitato"
"No Data","Nessun dato"
"Website","Sito Web"
"Balance","Saldo"
"Currency Amount","Importo valuta"
"Reward Points Threshold","Soglia punti fedeltà"
"Reward Points Cap","Limite punti fedeltà"
"Delete Orphan Points","Elimina punti orfani"
"Update Reward Points Balance","Aggiorna saldo punti fedeltà"
"Store","Negozio"
"Update Points","Aggiorna punti"
"Enter a negative number to subtract from the balance.","Inserisci un numero negativo da sottrarre al saldo."
"Comment","Commento"
"Reward Points Notifications","Notifiche punti fedeltà"
"Subscribe for Balance Updates","Iscriviti per aggiornamenti al saldo"
"Subscribe for Points Expiration Notifications","Iscriviti per ricevere notifiche dei punti in scadenza"
"Reward Exchange Rates","Tasso di cambio ricompensa"
"Add New Rate","Aggiungi nuovo tasso di cambio"
"Edit Reward Exchange Rate","Modifica tasso di cambio ricompensa"
"New Reward Exchange Rate","Nuovo tasso di cambio ricompensa"
"Reward Exchange Rate Information","Informazioni sul tasso di cambio della ricompensa"
"Customer Group","Gruppo Cliente"
"Direction","Direzione"
"Rate","Aliquota"
"Use your reward points; %1 are available.","Usa i tuoi punti fedeltà: sono disponibili %1."
"Learn more","Ulteriori informazioni"
"This applies only to registered users and may vary when a user is logged in.","Questo si applica solo agli utenti registrati e può variare quando un utente è connesso."
"You removed the orphan points.","Hai rimosso i punti orfani."
"Customers","Clienti"
"Manage Reward Exchange Rates","Gestisci i tassi di cambio ricompensa"
"You deleted the rate.","Hai eliminato il tasso di cambio."
"You saved the rate.","Hai salvato il tasso di cambio."
"We can't save this rate right now.","Non è possibile salvare questo tasso di cambio in questo momento."
"Please enter all rate information.","Inserisci tutte le informazioni sul tasso di cambio."
"Please enter a positive integer number in the left rate field.","Inserisci un numero intero positivo nel campo tasso di cambio a sinistra."
"Please enter a positive number in the right-side rate field.","Inserisci un numero positivo nel campo del tasso di cambio a destra."
"Please enter a positive integer number in the right-side rate field.","Inserisci un numero intero positivo nel campo del tasso di cambio a destra."
"Please enter a positive number in the left-side rate field.","Inserisci un numero positivo nel campo del tasso di cambio a sinistra."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Ci dispiace ma un tasso di cambio per lo stesso website, gruppo cliente e direzione o tasso di copertura esiste già."
"You removed the reward points from this order.","Hai rimosso i punti fedeltà da questo ordine."
"Reward points will not be used in this order.","I punti fedeltà non possono essere usati in questo ordine."
"Page not found.","Pagina non trovata."
"You saved the settings.","Hai salvato le impostazioni."
"You unsubscribed.","Hai annullato l'iscrizione."
"You can't unsubscribed right now.","Non è possibile annullare l'iscrizione in questo momento."
"%1 Reward points (%2)","%1 Punti fedeltà (%2)"
"%1 Reward points","%1 punti fedeltà"
"Updated by moderator","Aggiornata dal moderatore"
"Refunded from order #%1","Rimborsato dall'ordine #%1"
"Points voided at order #%1 refund.","Punti annullati all'ordine di #%1 rimborsato."
"The invitation to %1 converted into a customer.","L'invito a %1 convertito in un cliente."
"The invitation to %1 converted into an order.","L'invito a %1 convertito in un ordine."
"Signed up for newsletter with email %1","Iscritti alla newsletter con email %1"
"Redeemed for order #%1","Riscattati per ordine #%1"
"Earned points for order #%1","Punti guadagnati per ordine #%1"
"Reverted from incomplete order #%1","Ripristinato dall'ordine incompleto #%1"
"Registered as customer","Registrati come cliente"
"For submitting a product review","Per inviare una recensione del prodotto"
"Earned promotion extra points from order #%1","Guadagnati punti extra dall'ordine #%1"
"%1 store reward points available (%2)","%1 punti fedeltà disponibili nel negozio (%2)"
"%1 store reward points available","%1 punti fedelità disponibili nel negozio"
"%1 was deducted because of refund.","%1 è stato detratto a causa di un rimborso."
"The action ID you enter must be a number.","L'ID azione inserito deve essere un numero."
"You don't have enough reward points to pay for this purchase.","Non hai abbastanza punti fedeltà per pagare questo acquisto."
