"Reward Points","Наградни поени"
"Reward Points History","Наградни поени Хисторy"
"Expired reward","Expired reward"
"Unlimited","Неограничено"
"No Data","Не Дата"
"Website","Wеб сајт"
"Balance","Баланс"
"Currency Amount","Currency Amount"
"Reward Points Threshold","Наградни поени Тхресхолд"
"Reward Points Cap","Наградни поени Цап"
"Delete Orphan Points","Обриши Орпхан Поинтс"
"Update Reward Points Balance","Ажурирај Наградни поени Баланце"
"Store","Продавница"
"Update Points","Ажурирај Поинтс"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Comment","Коментар"
"Reward Points Notifications","Наградни поени Обавештења"
"Subscribe for Balance Updates","Пријави се фор Баланце Упдатес"
"Subscribe for Points Expiration Notifications","Пријави се фор Поинтс Еxпиратион Обавештења"
"Reward Exchange Rates","Reward Exchange Rates"
"Add New Rate","Додај Ново Рате"
"Edit Reward Exchange Rate","Измени Реwард Еxцханге Рате"
"New Reward Exchange Rate","Ново Реwард Еxцханге Рате"
"Reward Exchange Rate Information","Реwард Еxцханге Рате Информације"
"Customer Group","Група купаца"
"Direction","Direction"
"Rate","Rate"
"Use your reward points; %1 are available.","Use your reward points; %1 are available."
"Learn more","Сазнај више"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Customers","Купци"
"Manage Reward Exchange Rates","Manage Reward Exchange Rates"
"You deleted the rate.","You deleted the rate."
"You saved the rate.","You saved the rate."
"We can't save this rate right now.","We can't save this rate right now."
"Please enter all rate information.","Молимо унесите алл рате информатион."
"Please enter a positive integer number in the left rate field.","Молимо унесите а поситиве интегер нумбер ин тхе лефт рате фиелд."
"Please enter a positive number in the right-side rate field.","Молимо унесите а поситиве нумбер ин тхе ригхт-сиде рате фиелд."
"Please enter a positive integer number in the right-side rate field.","Молимо унесите а поситиве интегер нумбер ин тхе ригхт-сиде рате фиелд."
"Please enter a positive number in the left-side rate field.","Молимо унесите а поситиве нумбер ин тхе лефт-сиде рате фиелд."
