"Reward Points","پاداش امتیازات"
"Reward Points History","تاریخچه پاداش امتیازات"
"Expired reward","پاداش منقضی شده"
"Unlimited","نامحدود"
"No Data","هیچ داده ای"
"Website","وب سایت"
"Balance","موجودی"
"Currency Amount","مقدار ارز"
"Reward Points Threshold","آستانه امتیازات پاداش
 "
"Reward Points Cap","راس پاداش امتیاز"
"Delete Orphan Points","حذف بدون امتیاز ها"
"Update Reward Points Balance","به روز رسانی تعادل پاداش امتیاز"
"Store","فروشگاه"
"Update Points","به روز رسانی امتیاز"
"Enter a negative number to subtract from the balance.","یک عدد منفی برای کم کردن از بالانس وارد کنید."
"Comment","نظر"
"Reward Points Notifications","اعلان اعطای امتیازات"
"Subscribe for Balance Updates","اشتراک برای به روز رسانی تعادل"
"Subscribe for Points Expiration Notifications","اشتراک برای اعلان های انقضای امتیازات"
"Reward Exchange Rates","جایزه  نرخ تبدیل"
"Add New Rate","افزودن نرخ جدید"
"Edit Reward Exchange Rate","ویرایش پاداش نرخ ارز"
"New Reward Exchange Rate","پاداش جدید نرخ ارز"
"Reward Exchange Rate Information","اطلاعات پاداش مبادله نرخ ارز"
"Customer Group","گروه مشتری"
"Direction","مسیر"
"Rate","نرخ"
"Use your reward points; %1 are available.","استفاده از نقاط پاداش; %1 در دسترس هستند."
"Learn more","بیشتر بدانید"
"This applies only to registered users and may vary when a user is logged in.","این فقط برای کاربران ثبت شده اعمال می شود و ممکن است زمانی که یک کاربر وارد سیستم می شود، متفاوت باشد."
"You removed the orphan points.","شما بدون امتیازات را حذف کردید."
"Customers","مشتریان"
"Manage Reward Exchange Rates","مدیریت پاداش نرخ ارز"
"You deleted the rate.","نرخ را حذف کردید."
"You saved the rate.","شما نرخ را ذخیره کردید."
"We can't save this rate right now.","ما نمیتوانیم این نرخ را در حال حاضر ذخیره کنیم."
"Please enter all rate information.","لطفا همه اطلاعات نرخ را وارد کنید."
"Please enter a positive integer number in the left rate field.","لطفا یک عدد صحیح مثبت در فیلد سمت چپ وارد کنید."
"Please enter a positive number in the right-side rate field.","لطفا یک عدد مثبت در سمت راست فیلد نرخ وارد کنید."
"Please enter a positive integer number in the right-side rate field.","لطفا یک عدد مثبت صحیح در سمت راست فیلد نرخ وارد کنید."
"Please enter a positive number in the left-side rate field.","لطفا یک عدد مثبت در سمت چپ فیلد نرخ وارد کنید."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","با عرض پوزش، اما نرخ برای همان وب سایت، گروه مشتری و جهت یا نرخ پوشش از قبلا وجود دارد."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","صفحه یافت نشد."
"You saved the settings.","شما تنظیمات را ذخیره کردید."
"You unsubscribed.","اشتراک شما لغو شد."
"You can't unsubscribed right now.","اکنون نمیتوانید اشتراک خود را لغو کنید."
"%1 Reward points (%2)","امتیاز پاداش %1 (%2)"
"%1 Reward points","امتیاز پاداش %1"
"Updated by moderator","به روز شده توسط ناظر"
"Refunded from order #%1","باز پرداخت از سفارش #%1"
"Points voided at order #%1 refund.","امتیاز به ترتیب #%1 بازپرداخت لغو شد."
"The invitation to %1 converted into a customer.","دعوت %1 به یک مشتری تبدیل شده است."
"The invitation to %1 converted into an order.","دعوت %1 به یک سفارش تبدیل شده است."
"Signed up for newsletter with email %1","ثبت نام برای خبرنامه با ایمیل %1"
