"Reward Points","Ödül puanı"
"Reward Points History","Ödül puan geçmişi"
"Expired reward","Süresi dolmuş olan ödül"
"Unlimited","Sınırsız"
"No Data","Veri Yok"
"Website","Web sitesi"
"Balance","Bakiye"
"Currency Amount","Döviz Tutarı"
"Reward Points Threshold","Ödül puan eşiği"
"Reward Points Cap","Ödül Puanları Başlığı"
"Delete Orphan Points","Yetersiz Olan Noktaları Sil"
"Update Reward Points Balance","Ödül Puanları Bakiyesini Güncelle"
"Store","Mağaza"
"Update Points","Puanları Güncelle"
"Enter a negative number to subtract from the balance.","Bakiyeden çıkarmak için negatif bir sayı giriniz."
"Comment","Yorum"
"Reward Points Notifications","Ödül puan bildirimleri"
"Subscribe for Balance Updates","Bakiye Güncellemeleri için Abone Olun"
"Subscribe for Points Expiration Notifications","Puanların Süre Sonu Bildirimleri için Abone Olun"
"Reward Exchange Rates","Kur Farkı Ödülleri"
"Add New Rate","Yeni Oran Ekle"
"Edit Reward Exchange Rate","Kur Farkı Ödüllerini Düzenle"
"New Reward Exchange Rate","Yeni Kur Farkı Ödülü"
"Reward Exchange Rate Information","Kur Farkı Ödül Bilgileri"
"Customer Group","Müşteri Grupları"
"Direction","Açıklama"
"Rate","Oran"
"Use your reward points; %1 are available.","Ödül puanlarınızı kullanın; %1 kullanılabilir."
"Learn more","Daha fazlasını öğren"
"This applies only to registered users and may vary when a user is logged in.","Bu, sadece kayıtlı kullanıcılar için geçerlidir ve bir kullanıcı oturum açtığı zaman değişebilir."
"You removed the orphan points.","Yetersiz puanları çıkardınız."
"Customers","Müşteriler"
"Manage Reward Exchange Rates","Kur Farkı Ödüllerini Yönetin"
"You deleted the rate.","Oranı sildiniz."
"You saved the rate.","Oranı kaydettiniz."
"We can't save this rate right now.","Bu değerlendirmeyi şuanda kaydedemiyoruz."
"Please enter all rate information.","Lütfen tüm oran bilgilerini giriniz."
"Please enter a positive integer number in the left rate field.","Lütfen, sol oran alanına pozitif bir tam sayı giriniz."
"Please enter a positive number in the right-side rate field.","Lütfen, sağ-taraf oran alanına pozitif bir sayı giriniz."
"Please enter a positive integer number in the right-side rate field.","Lütfen, sağ-taraf oran alanına pozitif bir tam sayı giriniz."
"Please enter a positive number in the left-side rate field.","Lütfen, sol-taraf oran alanına pozitif bir sayı giriniz."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Üzgünüz, ama aynı internet sayfası, müşteri grubu ve açıklaması veya kaplama oranı için bir oran zaten mevcut."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Sayfa bulunamadı."
"You saved the settings.","Ayarları kaydettiniz."
"You unsubscribed.","Abonelik kaydınız silinmiştir."
"You can't unsubscribed right now.","Şu anda abonelik kaydınız silinemiyor."
"%1 Reward points (%2)","%1 Ödül puanları (%2)"
"%1 Reward points","%1 Ödül puanları"
"Updated by moderator","Moderatör tarafından güncellendi"
"Refunded from order #%1","Siparişe yapılan geri ödeme #%1"
"Points voided at order #%1 refund.","Puanlar iptal edilerek #%1 siparişe geri ödeme yapıldı."
"The invitation to %1 converted into a customer.","%1 daveti müşteriye dönüştürüldü."
"The invitation to %1 converted into an order.","%1 daveti siparişe dönüştürüldü."
"Signed up for newsletter with email %1","E-posta %1 haber bülteni için kayıt"
"Redeemed for order #%1","Sipariş için amorti eden #%1"
"Earned points for order #%1","Siparişten kazanılan puanlar #%1"
