"Reward Points","Бонус точки"
"Reward Points History","Наградни точки история"
"Expired reward","Изтекла награда"
"Unlimited","Неограничен"
"No Data","Няма данни"
"Website","Уебсайт"
"Balance","Баланс"
"Currency Amount","Сума във валута"
"Reward Points Threshold","Праг на наградни точки"
"Reward Points Cap","Закриване на наградни точки"
"Delete Orphan Points","Изтрий изостаналите точки"
"Update Reward Points Balance","Актуализация награда точки баланс"
"Store","Магазин"
"Update Points","Актуализиране точки"
"Enter a negative number to subtract from the balance.","Въведете отрицателно число за да извадите баланса от равновесие."
"Comment","Коментар"
"Reward Points Notifications","Награда точки уведомления"
"Subscribe for Balance Updates","Абонирайте се за актуализации на баланс"
"Subscribe for Points Expiration Notifications","Абонирайте се за уведомяване при изтичане на точките"
"Reward Exchange Rates","Компенсирай обменни курсове"
"Add New Rate","Добавяне на нов курс"
"Edit Reward Exchange Rate","Редактиране на компенсиране на обменен курс"
"New Reward Exchange Rate","Нова награда обменен курс"
"Reward Exchange Rate Information","Награда обменен курс информация"
"Customer Group","Клиентска група"
"Direction","Посока"
"Rate","Оцени"
"Use your reward points; %1 are available.","Използвайте вашите наградни точки; %1 са на разположение."
"Learn more","Научи повече"
"This applies only to registered users and may vary when a user is logged in.","Това се отнася само за регистрирани потребители и могат да варират, когато потребителят е влязъл."
"You removed the orphan points.","Премахнахте изостаналите точки."
"Customers","Клиенти"
"Manage Reward Exchange Rates","Управление на наградни обменни курсове"
"You deleted the rate.","Изтрихте този курс."
"You saved the rate.","Записахте курс."
"We can't save this rate right now.","Не може да запише този процент точно сега."
"Please enter all rate information.","Моля въведете цялата информация за курс."
"Please enter a positive integer number in the left rate field.","Въведете положително цяло число в лявото поле за курс."
"Please enter a positive number in the right-side rate field.","Въведете положително число в дясното поле за курс."
"Please enter a positive integer number in the right-side rate field.","Въведете положително цяло число в дясното поле за курс."
"Please enter a positive number in the left-side rate field.","Въведете положително число в дясното поле за курс."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Съжаляваме, но курс за същия сайт, клиентска група и посока или покриващи курс вече съществува."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Страницата не е намерена."
"You saved the settings.","Записахте настройките."
"You unsubscribed.","Отписахте се."
"You can't unsubscribed right now.","Не може да се отпишете точно сега."
"%1 Reward points (%2)","%1 наградни точки (%2)"
"%1 Reward points","%1 наградни точки"
"Updated by moderator","Актуализирано от модератор"
"Refunded from order #%1","Възстановяване от поръчка #%1"
"Points voided at order #%1 refund.","Точки от анулирана поръчка #%1 възстановяване."
"The invitation to %1 converted into a customer.","Поканата за %1 превърната в клиент."
"The invitation to %1 converted into an order.","Поканата за %1 превърната в поръчка."
"Signed up for newsletter with email %1","Записан за бюлетин с имейл %1"
"Redeemed for order #%1","Изкупени за поръчка #%1"
"Earned points for order #%1","Спечелени точки за поръчка #%1"
"Reverted from incomplete order #%1","Обменени от непълна поръчка #%1"
"Registered as customer","Регистриран като клиент"
"For submitting a product review","За подаване на преглед на продукт"
"Earned promotion extra points from order #%1","Спечелил промоция допълнителни точки от поръчка #%1"
"%1 store reward points available (%2)","%1 магазин достъпни наградни (%2)"
"%1 store reward points available","%1 съхранява налични наградни точки"
"%1 was deducted because of refund.","%1 бе извадена заради възстановяване."
"The action ID you enter must be a number.","Въведеният ИД на действие трябва да бъде число."
"You don't have enough reward points to pay for this purchase.","Нямате достатъчно точки, за да платите тази покупка."
"Points to Currency","Точки за валута"
"Currency to Points","Валута към точки"
"All Customer Groups","Всички клиентски групи"
"Static","Статично"
"Dynamic","Динамично"
"Each","Всеки"
"First","Първи"
"All Websites","Всички уеб сайтове"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","Клиент, спечелил промоция допълнителни %1."
"The customer earned %1 for this order.","Клиентът получава %1 за тази поръчка."
"Reward Points Balance","Баланс на наградни точки"
"upper boundary","горна граница"
"Refund Reward Points","Възстановяване на наградни точки"
"Reward Points refunded to customer","Наградни точки възстановени на клиента"
"Remove","Премахване"
"Back","Обратно"
"Balance History","История на баланса"
"Amount","Сума"
"Points","Точки"
"Reason","Причина"
"Date","Дата"
"Expires on %1","Изтича на %1"
"There is no balance history.","Няма история на баланса."
"Reward points balance Information","Информация за баланса на наградните точки"
"Your balance is %1.","Балансът ви е %1."
"Current exchange rates:","Текущите валутни курсове:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 изхарчен = %2 спечелен"
"None","Никакъв"
"Balance limit is %1.","Лимитът е %1."
"Maximum balance is reached","Максималният баланс е постигнат"
"Minimum Balance in order to redeem: %1.","Минимално салдо за да изкупи: %1."
"You need a higher balance to use your rewards points.","Имате нужда от по-висок баланс, за да използвате вашите точки за награди."
"Each earned reward points award expires in %1 days.","Всички спечелени наградни точки изтичат след %1 дни."
"Refer to reward points history to see when a specific record expires.","Отнася се за наградни точки историята, за да видите кога изтича определен запис."
"Email Notification Settings","Имейл настройки за уведомяване"
"Save Subscription Settings","Записване на настройките на абонамент"
"Reward Points Balance Updated at %store_name","Награда точки баланс, актуализирана на %store_name"
"%name,","%name,"
"You have %points_balance points that may be used in our store:","Имате %points_balance точки, които могат да бъдат използвани в нашия магазин:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url""> отписване</a> от тези уведомления."
"Reward Points Expiry Warning at %store_name","Наградни точки предупреждение за изтичане на %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","Има % remaining_days дните, оставащи да използвате %points_expiring на вашите награда точки."
"After %remaining_days day(s) these points will expire.","След % remaining_days ден(ни) тези точки ще изтекат."
"You have a total of %points_balance points that may be used in our store:","Вие имате общо %points_balance точки, които могат да бъдат използвани в нашия магазин:"
"Reward points","Наградни точки"
"Use reward points","Използвайте нагадни точки"
"Your reward point was successfully applied","Вашата награда точка беше успешно приложена"
"Manage Reward Points Balances","Управление на баланса на наградни точки"
"Can Spend Reward Points","Могат да изхарчат наградни точки"
"Enable Reward Points Functionality","Разреши функционалност на наградни точки"
"Enable Reward Points Functionality on Storefront","Разреши функционалността за бонус точки в магазина"
"Customers May See Reward Points History","Клиентите могат да виждат историята на наградните точки"
"Rewards Points Balance Redemption Threshold","Праг на баланса за обратно изкупуване на наградни точки"
"An empty value disables this limitation.","Празната стойност забранява това ограничение."
"Cap Reward Points Balance At","Наградни точки баланс в"
"Reward Points Expire in (days)","Наградните точки изтичат през (дни)"
"Reward Points Expiry Calculation","Наградни точки изтичане изчисление"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Статичен"" определя датата на изтичане, точно когато балансът се увеличава. ""Динамичен"" не разполага с дата на валидност, но изчислява един, когато балансът се проверяват за изтичане."
"Refund Reward Points Automatically","Автоматично възстановяване на точки награда"
"Deduct Reward Points from Refund Amount Automatically","Приспада наградни точки от сумата автоматично"
"Landing Page","Целева страница"
"Actions for Acquiring Reward Points by Customers","Действия за придобиване на възнаграждение точки от клиенти"
"Purchase","Покупка"
"Added for spent money according to reward exchange rates.","Добавено за изразходвани пари награда обменен курс."
"Registration","Регистрация"
"Newsletter Signup","Абониране за бюлетин"
"Only for customers who subscribe for the first time.","Само за клиенти, които се абонират за първи път."
"Converting Invitation to Customer","Конвертиране на покана в клиент"
"Invitation to Customer Conversions Quantity Limit","Покана за клиента реализации количествен лимит"
"Converting Invitation to Order","Конвертиране на покана в поръчка"
"Invitation to Order Conversions Quantity Limit","Покана за количествен лимит на поръчано количество"
"Invitation Conversion to Order Reward","Покана преход към поръчка за награда"
"Review Submission","Предаването на анотации"
"After approval by administrator.","След одобрение от администратор."
"Rewarded Reviews Submission Quantity Limit","Ограничение за броя на изпратени отзиви за награждаване"
"Email Sender","Имейл подател"
"Subscribe Customers by Default","Абонирай клиенти по подразбиране"
"Balance Update Email","Баланс актуализация имейл"
"Reward Points Expiry Warning Email","Наградни точки изтичане предупреждение имейл"
"Expiry Warning Before (days)","Изтичане предупреждение преди (дни)"
"Entering no value or a value greater than the expiration lifetime disables the warning notification.","Въвеждане без стойност или стойност по-голяма от живота на изтичане забранява предупреждение съобщаване."
"Reward Points Rates","Наградни точки цени"
"Amount Balance","Сума баланс"
"Created","Създаден:"
"Expires","Изтича на"
"ID","ИД"
"Add Reward Points","Добавяне на наградни точки"
"Check out now and earn %1 for this order.","Вижте сега и Спечелете %1 за тази поръчка."
"Create an account on our site now and earn %1.","Създайте акаунт в нашия сайт сега и печелят %1."
"Subscribe to our newsletter now and earn %1.","Абонирайте се за нашия бюлетин сега и спечелете %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Дайте своята оценка сега и спечелете %1 след като оценката е одобрена."
"You can reward up to %1 new reviews(s).","Можете наградите максимум %1 нови отзива."
"Reward points should be a valid integer number.","Наградните точки трябва да са валидно цяло число."
"Send this invitation now and earn %1 when your invitee signs up on our site.","Изпрати тази покана сега и Спечелете %1 когато поканения се абонира за нашия сайт."
"You can reward up to %1 invitee registration(s).","You can reward up to %1 invitee registration(s)."
"Earn %1 for purchases your invitees make.","Спечелете %1 за покупки на вашите поканени."
"You can reward up to %1 invitee purchase(s).","Можете да възнагради до %1 поканения покупка(и)."
"Sign in now and earn %1 for this order.","Влезте сега и Спечелете %1 за тази поръчка."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again.","The ""Cap Reward Points Balance"" is invalid. The balance needs to be a positive number or left empty. Verify and try again."
"The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance"".","The ""Minimum Reward Points Balance"" is invalid. The balance needs to be less than or equal to the ""Cap Reward Points Balance""."
