"Reward Points","Nagradni poeni"
"Reward Points History","Nagradni poeni History"
"Expired reward","Expired reward"
"Unlimited","Neograničeno"
"No Data","Ne Data"
"Website","Web sajt"
"Balance","Balans"
"Currency Amount","Currency Amount"
"Reward Points Threshold","Nagradni poeni Threshold"
"Reward Points Cap","Nagradni poeni Cap"
"Delete Orphan Points","Obriši Orphan Points"
"Update Reward Points Balance","Ažuriraj Nagradni poeni Balance"
"Store","Prodavnica"
"Update Points","Ažuriraj Points"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Comment","Komentar"
"Reward Points Notifications","Nagradni poeni Obaveštenja"
"Subscribe for Balance Updates","Prijavi se for Balance Updates"
"Subscribe for Points Expiration Notifications","Prijavi se for Points Expiration Obaveštenja"
"Reward Exchange Rates","Reward Exchange Rates"
"Add New Rate","Dodaj Novo Rate"
"Edit Reward Exchange Rate","Izmeni Reward Exchange Rate"
"New Reward Exchange Rate","Novo Reward Exchange Rate"
"Reward Exchange Rate Information","Reward Exchange Rate Informacije"
"Customer Group","Grupa kupaca"
"Direction","Direction"
"Rate","Rate"
"Use your reward points; %1 are available.","Use your reward points; %1 are available."
"Learn more","Saznaj više"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Customers","Kupci"
"Manage Reward Exchange Rates","Manage Reward Exchange Rates"
"You deleted the rate.","You deleted the rate."
"You saved the rate.","You saved the rate."
"We can't save this rate right now.","We can't save this rate right now."
"Please enter all rate information.","Molimo unesite all rate information."
"Please enter a positive integer number in the left rate field.","Molimo unesite a positive integer number in the left rate field."
"Please enter a positive number in the right-side rate field.","Molimo unesite a positive number in the right-side rate field."
"Please enter a positive integer number in the right-side rate field.","Molimo unesite a positive integer number in the right-side rate field."
"Please enter a positive number in the left-side rate field.","Molimo unesite a positive number in the left-side rate field."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Sorry, but a rate for the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Stranica nije pronađena."
"You saved the settings.","You saved the settings."
"You unsubscribed.","You unsubscribed."
"You can't unsubscribed right now.","Ne možete unsubscribed right now."
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Ažuriran by moderator"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","For submitting a product review"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"%1 store reward points available (%2)","%1 store reward points available (%2)"
"%1 store reward points available","%1 store reward points available"
"%1 was deducted because of refund.","%1 was deducted because of refund."
"The action ID you enter must be a number.","The action ID you enter must be a number."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Points to Currency"
"Currency to Points","Currency to Points"
"All Customer Groups","Sve Grupe Kupaca"
"Static","Statički"
"Dynamic","Dinamički"
"Each","Each"
"First","Prvi"
"All Websites","Sve Web lokacije"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimalno stanje nagradnih poena"" treba da bude pozitivan broj ili ostavljeno prazno."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Maksimalno stanje nagradnih poena"" treba da bude pozitivan broj ili ostavljeno prazno."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimalno stanje nagradnih poena"" treba da bude manje ili jednako ""Maksimalnom stanju nagradnih poena""."
"Customer earned promotion extra %1.","Kupac earned promotion extra %1."
"The customer earned %1 for this order.","The customer earned %1 for this order."
"Reward Points Balance","Nagradni poeni Balance"
"upper boundary","upper boundary"
"Refund Reward Points","Povraćaj Nagradni poeni"
"Reward Points refunded to customer","Nagradni poeni refunded to customer"
"Remove","Ukloni"
"Back","Nazad"
"Balance History","Istorija Balansa"
"Amount","Iznos"
"Points","Points"
"Reason","Razlog"
"Date","Datum"
"Expires on %1","Expires on %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Reward points balance Informacije"
"Your balance is %1.","Your balance is %1."
"Current exchange rates:","Current exchange rates:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 spent = %2 earned"
"None","Ništa"
"Balance limit is %1.","Balance limit is %1."
"Maximum balance is reached","Maximum balance is reached"
"Minimum Balance in order to redeem: %1.","Minimum Balance in order to redeem: %1."
"You need a higher balance to use your rewards points.","You need a higher balance to use your rewards points."
"Each earned reward points award expires in %1 days.","Each earned reward points award expires in %1 days."
"Refer to reward points history to see when a specific record expires.","Refer to reward points history to see when a specific record expires."
"Email Notification Settings","E-pošta Obaveštenje Podešavanja"
"Save Subscription Settings","Sačuvaj Pretplata Podešavanja"
"Reward Points Balance Updated at %store_name","Nagradni poeni Balance Ažuriran at %store_name"
"%name,","%naziv,"
"You have %points_balance points that may be used in our store:","You have %points_balance points that may be used in our store:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">Odjavite se</a> sa ovih obaveštenja."
"Reward Points Expiry Warning at %store_name","Nagradni poeni Expiry Upozorenje at %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","There are %remaining_days day(s) remaining to use %points_expiring of your reward points."
"After %remaining_days day(s) these points will expire.","After %remaining_days day(s) these points will expire."
"You have a total of %points_balance points that may be used in our store:","You have a total of %points_balance points that may be used in our store:"
"Reward points","Reward points"
"Use reward points","Use reward points"
"Your reward point was successfully applied","Your reward point was uspešno applied"
"Manage Reward Points Balances","Manage Nagradni poeni Balances"
"Can Spend Reward Points","Can Spend Nagradni poeni"
"Enable Reward Points Functionality","Omogući Nagradni poeni Functionality"
"Enable Reward Points Functionality on Storefront","Omogući Nagradni poeni Functionality on Storefront"
"Customers May See Reward Points History","Kupci May See Nagradni poeni History"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold"
