"Reward Points","Poin Hadiah"
"Reward Points History","Riwayat Penghargaan poin"
"Expired reward","Hadiah yang kadaluarsa"
"Unlimited","Tak terbatas"
"No Data","Tidak Ada Data"
"Website","Situs web"
"Balance","Saldo"
"Currency Amount","Jumlah mata uang"
"Reward Points Threshold","Ambang Poin Penghargaan"
"Reward Points Cap","Poin Penghargaan Topi"
"Delete Orphan Points","Hapus Uang Anak Yatim"
"Update Reward Points Balance","Perbarui Poin Saldo Penghargaan"
"Store","Toko"
"Update Points","Perbarui Poin"
"Enter a negative number to subtract from the balance.","Masukkan angka negatif untuk dikurangkan dari saldo."
"Comment","Komentar"
"Reward Points Notifications","Pemberitahuan Poin Penghargaan"
"Subscribe for Balance Updates","Berlangganan untuk Pembaharuan Saldo"
"Subscribe for Points Expiration Notifications","Berlangganan Pemberitahuan Kedaluwarsa Poin"
"Reward Exchange Rates","Nilai Tukar Penghargaan"
"Add New Rate","Tambahkan Tingkat Baru"
"Edit Reward Exchange Rate","Edit Nilai Tukar Penghargaan"
"New Reward Exchange Rate","Nilai Tukar Penghargaan Baru"
"Reward Exchange Rate Information","Hadiah Nilai Tukar Informasi"
"Customer Group","Grup Pelanggan"
"Direction","Arah"
"Rate","Tarif"
"Use your reward points; %1 are available.","Gunakan poin Penghargaan anda; % 1 tersedia."
"Learn more","Pelajari Kembali"
"This applies only to registered users and may vary when a user is logged in.","Ini hanya berlaku untuk pengguna terdaftar dan mungkin berbeda saat pengguna masuk."
"You removed the orphan points.","Anda menghapus poin yatim piatu."
"Customers","Pelanggan"
"Manage Reward Exchange Rates","Kelola Nilai Tukar Penghargaan"
"You deleted the rate.","Anda menghapus tarif."
"You saved the rate.","Anda menghemat tarif."
"We can't save this rate right now.","Kami tidak dapat menyimpan nilai ini sekarang."
"Please enter all rate information.","Silakan masukkan semua informasi harga."
"Please enter a positive integer number in the left rate field.","Silakan masukkan bilangan bulat positif di kolom tingkat kiri."
"Please enter a positive number in the right-side rate field.","Silakan masukkan angka positif di bidang tingkat sisi kanan."
"Please enter a positive integer number in the right-side rate field.","Silakan masukkan bilangan bulat positif di kolom sisi kanan."
"Please enter a positive number in the left-side rate field.","Silakan masukkan angka positif di bidang tingkat sisi kiri."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Maaf, tapi tarif untuk situs web yang sama, grup pelanggan dan arahan atau tingkat penutupan sudah ada."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Halaman tidak ditemukan."
"You saved the settings.","Anda menyimpan pengaturannya."
"You unsubscribed.","Anda berhenti berlangganan."
"You can't unsubscribed right now.","Anda tidak bisa berhenti berlangganan sekarang."
"%1 Reward points (%2)","% 1 Poin hadiah (% 2)"
"%1 Reward points","% 1 Poin hadiah"
"Updated by moderator","Diperbarui oleh moderator"
"Refunded from order #%1","Dikembalikan dari pesanan #% 1"
"Points voided at order #%1 refund.","Poin voided di urutan #%1 pengembalian dana."
"The invitation to %1 converted into a customer.","Undangan ke %1 diubah menjadi pelanggan."
"The invitation to %1 converted into an order.","Undangan ke %1 diubah menjadi pesanan."
"Signed up for newsletter with email %1","Mendaftar untuk newsletter dengan email %1"
"Redeemed for order #%1","Ditebus untuk rangka #%1"
"Earned points for order #%1","Poin untuk urutan #%1"
"Reverted from incomplete order #%1","Dikembalikan dari urutan lengkap #%1"
"Registered as customer","Terdaftar sebagai pelanggan"
"For submitting a product review","Untuk mengirimkan ulasan produk"
"Earned promotion extra points from order #%1","Memperoleh poin promosi tambahan dari pesanan #%1"
"%1 store reward points available (%2)","%1 simpan poin reward yang tersedia (%2)"
"%1 store reward points available","%1 simpan poin reward yang tersedia"
"%1 was deducted because of refund.","%1 dikurangkan karena pengembalian dana."
