"Search Term","Istilah pencarian"
"Results","Hasil"
"Uses","Kegunaan"
"Search Terms","Istilah Pencarian"
"Search Synonyms","Cari Sinonim"
"New Synonym Group","Grup Sinonim Baru"
"Back","Kembali"
"Delete Synonym Group","Hapus Grup Sinonim"
"Are you sure you want to delete this synonym group?","Yakin ingin menghapus grup sinonim ini?"
"Reset","Atur ulang"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Save Synonym Group","Simpan Grup Sinonim"
"Search","Pencarian"
"Add New Search Term","Tambhakan Istilah Pencarian Baru"
"Save Search","Simpan pencarian"
"Delete Search","Hapus Pencarian"
"Edit Search '%1'","Edit Pencarian ' % 1 '"
"New Search","Pencarian baru"
"Search Information","Informasi pencarian"
"General Information","Informasi Umum"
"No","Tidak"
"Yes","Ya"
"Search Query","Parameter Pencarian"
"Store","Toko"
"Number of results","Jumlah hasil"
"Number of results (For the last time placed)","Jumlah hasil (Untuk terakhir kalinya ditempatkan)"
"For the last time placed.","Untuk terakhir kalinya ditempatkan."
"Number of Uses","Jumlah penggunaan"
"Redirect URL","Alihkan URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Tampilkan dalam Persyaratan yang Disarankan"
"The synonym group has been deleted.","Sinonim group telah dihapus."
"An error was encountered while performing delete operation.","Kesalahan saat melakukan operasi hapus."
"We can't find a synonym group to delete.","Kami tidak bisa menemukan sinonim kelompok untuk menghapus."
"This synonyms group no longer exists.","Ini sinonim kelompok tidak ada lagi."
"Edit Synonym Group","Edit Grup Sinonim"
"Synonym Group","Grup sinonim"
"Failed to delete %1 synonym group(s).","Gagal menghapus grup sinonim % 1."
"A total of %1 synonym group(s) have been deleted.","Sebanyak % 1 kelompok sinonim telah dihapus."
"Marketing","Pemasaran"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Sinonim pencarian tidak didukung oleh mesin pencari % 1. Setiap sinonim yang Anda masukkan tidak akan digunakan."
"This synonym group no longer exists.","Kelompok sinonim ini sudah tidak ada lagi."
"You saved the synonym group.","Anda menyimpan grup sinonim."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Istilah yang Anda masukkan, ( % 1), termasuk dalam 1 grup sinonim yang ada, % 2. Pilih kotak centang ""Merge existing sinonim"" sehingga persyaratan dapat digabungkan."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Istilah yang Anda masukkan, ( % 1), termasuk dalam % 2 grup sinonim yang ada, % 3 dan % 4. Pilih kotak centang ""Merge existing sinonim"" sehingga persyaratan dapat digabungkan."
"You deleted the search.","Anda menghapus pencarian."
"We can't find a search term to delete.","Kami tidak dapat menemukan istilah penelusuran yang akan dihapus."
"This search no longer exists.","Pencarian ini sudah tidak ada lagi."
"Edit Search","Edit Pencarian"
"Please select searches.","Silakan pilih pencarian."
"Total of %1 record(s) were deleted.","Total % 1 record telah dihapus."
"Reports","Laporan"
"Search Terms Report","Laporan Istilah Pencarian"
"You saved the search term.","Anda menyimpan istilah pencarian."
"Something went wrong while saving the search query.","Ada yang salah saat menyimpan Kategori penelusuran."
"You already have an identical search term query.","Anda sudah memiliki identik pencarian istilah query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Bergabunglah dengan grup sinonim yang ada:% 1"
"All Websites","Semua Situs"
