"Search Term","Termo de pesquisa"
"Results","Resultados"
"Uses","Utiliza"
"Search Terms","Termos de Pesquisa"
"Search Synonyms","Pesquisar Sinónimos"
"New Synonym Group","Novo Grupo de Sinónimos"
"Back","Voltar"
"Delete Synonym Group","Excluir Grupo de Sinónimos"
"Are you sure you want to delete this synonym group?","Tem a certeza que deseja excluir este grupo de sinónimos?"
"Reset","Repor"
"Save and Continue Edit","Gravar e Continuar Edição"
"Save Synonym Group","Gravar Grupo de Sinónimos"
"Search","Pesquisa"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Save Search","Gravar Pesquisa"
"Delete Search","Apagar Pesquisa"
"Edit Search '%1'","Editar Pesquisa '%1'"
"New Search","Nova Pesquisa"
"Search Information","Informação da Pesquisa"
"General Information","Informação Geral"
"No","Não"
"Yes","Sim"
"Search Query","Pesquisa"
"Store","Loja"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"For the last time placed.","Colocados pela última vez."
"Number of Uses","Número de Utilizações"
"Redirect URL","URL de Redirecionamento"
"ex. http://domain.com","ex. http://dominio.com"
"Display in Suggested Terms","Mostrar nos Termos Sugeridos"
"The synonym group has been deleted.","O grupo de sinónimos foi eliminado."
"An error was encountered while performing delete operation.","Foi encontrado um erro ao executar a operação de remoção: %s."
"We can't find a synonym group to delete.","Não foi possível encontrar um grupo de sinónimos para eliminar."
"This synonyms group no longer exists.","O grupo de sinónimos já não existe."
"Edit Synonym Group","Editar Grupo de Sinónimos"
"Synonym Group","Grupo de Sinónimos"
"Failed to delete %1 synonym group(s).","A eliminação de %1 grupo(s) de sinónimos falhou."
"A total of %1 synonym group(s) have been deleted.","Foi eliminado um total de %1 grupo(s) de sinónimos."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Os Sinónimos de Pesquisa não são suportados pelo motor de pesquisa %1. Quaisquer sinónimos que introduza não serão usados."
"This synonym group no longer exists.","Este grupo de sinónimos já não existe."
"You saved the synonym group.","Gravou o grupo de sinónimos."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Os termos que introduziu, (%1), pertencem a 1 grupo de sinónimos existente, %2. Selecione a opção ""Combinar sinónimos existentes"" para que os termos possam ser combinados."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Os termos que introduziu, (%1), pertencem a %2 grupos de sinónimos existente, %3 e %4. Selecione a opção ""Combinar sinónimos existentes"" para que os termos possam ser combinados."
"You deleted the search.","Excluíu a pesquisa."
"We can't find a search term to delete.","Não foi possível encontrar um termo de pesquisa a eliminar."
"This search no longer exists.","Esta pesquisa já não existe."
"Edit Search","Editar Pesquisa"
"Please select searches.","Por favor seleccione as pesquisas."
"Total of %1 record(s) were deleted.","Foram eliminados um total de %1 registo(s)."
"Reports","Relatórios"
"Search Terms Report","Relatório de Termos de Pesquisa"
"You saved the search term.","Gravou o termo de pesquisa."
"Something went wrong while saving the search query.","Algo correu mal ao gravar a query."
"You already have an identical search term query.","Já tem uma query de pesquisa idêntica."
"Your search query can't be longer than %1, so we shortened your query.","A sua query de pesquisa não pode ser superior a %1, por isso encurtámos a sua query."
"Synonym group with id %1 cannot be deleted. %2","O grupo de sinónimos com id %1 não pode ser eliminado. %2"
"Merge conflict with existing synonym group(s): %1","Resolver conflito com grupos de sinónimos existentes: %1"
"All Websites","Todos os Sites"
"    All Store Views","    Todas as Vistas de Loja"
"All Store Views","Todas as Vistas de Loja"
"Delete","Eliminar"
"Are you sure you want to delete synonym group with id: %1?","Tem a certeza que pretende eliminar o grupo de sinónimos com id: %1?"
"View/Edit","Ver/Editar"
"Search entire store here...","Pesquise toda a loja aqui..."
"There are no search terms available.","Não existem termos de pesquisa disponíveis."
"Search Engine","Motor de Pesquisa"
"CSV","CSV"
"Excel XML","XML Excel"
"ID","Id."
"Hits","Visualizações"
"Are you sure?","Tem a certeza?"
"Suggested Terms","Termos Sugeridos"
"yes","sim"
"no","não"
"Action","Ação"
"Edit","Editar"
"You can adjust the scope of this synonym group by selecting an option from the list.","Pode ajustar o escopo deste grupo de sinónimos ao selecionar uma opção da lista."
"Scope","Escopo"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Lista de sinónimos separada por vírgulas. Os termos inseridos (separados por vírgulas) serão usado numa query ""OR"" para pesquisar na loja inteira. Por exemplo, se você escrever ""sapatos, calçado"", e o utilizador procurar por ""sapatos"", os resultados da pesquisa incluirão qualquer produto ou conteúdo com os termos ""sapatos"" ou ""calçado""."
"Synonyms","Sinónimos"
