"Search Term","සොයන්න කාලීන"
"Results","ප්රතිපල"
"Uses","භාවිතා කරයි"
"Search Terms","සෙවුම් නියමයන්"
"Search Synonyms","සමාන පද සොයන්න"
"New Synonym Group","නව සමානාර්ථ සමූහය"
"Back","ආපසු"
"Delete Synonym Group","සමාන පද සමූහය මකන්න"
"Are you sure you want to delete this synonym group?","ඔබට මෙම සමානාර්ථ සමූහය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Reset","යළි පිහිටුවන්න"
"Save and Continue Edit","සුරකින්න සහ දිගටම සංස්කරණය කරන්න"
"Save Synonym Group","සමානාර්ථ සමූහය සුරකින්න"
"Search","සොයන්න"
"Add New Search Term","නව සෙවුම් පදයක් එක් කරන්න"
"Save Search","සෙවුම සුරකින්න"
"Delete Search","සෙවීම මකන්න"
"Edit Search '%1'","සෙවීම සංස්කරණය කරන්න '%1'"
"New Search","නව සෙවීම"
"Search Information","තොරතුරු සොයන්න"
"General Information","සාමාන්ය තොරතුරු"
"No","නැත"
"Yes","ඔව්"
"Search Query","සෙවුම් විමසුම"
"Store","ගබඩා කරන්න"
"Number of results","ප්රතිඵල සංඛ්යාව"
"Number of results (For the last time placed)","ප්‍රතිඵල ගණන (අවසන් වරට තැබූ)"
"For the last time placed.","අවසන් වරට තබා ඇත."
"Number of Uses","භාවිත ගණන"
"Redirect URL","හරවා යවන්න URL"
"ex. http://domain.com","උදා. http://domain.com"
"Display in Suggested Terms","යෝජිත නියමයන් තුළ සංදර්ශනය කරන්න"
"The synonym group has been deleted.","සමාන පද සමූහය මකා ඇත."
"An error was encountered while performing delete operation.","මකා දැමීමේ මෙහෙයුම සිදු කිරීමේදී දෝෂයක් ඇති විය."
"We can't find a synonym group to delete.","අපට මැකීමට සමාන පද සමූහයක් සොයාගත නොහැක."
"This synonyms group no longer exists.","මෙම සමානාර්ථ සමූහය තවදුරටත් නොපවතී."
"Edit Synonym Group","සමානාර්ථ සමූහය සංස්කරණය කරන්න"
"Synonym Group","සමානාර්ථ සමූහය"
"Failed to delete %1 synonym group(s).","%1 සමානාර්ථ කණ්ඩායම්(ය) මැකීමට අසමත් විය."
"A total of %1 synonym group(s) have been deleted.","සමාර්ථ කණ්ඩායම්(ය) %1 ක් මකා ඇත."
"Marketing","අලෙවි"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","සෙවුම් සමාන පද සඳහා %1 සෙවුම් යන්ත්‍රය සහාය නොදක්වයි. ඔබ ඇතුළු කරන ඕනෑම සමාන පද භාවිතා නොවේ."
"This synonym group no longer exists.","මෙම සමානාර්ථ සමූහය තවදුරටත් නොපවතී."
"You saved the synonym group.","ඔබ සමාන පද සමූහය සුරකින ලදී."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","ඔබ ඇතුළත් කළ නියමයන්, (%1), දැනට පවතින සමානාර්ථ කණ්ඩායම් 1 ට අයත් වේ, %2. නියමයන් ඒකාබද්ධ කළ හැකි වන පරිදි ""පවතින සමාන පද ඒකාබද්ධ කරන්න"" සලකුණු කොටුව තෝරන්න."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","ඔබ ඇතුළත් කළ නියමයන්, (%1), පවතින සමානාර්ථ කණ්ඩායම් %2 ට අයත් වේ, %3 සහ %4. නියමයන් ඒකාබද්ධ කළ හැකි වන පරිදි ""පවතින සමාන පද ඒකාබද්ධ කරන්න"" සලකුණු කොටුව තෝරන්න."
"You deleted the search.","ඔබ සෙවුම මකා ඇත."
"We can't find a search term to delete.","අපට මැකීමට සෙවුම් පදයක් සොයාගත නොහැක."
"This search no longer exists.","මෙම සෙවුම තවදුරටත් නොපවතී."
"Edit Search","සෙවීම සංස්කරණය කරන්න"
"Please select searches.","කරුණාකර සෙවීම් තෝරන්න."
"Total of %1 record(s) were deleted.","මුළු වාර්තා(ය) %1 මකා ඇත."
"Reports","වාර්තා"
"Search Terms Report","සෙවුම් කොන්දේසි වාර්තාව"
"You saved the search term.","ඔබ සෙවුම් පදය සුරකින ලදී."
