"Search Term","Търсена дума"
"Results","Резултати"
"Uses","Ползвания"
"Search Terms","Термини за търсене"
"Search Synonyms","Търсене синоними"
"New Synonym Group","Нова група Синоними"
"Back","Обратно"
"Delete Synonym Group","Изтриване на група на синоним"
"Are you sure you want to delete this synonym group?","Наистина ли искате да изтриете тази синоним група?"
"Reset","Изчисти"
"Save and Continue Edit","Запази и продължи редактиране"
"Save Synonym Group","Запиши синоним група"
"Search","Търсене"
"Add New Search Term","Добави нов термин за търсене"
"Save Search","Запиши търсенето"
"Delete Search","Изтриване на търсене"
"Edit Search '%1'","Редактиране на търсене ""%1"""
"New Search","Ново търсене"
"Search Information","Информация за търсене"
"General Information","Обща информация"
"No","Не"
"Yes","Да"
"Search Query","Заявка за търсене"
"Store","Магазин"
"Number of results","Брой на резултатите"
"Number of results (For the last time placed)","Брой на резултатите (за последен път поставени)"
"For the last time placed.","За последен път поставени."
"Number of Uses","Брой употреби"
"Redirect URL","URL адрес за пренасочване"
"ex. http://domain.com","пример: http://domain.com"
"Display in Suggested Terms","Показване в предложени думи"
"The synonym group has been deleted.","Групата синоними е изтрита."
"An error was encountered while performing delete operation.","Възникна грешка при извършване на операция за изтриване."
"We can't find a synonym group to delete.","Не можем да намерим синоним група да изтриете."
"This synonyms group no longer exists.","Тази група синоними вече не съществува."
"Edit Synonym Group","Редактиране на група синоними"
"Synonym Group","Синоним група"
"Failed to delete %1 synonym group(s).","Не можа да изтрие %1 синоним групи."
"A total of %1 synonym group(s) have been deleted.","Общо %1 синоним група(и) са били изтрити."
"Marketing","Маркетинг"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Търсене на синоними не се поддържа от %1 търсачката. Всички въведени синоними няма да бъдат използвани."
"This synonym group no longer exists.","Тази група синоними вече не съществува."
"You saved the synonym group.","Записахте групата синоними."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Условията, които сте въвели, (%1) принадлежат към 1 група съществуващи синоним, %2. Поставете отметка в квадратчето ""Обединяване на съществуващите синоними"", така че условията могат да бъдат обединявани."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Условията, които сте въвели, (%1) принадлежат към съществуващите групи на синоним %2, %3 и %4. Поставете отметка в квадратчето ""Обединяване на съществуващите синоними"", така че условията могат да бъдат обединявани."
"You deleted the search.","Изтрили сте търсенето."
"We can't find a search term to delete.","Не може да намери даден термин за търсене за да изтриете."
"This search no longer exists.","Това търсене вече не съществува."
"Edit Search","Редактиране на търсене"
"Please select searches.","Моля изберете търсения."
"Total of %1 record(s) were deleted.","Сума от %1 запис(и) бяха изтрити"
"Reports","Доклади"
"Search Terms Report","Търсене условия доклад"
"You saved the search term.","Записахте дума за търсене."
"Something went wrong while saving the search query.","Нещо се обърка при запазване на заявката за търсене."
"You already have an identical search term query.","Вече имате идентично търсене на термин."
"Your search query can't be longer than %1, so we shortened your query.","Вашата заявка за търсене не може да бъде по-дълъг от %1, така че ние съкратен вашата заявка."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Обединяване на конфликт със съществуващите синоним група(и): %1"
"All Websites","Всички уеб сайтове"
"    All Store Views","Изгледи на всички магазини"
"All Store Views","Изгледи на всички магазини"
"Delete","Изтрий"
"Are you sure you want to delete synonym group with id: %1?","Наистина ли искате да изтриете синоним група с ИД: %1?"
"View/Edit","Преглед/редактиране"
"Search entire store here...","Търсене в целия магазин..."
"There are no search terms available.","Няма налични условия на търсене."
"Search Engine","Търсачкa"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ИД"
"Hits","Брой натискания"
"Are you sure?","Сигурни ли сте?"
"Suggested Terms","Предложени условия"
"yes","yes"
"no","no"
"Action","Действие"
"Edit","Редактирай"
"You can adjust the scope of this synonym group by selecting an option from the list.","Можете да настроите обхвата на тази група синоними като изберете опция от списъка."
"Scope","Обхват"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Разделен със запетаи списък на синоними. Условията вписани (разделени със запетаи) ще бъде използвана като заявка за търсене ""Или"" да се търси целия магазин. Например ако въведете ""обувки обувки"", и потребител е трябвало да търсене за ""обувки"", резултатите от търсенето ще включва всеки продукт или съдържание с терминът ""обувки"" или ""обувки."""
"Synonyms","Синоними"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Автоматично обединява синоними в групи, които споделят същия обхват. Ако отметнете това квадратче и добавяте един или повече от същите условия за различни синоним групи в същия обхват, автоматично обединява всички условия за една група. Ако това не е това, което искате, махнете отметката от квадратчето и грешка се показва, ако се опитате да добавите същите условия."
"Store View","Изглед на магазина"
"Website","Уебсайт"
"Are you sure you want to delete the selected synonym groups?","Наистина ли искате да изтриете избраните групи синоними?"
"Delete items","Изтрий артикулите"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Обединяване на съществуващите синоними"
"The synonym group with the ""%1"" ID can't be deleted. %2","Синоним група с ID %1 не може да бъде изтрита. %2"
