"Search Term","Termo de pesquisa"
"Results","Resultados"
"Uses","Usos"
"Search Terms","Termos de Pesquisa"
"Search Synonyms","Pesquisar Sinónimos"
"New Synonym Group","Novo Grupo de Sinónimos"
"Back","Voltar"
"Delete Synonym Group","Excluir Grupo de Sinónimos"
"Are you sure you want to delete this synonym group?","Deseja realmente excluir este grupo de sinónimos?"
"Reset","Reiniciar"
"Save and Continue Edit","Salvar e Continuar a Editar"
"Save Synonym Group","Gravar Grupo de Sinónimos"
"Search","Pesquisa"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Save Search","Salvar busca"
"Delete Search","Excluir pesquisa"
"Edit Search '%1'","Editar pesquisa '%1'"
"New Search","Nova pesquisa"
"Search Information","Informações de pesquisa"
"General Information","Informações gerais"
"No","Não"
"Yes","Sim"
"Search Query","Termos de Pesquisa"
"Store","Loja"
"Number of results","Número de resultados"
"Number of results (For the last time placed)","Número de resultados (Colocados pela última vez)"
"For the last time placed.","Colocados pela última vez."
"Number of Uses","Número de Usos"
"Redirect URL","URL de redirecionamento"
"ex. http://domain.com","ex. http://dominio.com"
"Display in Suggested Terms","Exibir em termos sugeridos"
"The synonym group has been deleted.","O grupo de sinónimos foi eliminado."
"An error was encountered while performing delete operation.","Foi encontrado um erro ao executar a operação de exclusão."
"We can't find a synonym group to delete.","Não conseguimos encontrar um grupo de sinónimos para eliminar."
"This synonyms group no longer exists.","O grupo de sinónimos já não existe maix."
"Edit Synonym Group","Editar Grupo de Sinônimos"
"Synonym Group","Grupo de Sinónimos"
"Failed to delete %1 synonym group(s).","Falha ao excluir %1 grupo(s) de sinônimos."
"A total of %1 synonym group(s) have been deleted.","Foi eliminado um total de %1 grupo(s) de sinónimos."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Os Sinónimos de Pesquisa não são suportados pelo motor de pesquisa %1. Quaisquer sinónimos que introduza não serão usados."
"This synonym group no longer exists.","Este grupo de sinónimos já não existe."
"You saved the synonym group.","Grupo de sinônimos salvo."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Os termos que introduziu, (%1), pertencem a 1 grupo de sinónimos existente, %2. Selecione a opção ""Combinar sinónimos existentes"" para que os termos possam ser combinados."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Os termos que introduziu, (%1), pertencem a %2 grupos de sinônimos existentes, %3 e %4. Selecione a opção ""Combinar sinônimos existentes"" para que os termos possam ser combinados."
"You deleted the search.","Você excluiu a pesquisa."
"We can't find a search term to delete.","Não foi possível encontrar um termo de pesquisa a eliminar."
"This search no longer exists.","Esta pesquisa não existe mais."
"Edit Search","Editar pesquisa"
"Please select searches.","Por favor, selecione as pesquisas."
"Total of %1 record(s) were deleted.","Total de %1 registro(s) excluído(s)."
"Reports","Relatórios"
"Search Terms Report","Relatório de Termos de Pesquisa"
"You saved the search term.","Você salvou o termo de pesquisa."
"Something went wrong while saving the search query.","Algo deu errado ao gravar a query de pesquisa."
"You already have an identical search term query.","Já tem uma query de pesquisa idêntica."
"Your search query can't be longer than %1, so we shortened your query.","A sua query de pesquisa não pode ser superior a %1, por isso encurtámos a sua query."
"Synonym group with id %1 cannot be deleted. %2","O grupo de sinônimos com id %1 não pode ser removido. %2"
"Merge conflict with existing synonym group(s): %1","Resolver conflito com grupos de sinônimos existentes: %1"
"All Websites","Todos os sites"
"    All Store Views","Todas as Visões de Loja"
"All Store Views","Todas as Visões de Loja"
"Delete","Excluir"
"Are you sure you want to delete synonym group with id: %1?","Deseja realmente excluir este grupo de sinônimos (id: %1)?"
"View/Edit","Ver/Editar"
"Search entire store here...","Pesquisa em toda loja..."
"There are no search terms available.","Não há nenhum termo de pesquisa disponível."
