"Search Term","Szukana fraza"
"Results","Rezultaty"
"Uses","Użyć"
"Search Terms","Szukane frazy"
"Search Synonyms","Szukaj synonimów"
"New Synonym Group","Nowa grupa synonimów"
"Back","Powrót"
"Delete Synonym Group","Usuwanie grupy synonimów"
"Are you sure you want to delete this synonym group?","Czy na pewno chcesz usunąć tę grupę synonimów?"
"Reset","Resetuj"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Synonym Group","Zapisz grupę synonimów"
"Search","Szukaj"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
"Save Search","Zapisz wyszukiwanie"
"Delete Search","Usuń wyszukiwanie"
"Edit Search '%1'","Edycja wyszukiwania '%1'"
"New Search","Nowe wyszukiwanie"
"Search Information","Informacje o wyszukiwaniu"
"General Information","Ogólne"
"No","Nie"
"Yes","Tak"
"Search Query","Fraza wyszukiwania"
"Store","Sklep"
"Number of results","Ilość wyników"
"Number of results (For the last time placed)","Ilość wyników (od ostatniego razu)"
"For the last time placed.","dla ostaniego złożenia."
"Number of Uses","Ilość zastosowań"
"Redirect URL","Przekierowanie URL"
"ex. http://domain.com","np. http://domena.pl"
"Display in Suggested Terms","Wyświetlaj w sugerowanych frazach"
"The synonym group has been deleted.","Usunięto grupę synonimów."
"An error was encountered while performing delete operation.","Wystąpił błąd podczas operacji usuwania."
"We can't find a synonym group to delete.","Nie możemy znaleźć grupy synonimów do usunięcia."
"This synonyms group no longer exists.","Ta grupa synonimów już nie istnieje."
"Edit Synonym Group","Edycja grupy synonimów"
"Synonym Group","Grupa synonimów"
"Failed to delete %1 synonym group(s).","Nie można usunąć grupy synonimów %1."
"A total of %1 synonym group(s) have been deleted.","W sumie usunięto %1 grup synonimów."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Wyszukiwanie synonimów nie jest obsługiwane przez wyszukiwarkę %1. Żaden z wprowadzonych synonimów nie będzie użyty."
"This synonym group no longer exists.","Ta grupa synonimów już nie istnieje."
"You saved the synonym group.","Zapisane grupy synonimów."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Wprowadzony termin, (%1), należy do jednej z istniejących grup synonimów - %2. Zaznacz pole ""Połącz istniejące synonimy"", aby terminy mogły zostać połączone."
