"Shopping cart error: %message","Błąd koszyka: %komunikat"
"Could not find a product with SKU ""%sku""","Nie można znaleźć produktu z SKU ""%sku"""
"Could not add the product with SKU %sku to the shopping cart: %message","Nie można dodać do koszyka produktu z kodem SKU %sku: %komunikat"
"Missing key ""sku"" in cart item data","Brakujący klucz ""sku"" w danych pozycji koszyka"
"Missing key ""qty"" in cart item data","Brakujący klucz ""qty"" w danych pozycji koszyka"
"Could not find a cart with ID ""%masked_cart_id""","Nie można znaleźć koszyka o identyfikatorze ""%masked_cart_id"""
"Current user does not have an active cart.","Bieżący użytkownik nie ma aktywnego koszyka."
"The current user cannot perform operations on cart ""%masked_cart_id""","Bieżący użytkownik nie może wykonywać operacji na koszyku ""%masked_cart_id""."
"Could not find a cart address with ID ""%cart_address_id""","Nie można znaleźć adresu koszyka o identyfikatorze ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","Bieżący użytkownik nie może użyć adresu koszyka o identyfikatorze ""%cart_address_id""."
"The billing address must contain either ""customer_address_id"" or ""address"".","Adres rozliczeniowy musi zawierać ""customer_address_id"" lub ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","Adres rozliczeniowy nie może zawierać jednocześnie ""customer_address_id"" i ""address""."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Używanie opcji ""use_for_shipping"" z multishippingiem nie jest możliwe."
"You cannot specify multiple shipping addresses.","Nie można określić wielu adresów wysyłki."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Adres wysyłki musi zawierać ""customer_address_id"" lub ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Adres wysyłki nie może zawierać jednocześnie ""customer_address_id"" i ""address""."
"You cannot specify multiple shipping methods.","Nie można określić wielu metod wysyłki."
"Required parameter ""cart_address_id"" is missing.","Brak wymaganego parametru ""cart_address_id""."
"Required parameter ""carrier_code"" is missing.","Brak wymaganego parametru ""carrier_code""."
"Required parameter ""method_code"" is missing.","Brak wymaganego parametru ""method_code""."
"Option type ""%1"" is not supported","Opcja typu ""%1"" nie jest obsługiwana"
"%1 doesn't implement CustomizableOptionValueInterface","%1 nie implementuje interfejsu CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Brak wymaganego parametru ""cart_id""."
"Required parameter ""cartItems"" is missing","Brak wymaganego parametru ""cartItems""."
"""model"" value should be specified","Należy określić wartość ""model"""
"Required parameter ""coupon_code"" is missing","Brak wymaganego parametru ""coupon_code""."
"A coupon is already applied to the cart. Please remove it to apply another","Kupon został już zastosowany w koszyku. Usuń go, aby zastosować inny"
"Missing key ""product"" in cart data","Brakujący klucz ""product"" w danych koszyka"
"Missing key ""type_id"" in product data","Brakujący klucz ""type_id"" w danych produktu"
"Product ""%product_type"" type is not supported","Typ produktu ""%product_type"" nie jest obsługiwany"
"Required parameter ""cart_id"" is missing.","Brak wymaganego parametru ""cart_id""."
"Required parameter ""cart_item_id"" is missing.","Brak wymaganego parametru ""cart_item_id""."
"Required parameter ""billing_address"" is missing","Brak wymaganego parametru ""billing_address""."
"Required parameter ""payment_method"" is missing","Brak wymaganego parametru ""payment_method""."
"Required parameter ""shipping_addresses"" is missing","Brak wymaganego parametru ""shipping_addresses""."
"Required parameter ""shipping_methods"" is missing","Brak wymaganego parametru ""shipping_methods""."
"""model"" values should be specified","Należy określić wartości ""modelu"""
"Required parameter ""cart_items"" is missing.","Brak wymaganego parametru ""cart_items""."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Brak wymaganego parametru ""cart_item_id"" dla ""cart_items""."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Brak wymaganego parametru ""quantity"" dla ""cart_items""."
"Could not find cart item with id: %1.","Nie można znaleźć pozycji koszyka o id: %1."
