"Shopping cart error: %message","සාප්පු කරත්ත දෝෂය: %පණිවිඩය"
"Could not find a product with SKU ""%sku""","SKU ""%sku"" සමඟ නිෂ්පාදනයක් සොයා ගැනීමට නොහැකි විය"
"Could not add the product with SKU %sku to the shopping cart: %message","SKU %sku සමඟ භාණ්ඩය සාප්පු කරත්තයට එක් කිරීමට නොහැකි විය: %පණිවිඩය"
"Missing key ""sku"" in cart item data","කරත්ත අයිතම දත්තවල ""sku"" යතුර අස්ථානගත වී ඇත"
"Missing key ""qty"" in cart item data","කරත්ත අයිතම දත්තවල ""qty"" යතුර අස්ථානගත වී ඇත"
"Could not find a cart with ID ""%masked_cart_id""","""%masked_cart_id"" ID සහිත කරත්තයක් සොයා ගැනීමට නොහැකි විය"
"Current user does not have an active cart.","වත්මන් පරිශීලකයාට සක්‍රිය කරත්තයක් නොමැත."
"The current user cannot perform operations on cart ""%masked_cart_id""","වත්මන් පරිශීලකයාට ""%masked_cart_id"" කරත්තයේ මෙහෙයුම් සිදු කළ නොහැක"
"Could not find a cart address with ID ""%cart_address_id""","""%cart_address_id"" හැඳුනුම්පත සහිත කරත්ත ලිපිනයක් සොයා ගැනීමට නොහැකි විය"
"The current user cannot use cart address with ID ""%cart_address_id""","වත්මන් පරිශීලකයාට ""%cart_address_id"" හැඳුනුම්පත සහිත කරත්ත ලිපිනය භාවිතා කළ නොහැක"
"The billing address must contain either ""customer_address_id"" or ""address"".","බිල්පත් ලිපිනයෙහි ""ගනුදෙනුකරු_ලිපිනය_id"" හෝ ""ලිපිනය"" අඩංගු විය යුතුය."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","බිල්පත් ලිපිනයෙහි ""ගනුදෙනුකරු_ලිපිනය_id"" සහ ""ලිපිනය"" එකවර අඩංගු විය නොහැක."
"Using the ""use_for_shipping"" option with multishipping is not possible.","බහු නැව්ගත කිරීම සමඟ ""use_for_shipping"" විකල්පය භාවිතා කළ නොහැක."
"You cannot specify multiple shipping addresses.","ඔබට බහු නැව්ගත කිරීමේ ලිපින සඳහන් කළ නොහැක."
"The shipping address must contain either ""customer_address_id"" or ""address"".","නැව්ගත කිරීමේ ලිපිනයෙහි ""ගනුදෙනුකරු_ලිපිනය_id"" හෝ ""ලිපිනය"" අඩංගු විය යුතුය."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","නැව්ගත කිරීමේ ලිපිනයෙහි ""ගනුදෙනුකරු_ලිපිනය_id"" සහ ""ලිපිනය"" එකවර අඩංගු විය නොහැක."
"You cannot specify multiple shipping methods.","ඔබට බහු නැව්ගත කිරීමේ ක්‍රම සඳහන් කළ නොහැක."
"Required parameter ""cart_address_id"" is missing.","අවශ්‍ය පරාමිතිය ""cart_address_id"" අතුරුදහන්."
"Required parameter ""carrier_code"" is missing.","අවශ්‍ය පරාමිතිය ""carrier_code"" අතුරුදහන්."
"Required parameter ""method_code"" is missing.","අවශ්‍ය පරාමිතිය ""method_code"" අතුරුදහන්."
"Option type ""%1"" is not supported","විකල්ප වර්ගය ""%1"" සඳහා සහය නොදක්වයි"
"%1 doesn't implement CustomizableOptionValueInterface","%1 CustomizableOptionValueInterface ක්‍රියාත්මක නොකරයි"
"Required parameter ""cart_id"" is missing","අවශ්‍ය පරාමිතිය ""cart_id"" අතුරුදහන්"
"Required parameter ""cartItems"" is missing","අවශ්‍ය පරාමිතිය ""cartItems"" අතුරුදහන්"
"""model"" value should be specified","""ආකෘතිය"" අගය සඳහන් කළ යුතුය"
"Required parameter ""coupon_code"" is missing","අවශ්ය පරාමිතිය ""coupon_code"" අතුරුදහන්"
"A coupon is already applied to the cart. Please remove it to apply another","කරත්තයට දැනටමත් කූපනයක් යොදවා ඇත. වෙනත් එකක් යෙදීමට කරුණාකර එය ඉවත් කරන්න"
"Missing key ""product"" in cart data","කරත්ත දත්තවල ""නිෂ්පාදනය"" යතුර අස්ථානගත වී ඇත"
"Missing key ""type_id"" in product data","නිෂ්පාදන දත්තවල ""type_id"" යතුර අස්ථානගත වී ඇත"
"Product ""%product_type"" type is not supported","නිෂ්පාදන ""%product_type"" වර්ගය සහාය නොදක්වයි"
"Required parameter ""cart_id"" is missing.","අවශ්‍ය පරාමිතිය ""cart_id"" අතුරුදහන්."
"Required parameter ""cart_item_id"" is missing.","අවශ්‍ය පරාමිතිය ""cart_item_id"" අතුරුදහන්."
"Required parameter ""billing_address"" is missing","අවශ්‍ය පරාමිතිය ""billing_address"" අතුරුදහන්"
"Required parameter ""payment_method"" is missing","අවශ්‍ය පරාමිතිය ""ගෙවීම්_ක්‍රමය"" අතුරුදහන්"
"Required parameter ""shipping_addresses"" is missing","අවශ්‍ය පරාමිතිය ""shipping_addresses"" අතුරුදහන්"
"Required parameter ""shipping_methods"" is missing","අවශ්‍ය පරාමිතිය ""shipping_methods"" අතුරුදහන්"
"""model"" values should be specified","""ආදර්ශ"" අගයන් සඳහන් කළ යුතුය"
"Required parameter ""cart_items"" is missing.","අවශ්‍ය පරාමිතිය ""cart_items"" අතුරුදහන්."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","""cart_items"" සඳහා අවශ්‍ය පරාමිතිය ""cart_item_id"" අතුරුදහන්."
"Required parameter ""quantity"" for ""cart_items"" is missing.","""cart_items"" සඳහා අවශ්‍ය පරාමිතිය ""ප්‍රමාණය"" අතුරුදහන්."
"Could not find cart item with id: %1.","හැඳුනුම්පත: %1සහිත කරත්ත අයිතමය සොයා ගැනීමට නොහැකි විය."
