"Segments","Szegmensek"
"Add Segment","Szegmens hozzáadása"
"Are you sure you want to do this?","Biztos benne, hogy végrehajtja a műveletet?"
"Refresh Segment Data","Szegmensadatok frissítése"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Edit Segment '%1'","%1 szegmens szerkesztése"
"New Segment","Új szegmens"
"Segment Information","Szegmens információi"
"Conditions","Feltételek"
"* applicable to visitors and registered customers","* látogatóknak és regisztrált felhasználóknak alkalmazható"
"General Properties","Általános tulajdonságok"
"Segment Name","Szegmens neve"
"Description","Leírás"
"Assigned to Website","Hozzárendelve a honlaphoz"
"Status","Állapot"
"Active","Aktív"
"Inactive","Inaktív"
"Apply To","Alkalmazva ehhez"
"Visitors and Registered Customers","Látogatók és Regisztrált vásárlók"
"Registered Customers","Regisztrált vásárlók"
"Visitors","Látogatók"
"Please save this information to specify segmentation conditions.","Kérjük, a szegmentálási feltételek megadásához mentse az információt!"
"Matched Customers (%1)","Egyező vásárlók (%1)"
"ID","Azonosító"
"Segment","Szegmens"
"Website","Honlap"
"Customer Segment Report","Vásárlói szegmensjelentés"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Vásárlói szegmensjelentések"
"Back","Vissza"
"From","Ettől"
"To","Eddig"
"Please request the correct customer segment.","Kérjük, a megfelelő vásárló-szegmenst kérje le!"
"You deleted the segment.","Törölte a szegmenst."
"Unable to delete the segment.","A szegmens nem törölhető."
"Customer Segments","Vásárló-szegmensek"
"Edit Segment","Szegmens szerkesztése"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","We can't save the segment right now."
"Reports","Jelentések"
"Customers","Vásárlók"
"Viewing combined ""%1"" report from segments: %2.","Kombinált ""%1""-jelentés megtekintése e szegmensektől: %2."
"Details","Részletek"
"The Customer Segment data has been refreshed.","A vásárló-szegmens adatainak frissítése megtörtént."
"Union","Egyesítés"
"Intersection","Metszéspont"
"All","Összes"
"Specified","Megadva"
"Applies to All of the Specified Customer Segments","Alkalmazás minden megadott vásárló-szegmensre"
"Apply to the Selected Customer Segments","Alkalmazás a kiválasztott vásárló-szegmensekre"
"contains","tartalmaz"
"does not contains","nem tartalmaz"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","A megadott operátor ismeretlen."
"Conditions Combination","Feltételegyüttes"
"Customer Address","Vásárló címe"
"Product List","Terméklista"
"Product History","Terméktörténet"
"Products","Termékek"
"Wrong ""ApplyTo"" type","Hibás ""ÉrvényesErre""-típus"
"Customer","Vásárló"
"If Customer Addresses match %1 of these Conditions:","Ha a vásárlói címek megegyeznek %1 feltételnek ezek közül:"
"Address Attributes","Címjellemzők"
"Customer Address %1","Vásárlói cím %1"
"Default Address","Alapértelmezett cím"
"Billing","Számlázás"
"Shipping","Szállítás"
"Customer Address %1 Default %2 Address","Vásárlói cím %1 alapértelmezett %2 cím"
"Has State/Province","Van Állam/megye"
"If Customer Address %1 State/Province specified","Ha a vásárló címe a(z) %1 Államban/tartományban van megadva"
"has","tartalmaz"
"does not have","nem tartalmaz"
"exists","létezik"
"does not exist","nem létezik"
"Customer %1","Vásárló %1"
"Newsletter Subscription","Hírlevél feliratkozás"
"Customer is %1 to newsletter.","A vásárló %1 a hírlevélre."
"subscribed","feliratkozott"
"not subscribed","nem iratkozott fel"
"Store Credit","Bolti hitel"
"Customer Store Credit Amount %1 %2:","Vásárló bolti hitelösszege %1 %2:"
"Date Range","Dátumtartomány"
"Open Chooser","Választó megnyitása"
"Date Range %1 within %2","Dátumtartomány %1 ezen belül: %2"
"If Order Addresses match %1 of these Conditions:","Ha a rendelési címeknél %1 egyezik ezen feltételek közül:"
"Order Address Attributes","Megrendelési cím jellemzői"
"Order Address %1","Megrendelési cím %1"
"Address Type","Címtípus"
"Order Address %1 a %2 Address","A(z) %1 megrendelés cím egy %2 cím"
"Order Status","Megrendelés állapota"
"Any","Bármely"
"Order Status %1 %2:","Megrendelés állapota %1 %2:"
"Product Attributes","Termékjellemzők"
"Product %1","Termék %1"
"Date Ranges","Dátumtartományok"
"viewed","megnézve"
"ordered","megrendelve"
"was","volt"
"was not","nem volt"
"If Product %1 %2 and matches %3 of these Conditions:","Ha a termék %1 %2, és %3 egyezik ezen feltételek közül:"
"Shopping Cart","Kosár"
"Wish List","Kívánságlista"
"found","található"
"not found","nem található"
"If Product is %1 in the %2 with %3 of these Conditions match:","Ha a termék %1 %2-ben %3 egyező feltétellel ezek közül:"
"Order Address","Megrendelési cím"
"Sales Amount","Vásárlás összege"
"Number of Orders","Megrendelések száma"
"Purchased Quantity","Vásárolt mennyiség"
"Sales","Értékesítések"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4, míg %5 egyezik e feltételek közül:"
"Total","Összesen"
"Average","Átlagos"
"If Customer Segment %1 %2","Ha a vásárlói szegmens %1 %2"
"matches","egyezik"
"does not match","nem egyezik"
"is one of","egy ebből:"
"is not one of","nem egy ebből:"
"Shopping Cart Total","Bevásárlás végösszege"
"Subtotal","Részösszeg"
"Grand Total","Mindösszesen"
"Tax","Adó"
"Gift Card","Ajándékkártya"
"Shopping Cart %1 Amount %2 %3:","Bevásárlókosár %1 összege %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Termékek száma a kosár sorában"
"Number of Shopping Cart Line Items %1 %2:","Termékek száma a Bevásárlókosár sorában %1 %2:"
"Products Quantity","Termékek mennyisége"
