"Segments","Segmente"
"Add Segment","Segment hinzufügen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Refresh Segment Data","Segment Daten aktualisieren"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Edit Segment '%1'","Bearbeiten des Segments '%1'"
"New Segment","Neues Segment"
"Segment Information","Segment-Informationen"
"Conditions","Bedingungen"
"* applicable to visitors and registered customers","* gilt für Besucher und registrierte Kunden"
"General Properties","Allgemeine Eigenschaften"
"Segment Name","Segmentname"
"Description","Beschreibung"
"Assigned to Website","Zugewiesene Website"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Apply To","Anwenden auf"
"Visitors and Registered Customers","Besucher und Registrierte Kunden"
"Registered Customers","Registrierte Kunden"
"Visitors","Besucher"
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Übereinstimmende Kunden (%1)"
"ID","Id"
"Segment","Segment"
"Website","Webseite"
"Customer Segment Report","Kundensegment-Bericht"
"Customer Segment Report '%1'","Kundensegment-Bericht '%1'"
"Customer Segments Report","Kundensegmente-Bericht"
"Back","Zurück"
"From","Von"
"To","Bis"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","Sie haben das Segment gelöscht."
"Unable to delete the segment.","Das Segment kann nicht gelöscht werden."
"Customer Segments","Kundensegmente"
"Edit Segment","Segment bearbeiten"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","Sie haben das Segment gespeichert."
"We can't save the segment right now.","Das Segment kann derzeit nicht gespeichert werden."
"Reports","Berichte"
"Customers","Kunden"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","Details"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Intersection"
"All","Alle"
"Specified","festgelegt"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","enthält"
"does not contains","enthält nicht"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unbekannter Operator angegeben."
"Conditions Combination","Bedingungs-Kombination"
"Customer Address","Kundenadresse"
"Product List","Produktliste"
"Product History","Produkthistorie"
"Products","Artikel"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Kunde"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Adressattribute"
"Customer Address %1","Kunden-Adresse %1"
"Default Address","Standardadresse"
"Billing","Rechnungstellung"
