"Segments","Сегменти"
"Add Segment","Добави сегмент"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Refresh Segment Data","Обновяване на сегментни данни"
"Save and Continue Edit","Запази и продължи редактиране"
"Edit Segment '%1'","Редактиране на сегмент ""%1"""
"New Segment","Нов сегмент"
"Segment Information","Сегментна информация"
"Conditions","Условия"
"* applicable to visitors and registered customers","* приложим за посетители и регистрирани клиенти"
"General Properties","Общи свойства"
"Segment Name","Име на сегмент"
"Description","Описание"
"Assigned to Website","Присвоен на уеб сайт"
"Status","Статус"
"Active","Активно"
"Inactive","Неактивен"
"Apply To","Приложи към"
"Visitors and Registered Customers","Посетители и регистрирани клиенти"
"Registered Customers","Регистрирани потребители"
"Visitors","Посетители"
"Please save this information to specify segmentation conditions.","Моля запишете тази информация, за да укажете условията за сегментиране."
"Matched Customers (%1)","Съвпадащи клиенти (%1)"
"ID","ИД"
"Segment","Сегмент"
"Website","Уебсайт"
"Customer Segment Report","Доклад за сегментиране на клиенти"
"Customer Segment Report '%1'","Клиент сегмент доклад ""%1"""
"Customer Segments Report","Доклад за сегментиране на клиенти"
"Back","Обратно"
"From","От"
"To","До"
"Please request the correct customer segment.","Моля поискайте сегмента на правилния клиент."
"You deleted the segment.","Изтрили сте сегмента."
"Unable to delete the segment.","Не може да изтрие сегмента."
"Customer Segments","Клиентски сегменти"
"Edit Segment","Редактиране на сегмент"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","Не може да запише сегмента точно сега."
"Reports","Доклади"
"Customers","Клиенти"
"Viewing combined ""%1"" report from segments: %2.","Показване на комбиниран ""%1"" доклад от сегменти: %2."
"Details","Детайли"
"The Customer Segment data has been refreshed.","Данните на потребителски сегмент са обновени."
"Union","Съюз"
"Intersection","Пресичане"
"All","Всички"
"Specified","Зададен"
"Applies to All of the Specified Customer Segments","Се прилага за всички указани клиентски сегменти"
"Apply to the Selected Customer Segments","Приложи към избрания клиент сегменти"
"contains","съдържа"
"does not contains","не съдържа"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Неизвестен оператор зададен."
"Conditions Combination","Комбинация от условия"
"Customer Address","Адрес на клиента"
"Product List","Списък с продукти"
"Product History","История на продукта"
"Products","Продукти"
"Wrong ""ApplyTo"" type","Грешен тип ""ApplyTo"""
"Customer","Клиент"
"If Customer Addresses match %1 of these Conditions:","Ако клиентския адрес съвпада %1 на следните условия:"
"Address Attributes","Атрибути на адрес"
"Customer Address %1","Клиент адрес %1"
"Default Address","Адрес по подразбиране"
"Billing","Фактуриране"
"Shipping","Доставка"
"Customer Address %1 Default %2 Address","Клиент адрес %1 по подразбиране %2 адрес"
"Has State/Province","Има област/провинция"
"If Customer Address %1 State/Province specified","Ако клиентски адрес %1 област/провинция е зададен"
"has","има"
"does not have","няма"
"exists","съществува"
"does not exist","не съществува"
"Customer %1","Клиент %1"
"Newsletter Subscription","Абонамент за бюлетин"
"Customer is %1 to newsletter.","Клиентът е %1 за бюлетин."
"subscribed","абониран"
"not subscribed","не е абониран"
"Store Credit","Съхраняван баланс"
"Customer Store Credit Amount %1 %2:","Клиентска кредитна сума %1 %2:"
"Date Range","Времеви период"
"Open Chooser","Отворен избор"
"Date Range %1 within %2","Диапазон от дати %1 в %2"
"If Order Addresses match %1 of these Conditions:","Ако адресите за поръчка отговаря %1 на следните условия:"
"Order Address Attributes","Атрибути на адрес на поръчка"
"Order Address %1","Поръчка адрес %1"
"Address Type","Тип на адреса"
"Order Address %1 a %2 Address","Поръчка адрес %1 адрес на %2"
"Order Status","Статус на поръчката"
"Any","Всеки"
